problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,seed,total,ratio,experiment,provenance,normal_exit
3,15,4255.060133099526,283.6706755399684,0.20085040001140442,True,7,116,15,0,0,3494.060133099527,106.0,580.0,45.0,30.0,358,15,3,5,15,100,15,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,12,4306.66121832077,358.88843486006414,0.17469620000338182,True,7,127,12,0,0,3494.66121832077,117.0,635.0,36.0,24.0,314,12,3,8,12,101,12,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,13,3945.1041121893486,303.4695470914884,0.17470450000837445,True,7,115,13,0,0,3197.1041121893486,108.0,575.0,39.0,26.0,292,13,6,15,13,102,13,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,13,3687.353193929153,283.64255337916563,0.17397689999779686,True,7,103,13,0,0,3011.353193929153,96.0,515.0,39.0,26.0,301,13,3,9,13,103,13,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,14,4559.547734509467,325.6819810363905,0.21169510000618175,True,7,131,14,0,0,3714.547734509465,120.0,655.0,42.0,28.0,371,14,7,14,14,104,14,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,11,3765.704679794527,342.3367890722297,0.14284279999264982,True,7,116,11,0,0,3021.7046797945272,109.0,580.0,33.0,22.0,237,11,2,3,11,105,11,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,13,4204.456621724696,323.4197401326689,0.1854040000034729,True,7,109,13,0,0,3494.456621724696,100.0,545.0,39.0,26.0,312,13,4,14,13,106,13,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,10,3540.6105068636975,354.06105068636975,0.13788840000052005,True,7,113,10,0,0,2820.6105068636975,105.0,565.0,30.0,20.0,227,10,2,3,10,107,10,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,10,4170.411588744395,417.0411588744395,0.13817289999860805,True,7,122,10,0,0,3396.411588744395,114.0,610.0,30.0,20.0,235,10,3,5,10,108,10,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,13,3835.9130543819797,295.07023495246,0.201142300007632,True,7,123,13,0,0,3042.91305438198,113.0,615.0,39.0,26.0,339,13,3,10,12,109,13,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,14,3778.666675165197,269.9047625117998,0.188128300011158,True,7,118,14,0,0,3009.666675165197,109.0,590.0,42.0,28.0,327,14,2,0,14,110,14,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,13,4087.2070211524756,314.40054008865195,0.19606170000042766,True,7,120,13,0,0,3312.2070211524756,110.0,600.0,39.0,26.0,347,13,3,12,13,111,13,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,11,3316.0380557619974,301.4580050692725,0.13830369999050163,True,7,121,11,0,0,2543.038055761997,113.0,605.0,33.0,22.0,236,11,1,0,11,112,11,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,12,3840.485300004698,320.04044166705813,0.1682800000126008,True,7,112,12,0,0,3115.4853000046987,105.0,560.0,36.0,24.0,271,12,2,8,12,113,12,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,11,3633.8607417229878,330.3509765202716,0.1525050999916857,True,7,111,11,0,0,2918.860741722988,105.0,555.0,33.0,22.0,247,11,1,9,11,114,11,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,14,4433.6264880201625,316.68760628715444,0.2121628999884706,True,7,109,14,0,0,3721.626488020163,97.0,545.0,42.0,28.0,389,14,4,14,14,115,14,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,11,3619.48691392974,329.0442649027036,0.17810730000201147,True,7,123,11,0,0,2837.4869139297402,112.0,615.0,33.0,22.0,304,11,3,8,10,116,11,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,10,3774.6347843756957,377.46347843756956,0.13151910000306088,True,7,130,10,0,0,2952.6347843756953,122.0,650.0,30.0,20.0,224,10,5,9,10,117,10,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,12,3354.743493332886,279.5619577777405,0.16035399999236688,True,7,114,12,0,0,2619.743493332886,105.0,570.0,36.0,24.0,270,12,1,0,12,118,12,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
3,12,4300.703368003595,358.3919473336329,0.16446559999894816,True,7,122,12,0,0,3515.7033680035947,115.0,610.0,36.0,24.0,280,12,2,12,12,119,12,1.0,q3_plus_r1000,LOCAL_SYNTHETIC,True
