problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,seed,total,ratio,experiment,provenance,normal_exit
4,10,9459.99368549182,945.999368549182,0.10637290000158828,True,31,370,10,0,0,7227.993685491821,332.0,1850.0,30.0,20.0,0,0,0,0,10,200,10,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,12,10028.345354171524,835.6954461809604,0.45237460000498686,True,31,311,18,6,2,8134.345354171529,261.0,1555.0,54.0,24.0,0,0,0,0,10,201,12,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,11,9930.31451260775,902.7558647825227,0.2842160000000149,True,31,334,12,1,1,7909.314512607756,293.0,1670.0,36.0,22.0,0,0,0,0,10,202,11,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,12,9588.935243314523,799.0779369428769,0.1365010000008624,True,31,318,12,0,0,7661.935243314527,277.0,1590.0,36.0,24.0,0,0,0,0,12,203,12,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,15,10492.263307999909,699.4842205333273,0.16173150000395253,True,31,251,15,0,0,8962.263307999912,200.0,1255.0,45.0,30.0,0,0,0,0,15,204,15,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,13,10778.664674420093,829.1280518784687,0.30856499999936204,True,31,318,14,1,1,8856.664674420097,264.0,1590.0,42.0,26.0,0,0,0,0,12,205,13,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,13,9609.820570038992,739.2169669260763,0.12280589999863878,True,31,306,13,0,0,7746.820570038996,268.0,1530.0,39.0,26.0,0,0,0,0,13,206,13,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,10,9973.166761448469,997.3166761448468,0.22535739999148063,True,31,384,20,10,1,7627.16676144847,346.0,1920.0,60.0,20.0,0,0,0,0,9,207,10,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,16,6305.557008383021,394.0973130239388,0.14086559999850579,True,11,138,16,0,0,5422.55700838302,113.0,690.0,48.0,32.0,0,0,0,0,16,208,16,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,14,9758.814818989531,697.0582013563951,0.3041589000058593,True,31,296,20,6,1,7935.814818989539,255.0,1480.0,60.0,28.0,0,0,0,0,13,209,14,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,11,10246.691217098067,931.5173833725515,0.10712450000573881,True,31,371,11,0,0,8008.691217098072,328.0,1855.0,33.0,22.0,0,0,0,0,11,210,11,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,11,10222.444341207365,929.3131219279422,0.32959459999983665,True,31,340,13,2,2,8166.444341207368,295.0,1700.0,39.0,22.0,0,0,0,0,9,211,11,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,10,10059.502602551716,1005.9502602551717,0.11872000001312699,True,31,370,10,0,0,7832.502602551721,327.0,1850.0,30.0,20.0,0,0,0,0,10,212,10,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,11,9650.241853776863,877.2947139797147,0.11141630000201985,True,31,347,11,0,0,7554.241853776866,306.0,1735.0,33.0,22.0,0,0,0,0,11,213,11,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,10,10039.180704432742,1003.9180704432741,0.11816040000121575,True,31,372,10,0,0,7802.180704432747,327.0,1860.0,30.0,20.0,0,0,0,0,10,214,10,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,16,7412.45462237531,463.27841389845685,0.4623098000010941,True,17,200,33,17,2,6109.454622375308,172.0,1000.0,99.0,32.0,0,0,0,0,14,215,16,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,16,5216.735328869966,326.0459580543729,0.3106556999991881,True,10,139,20,4,1,4318.735328869966,111.0,695.0,60.0,32.0,0,0,0,0,15,216,16,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,15,10381.981619687223,692.1321079791483,0.15390609999303706,True,31,251,15,0,0,8844.981619687225,207.0,1255.0,45.0,30.0,0,0,0,0,15,217,15,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,14,10122.996011285928,723.0711436632806,0.2821332000021357,True,31,288,25,11,1,8332.996011285932,247.0,1440.0,75.0,28.0,0,0,0,0,13,218,14,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
4,11,10301.777952376611,936.5252683978738,0.2857011000014609,True,31,344,15,4,1,8212.777952376618,302.0,1720.0,45.0,22.0,0,0,0,0,10,219,11,1.0,q4_spacing_999,LOCAL_SYNTHETIC,True
