problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,seed,total,ratio,experiment,provenance,normal_exit
4,10,10203.272837170938,1020.3272837170938,0.1340221999998903,True,37,438,10,0,0,7568.272837170934,395.0,2190.0,30.0,20.0,0,0,0,0,10,200,10,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,12,9970.4991184565,830.8749265380417,0.2906714000127977,True,37,354,17,5,1,7820.499118456499,305.0,1770.0,51.0,24.0,0,0,0,0,11,201,12,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,11,10110.835866271862,919.1668969338057,0.136991899998975,True,37,419,11,0,0,7587.835866271858,373.0,2095.0,33.0,22.0,0,0,0,0,11,202,11,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,12,10167.917565157633,847.3264637631361,0.31632189999800175,True,37,380,15,3,1,7864.917565157631,334.0,1900.0,45.0,24.0,0,0,0,0,11,203,12,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,15,10998.054528551329,733.2036352367553,0.32199100000434555,True,37,289,27,12,2,9212.054528551327,230.0,1445.0,81.0,30.0,0,0,0,0,13,204,15,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,13,10611.463282051045,816.2664063116189,0.24450769998657051,True,37,401,28,15,1,8144.463282051041,352.0,2005.0,84.0,26.0,0,0,0,0,12,205,13,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,13,10196.337567148334,784.3336590114103,0.1611585000064224,True,37,350,13,0,0,8083.337567148336,298.0,1750.0,39.0,26.0,0,0,0,0,13,206,13,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,10,10053.969042066154,1005.3969042066153,0.11635669998941012,True,37,439,10,0,0,7412.969042066153,396.0,2195.0,30.0,20.0,0,0,0,0,10,207,10,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,16,8367.173571177907,522.9483481986192,0.1638327999971807,True,27,232,16,0,0,6934.173571177911,193.0,1160.0,48.0,32.0,0,0,0,0,16,208,16,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,14,9997.038195902005,714.0741568501433,0.31753080000635237,True,37,342,31,17,1,7870.038195902002,296.0,1710.0,93.0,28.0,0,0,0,0,13,209,14,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,11,10602.370482322147,963.851862029286,0.11803130000771489,True,37,466,11,0,0,7798.370482322143,419.0,2330.0,33.0,22.0,0,0,0,0,11,210,11,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,11,10760.831757588454,978.2574325080412,0.13336249999701977,True,37,403,11,0,0,8337.831757588452,353.0,2015.0,33.0,22.0,0,0,0,0,11,211,11,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,10,10209.100000576957,1020.9100000576957,0.2867804000125034,True,37,437,21,11,1,7553.1000005769565,388.0,2185.0,63.0,20.0,0,0,0,0,9,212,10,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,11,10338.346056241973,939.8496414765431,0.14260629999625962,True,37,410,13,2,1,7865.3460562419705,362.0,2050.0,39.0,22.0,0,0,0,0,10,213,11,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,10,11029.290969771837,1102.9290969771837,0.283035700005712,True,37,428,25,15,1,8411.290969771835,383.0,2140.0,75.0,20.0,0,0,0,0,9,214,10,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,16,5505.170824400073,344.07317652500456,0.32359279999218415,True,13,186,31,15,1,4291.170824400075,159.0,930.0,93.0,32.0,0,0,0,0,15,215,16,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,16,5701.213523232539,356.3258452020337,0.16462730000785086,True,13,165,16,0,0,4664.213523232539,132.0,825.0,48.0,32.0,0,0,0,0,16,216,16,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,15,11170.383977855668,744.692265190378,0.6610249000077602,True,37,297,59,44,3,9233.383977855667,245.0,1485.0,177.0,30.0,0,0,0,0,12,217,15,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,14,9952.657475383614,710.9041053845439,0.14890079999167938,True,37,334,14,0,0,7923.657475383612,289.0,1670.0,42.0,28.0,0,0,0,0,14,218,14,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
4,11,10500.36470134129,954.5786092128445,0.13076600000204053,True,37,402,11,0,0,8081.364701341288,354.0,2010.0,33.0,22.0,0,0,0,0,11,219,11,1.0,q4_spacing_800,LOCAL_SYNTHETIC,True
