problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,seed,total,ratio,experiment,provenance,normal_exit
3,11,5319.216245464961,483.5651132240873,0.49285569999483414,True,7,104,368,357,11,3576.2162454649515,97.0,520.0,1104.0,22.0,0,11,1,7,0,20260910,11,1.0,q3_optical_only,LOCAL_SYNTHETIC,True
3,10,7072.15777884439,707.215777884439,1.0059742999874288,True,7,110,507,497,10,4877.157778844396,104.0,550.0,1521.0,20.0,0,10,5,17,0,20260911,10,1.0,q3_optical_only,LOCAL_SYNTHETIC,True
3,16,8614.361630285626,538.3976018928516,1.5099997999932384,True,7,84,654,638,16,6122.361630285627,78.0,420.0,1962.0,32.0,0,16,7,20,0,20260912,16,1.0,q3_optical_only,LOCAL_SYNTHETIC,True
3,10,5852.59356233552,585.259356233552,0.9920645000092918,True,7,102,462,452,10,3841.593562335545,95.0,510.0,1386.0,20.0,0,10,3,9,0,20260913,10,1.0,q3_optical_only,LOCAL_SYNTHETIC,True
3,14,7945.08122624292,567.5058018744943,1.140067700005602,True,7,98,549,535,14,5689.081226242941,91.0,490.0,1647.0,28.0,0,14,7,22,0,20260914,14,1.0,q3_optical_only,LOCAL_SYNTHETIC,True
3,13,7140.119773936506,549.2399826105004,0.9161589999857824,True,7,96,497,484,13,5054.119773936515,89.0,480.0,1491.0,26.0,0,13,5,23,0,20260915,13,1.0,q3_optical_only,LOCAL_SYNTHETIC,True
3,14,6886.256523567354,491.8754659690967,1.4837578000006033,True,7,106,459,445,14,4851.256523567364,100.0,530.0,1377.0,28.0,0,14,5,15,0,20260916,14,1.0,q3_optical_only,LOCAL_SYNTHETIC,True
3,13,6992.494772387219,537.8842132605553,1.0401445999887073,True,7,100,440,427,13,5053.494772387173,93.0,500.0,1320.0,26.0,0,13,7,24,0,20260917,13,1.0,q3_optical_only,LOCAL_SYNTHETIC,True
3,15,8708.129645178706,580.541976345247,1.2648492000007536,True,7,99,696,681,15,6003.129645178719,92.0,495.0,2088.0,30.0,0,15,5,11,0,20260918,15,1.0,q3_optical_only,LOCAL_SYNTHETIC,True
3,11,6377.863126398413,579.8057387634922,0.8706139999994775,True,7,110,471,460,11,4289.863126398404,103.0,550.0,1413.0,22.0,0,11,3,9,0,20260919,11,1.0,q3_optical_only,LOCAL_SYNTHETIC,True
