candidate_evaluations,clear,cleared,complete,coverage_checks,deferred_targets,error,failed_clear,fallback,forced_targets,kind,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,station_replacements,stations_visited,switch_s,total,virtual_time_s
41,30,16,True,6,16,,14,1,0,random,32.0,407.5776124902633,234,1170.0,merge,5016.241799844212,True,True,0,90.0,1,4,0.6027127999986988,37,9,2500004,71,8,6,0,21,213.0,16,6521.241799844212
103,72,16,True,6,16,,56,2,0,random,32.0,442.82358910887916,283,1415.0,baseline_merge,5170.177425742062,True,True,0,216.0,0,4,0.9099832999927457,41,8,2500004,64,6,6,0,25,252.0,16,7085.177425742067
41,11,11,True,0,11,,0,0,0,random,22.0,548.7752632081078,309,1545.0,baseline,4149.527895289189,True,True,0,33.0,0,4,0.15481109998654574,36,7,2500005,67,4,4,0,25,287.0,11,6036.527895289187
36,12,11,True,0,11,,1,0,0,random,22.0,520.1515984097218,281,1405.0,rings,3995.667582506941,True,True,0,36.0,1,4,0.15200020000338554,33,7,2500005,51,5,4,0,22,263.0,11,5721.66758250694
13,13,11,True,0,11,,2,0,0,random,22.0,510.7023856002797,253,1265.0,tight,4058.7262416030762,True,True,0,39.0,0,4,0.12407380001968704,33,7,2500005,45,6,4,0,22,233.0,11,5617.726241603076
54,13,11,True,0,11,,2,0,0,random,22.0,538.2468203518499,265,1325.0,mixed,4287.715023870349,True,True,0,39.0,0,4,0.16701350000221282,33,7,2500005,44,6,4,0,22,247.0,11,5920.715023870349
36,12,11,True,3,11,,1,0,0,random,22.0,520.1515984097218,281,1405.0,merge,3995.667582506941,True,True,0,36.0,1,4,0.2624106000002939,33,7,2500005,51,5,4,0,22,263.0,11,5721.66758250694
41,11,11,True,3,11,,0,0,0,random,22.0,548.7752632081078,309,1545.0,baseline_merge,4149.527895289189,True,True,0,33.0,0,4,0.26133690000278875,36,7,2500005,67,4,4,0,25,287.0,11,6036.527895289187
44,20,15,True,0,15,,5,0,0,random,30.0,411.6410031197117,276,1380.0,baseline,4453.615046795675,True,True,0,60.0,1,4,0.21372629998950288,40,10,2500006,86,10,5,0,25,251.0,15,6174.615046795675
83,31,15,True,0,15,,16,1,0,random,30.0,404.45306516898074,222,1110.0,rings,4634.795977534711,True,True,0,93.0,1,4,0.37193110000225715,37,8,2500006,62,6,6,0,22,199.0,15,6066.795977534711
126,15,15,True,0,15,,0,0,0,random,30.0,403.5925648702569,222,1110.0,tight,4671.888473053854,True,True,0,45.0,1,4,0.2603817000053823,37,8,2500006,44,7,7,0,22,197.0,15,6053.888473053854
13,15,15,True,0,15,,0,0,0,random,30.0,362.6586087844318,203,1015.0,mixed,4166.879131766478,True,True,0,45.0,0,4,0.14159109999309294,37,4,2500006,81,11,11,0,22,183.0,15,5439.879131766477
83,31,15,True,6,15,,16,1,0,random,30.0,404.45306516898074,222,1110.0,merge,4634.795977534711,True,True,0,93.0,1,4,0.5849137000041083,37,8,2500006,62,6,6,0,22,199.0,15,6066.795977534711
44,20,15,True,5,15,,5,0,0,random,30.0,411.6410031197117,276,1380.0,baseline_merge,4453.615046795675,True,True,0,60.0,1,4,0.5224328000040259,40,10,2500006,86,10,5,0,25,251.0,15,6174.615046795675
106,41,15,True,0,15,,26,1,0,random,30.0,438.2807803541675,291,1455.0,baseline,4704.211705312513,True,True,0,123.0,2,4,0.39650699999765493,40,10,2500007,53,5,4,0,25,262.0,15,6574.211705312513
94,16,15,True,0,15,,1,0,0,random,30.0,400.1339537459323,233,1165.0,rings,4550.009306188984,True,True,0,48.0,0,4,0.23050740000326186,37,10,2500007,55,6,5,0,22,209.0,15,6002.009306188984
39,20,15,True,0,15,,5,1,0,random,30.0,390.93941202681737,238,1190.0,tight,4367.09118040226,True,True,0,60.0,0,4,0.3422452999802772,37,7,2500007,73,9,7,0,22,217.0,15,5864.091180402261
59,17,15,True,0,15,,2,0,0,random,30.0,387.7811013077392,229,1145.0,mixed,4381.716519616089,True,True,0,51.0,1,4,0.21673129999544472,37,7,2500007,79,10,8,0,22,209.0,15,5816.716519616089
94,16,15,True,8,15,,1,0,0,random,30.0,400.1339537459323,233,1165.0,merge,4550.009306188984,True,True,0,48.0,0,4,0.5880935000022873,37,10,2500007,55,6,5,0,22,209.0,15,6002.009306188984
102,41,15,True,4,15,,26,1,0,random,30.0,436.50125044078635,290,1450.0,baseline_merge,4682.518756611796,True,True,0,123.0,1,4,0.5347533999884035,40,10,2500007,53,5,4,1,25,262.0,15,6547.518756611796
23,13,11,True,0,11,,2,1,0,random,22.0,591.2255422887528,328,1640.0,baseline,4496.480965176279,True,True,0,39.0,1,4,0.317305899981875,36,5,2500008,52,6,5,0,25,306.0,11,6503.48096517628
9,19,11,True,0,11,,8,2,0,random,22.0,597.6480606907909,320,1600.0,rings,4596.128667598703,True,True,0,57.0,1,4,0.41965870000422,33,6,2500008,30,4,3,0,22,299.0,11,6574.128667598699
13,20,11,True,0,11,,9,2,0,random,22.0,587.7508034546092,322,1610.0,tight,4473.258838000702,True,True,0,60.0,0,4,0.4254075000062585,33,7,2500008,29,4,2,0,22,300.0,11,6465.258838000702
71,11,11,True,0,11,,0,0,0,random,22.0,596.901921859335,318,1590.0,mixed,4624.921140452684,True,True,0,33.0,3,4,0.20875939997495152,33,9,2500008,19,2,2,0,22,296.0,11,6565.921140452685
9,19,11,True,3,11,,8,2,0,random,22.0,597.6480606907909,320,1600.0,merge,4596.128667598703,True,True,0,57.0,1,4,0.5908991000032984,33,6,2500008,30,4,3,0,22,299.0,11,6574.128667598699
23,13,11,True,3,11,,2,1,0,random,22.0,591.2255422887528,328,1640.0,baseline_merge,4496.480965176279,True,True,0,39.0,1,4,0.4261528999777511,36,5,2500008,52,6,5,0,25,306.0,11,6503.48096517628
26,21,11,True,0,11,,10,1,0,random,22.0,610.5909468566662,397,1985.0,baseline,4275.50041542333,True,True,0,63.0,0,4,0.24619209999218583,36,5,2500009,12,5,5,0,25,371.0,11,6716.500415423328
68,11,11,True,0,11,,0,0,0,random,22.0,562.4524854399898,282,1410.0,rings,4461.977339839888,True,True,0,33.0,0,4,0.1677194999938365,33,9,2500009,30,2,2,0,22,260.0,11,6186.977339839888
75,11,11,True,0,11,,0,0,0,random,22.0,559.2836553956225,283,1415.0,tight,4421.120209351848,True,True,0,33.0,1,4,0.19371170000522397,33,10,2500009,30,1,1,0,22,261.0,11,6152.120209351848
70,15,11,True,0,11,,4,1,0,random,22.0,603.2407053118494,323,1615.0,mixed,4656.647758430342,True,True,0,45.0,1,4,0.32627180000417866,33,7,2500009,19,4,3,0,22,297.0,11,6635.647758430344
68,11,11,True,2,11,,0,0,0,random,22.0,562.4524854399898,282,1410.0,merge,4461.977339839888,True,True,0,33.0,0,4,0.2779510000254959,33,9,2500009,30,2,2,0,22,260.0,11,6186.977339839888
26,21,11,True,3,11,,10,1,0,random,22.0,610.5909468566662,397,1985.0,baseline_merge,4275.50041542333,True,True,0,63.0,0,4,0.38316980001400225,36,5,2500009,12,5,5,0,25,371.0,11,6716.500415423328
24,11,11,True,0,11,,0,0,0,random,22.0,568.318905809885,310,1550.0,baseline,4358.507963908733,True,True,0,33.0,2,4,0.15245059999870136,36,6,2500010,51,5,5,0,25,288.0,11,6251.507963908734
25,21,11,True,0,11,,10,1,0,random,22.0,530.6477276937884,255,1275.0,rings,4242.125004631671,True,True,0,63.0,0,4,0.28366519999690354,33,5,2500010,45,6,5,0,22,235.0,11,5837.125004631672
26,31,11,True,0,11,,20,2,0,random,22.0,562.2457302140241,277,1385.0,tight,4431.703032354264,True,True,0,93.0,0,4,0.3460400000039954,33,4,2500010,35,6,5,0,22,253.0,11,6184.703032354265
65,20,11,True,0,11,,9,1,0,random,22.0,557.6103613800783,268,1340.0,mixed,4468.713975180859,True,True,0,60.0,0,4,0.32699390000198036,33,7,2500010,12,3,3,0,22,243.0,11,6133.713975180861
25,21,11,True,3,11,,10,1,0,random,22.0,530.6477276937884,255,1275.0,merge,4242.125004631671,True,True,0,63.0,0,4,0.4662393000035081,33,5,2500010,45,6,5,0,22,235.0,11,5837.125004631672
24,11,11,True,2,11,,0,0,0,random,22.0,568.318905809885,310,1550.0,baseline_merge,4358.507963908733,True,True,0,33.0,2,4,0.20740739998291247,36,6,2500010,51,5,5,0,25,288.0,11,6251.507963908734
14,16,10,True,0,10,,6,1,0,random,20.0,699.15787577405,391,1955.0,baseline,4601.5787577405,True,True,0,48.0,0,4,0.28419240002403967,35,6,2500011,33,3,3,0,25,367.0,10,6991.5787577405
71,10,10,True,0,10,,0,0,0,random,20.0,653.4282984382551,297,1485.0,rings,4726.282984382553,True,True,0,30.0,1,4,0.17116329999407753,32,8,2500011,26,2,2,0,22,273.0,10,6534.28298438255
93,10,10,True,0,10,,0,0,0,random,20.0,643.6608783342253,297,1485.0,tight,4628.608783342253,True,True,0,30.0,2,4,0.20650339999701828,32,8,2500011,21,2,2,0,22,273.0,10,6436.608783342253
78,10,10,True,0,10,,0,0,0,random,20.0,647.7722663225345,313,1565.0,mixed,4571.722663225345,True,True,0,30.0,0,4,0.17135849999613129,32,8,2500011,26,2,2,0,22,291.0,10,6477.722663225345
71,10,10,True,3,10,,0,0,0,random,20.0,653.4282984382551,297,1485.0,merge,4726.282984382553,True,True,0,30.0,1,4,0.26217080000787973,32,8,2500011,26,2,2,0,22,273.0,10,6534.28298438255
14,16,10,True,2,10,,6,1,0,random,20.0,699.15787577405,391,1955.0,baseline_merge,4601.5787577405,True,True,0,48.0,0,4,0.37829449999844655,35,6,2500011,33,3,3,0,25,367.0,10,6991.5787577405
108,26,12,True,0,12,,14,1,0,random,24.0,547.4614403600488,305,1525.0,baseline,4668.537284320585,True,True,0,78.0,0,4,0.3858454000146594,37,8,2500012,8,3,3,0,25,274.0,12,6569.537284320585
95,27,12,True,0,12,,15,1,0,random,24.0,503.806072287985,286,1430.0,rings,4250.672867455828,True,True,0,81.0,0,4,0.36890880001010373,34,9,2500012,42,3,2,0,22,260.0,12,6045.67286745582
122,27,12,True,0,12,,15,1,0,random,24.0,548.9876676978489,318,1590.0,tight,4601.852012374193,True,True,0,81.0,0,4,0.4409665999992285,34,10,2500012,34,2,1,0,22,291.0,12,6587.852012374187
62,39,12,True,0,12,,27,2,0,random,24.0,566.0394832860811,289,1445.0,mixed,4941.473799432974,True,True,0,117.0,2,4,0.470137700001942,34,7,2500012,38,6,3,0,22,265.0,12,6792.4737994329735
95,27,12,True,3,12,,15,1,0,random,24.0,503.806072287985,286,1430.0,merge,4250.672867455828,True,True,0,81.0,0,4,0.47698820001096465,34,9,2500012,42,3,2,0,22,260.0,12,6045.67286745582
121,12,12,True,2,12,,0,0,0,random,24.0,539.0547601624463,316,1580.0,baseline_merge,4540.657121949355,True,True,0,36.0,0,4,0.28792559998692013,37,7,2500012,68,5,5,1,25,288.0,12,6468.657121949356
42,21,13,True,0,13,,8,1,0,random,26.0,521.4145563370125,297,1485.0,baseline,4936.389232381162,True,True,0,63.0,2,4,0.33604059999925084,38,9,2500013,23,3,3,0,25,268.0,13,6778.389232381162
66,15,13,True,0,13,,2,0,0,random,26.0,497.81463150708447,283,1415.0,rings,4724.590209592097,True,True,0,45.0,0,4,0.1892048000008799,35,12,2500013,71,3,1,0,22,261.0,13,6471.590209592098
60,14,13,True,0,13,,1,0,0,random,26.0,487.1351214765522,257,1285.0,tight,4746.756579195177,True,True,0,42.0,1,4,0.2047415999986697,35,9,2500013,56,5,4,0,22,233.0,13,6332.756579195178
82,14,13,True,0,13,,1,0,0,random,26.0,487.2327549838023,254,1270.0,mixed,4768.025814789428,True,True,0,42.0,1,4,0.20857380001689307,35,10,2500013,51,4,3,0,22,228.0,13,6334.02581478943
66,15,13,True,1,13,,2,0,0,random,26.0,497.81463150708447,283,1415.0,merge,4724.590209592097,True,True,0,45.0,0,4,0.2153468000178691,35,12,2500013,71,3,1,0,22,261.0,13,6471.590209592098
55,21,13,True,3,13,,8,1,0,random,26.0,518.5546629623085,297,1485.0,baseline_merge,4899.21061851001,True,True,0,63.0,2,4,0.46719770002528094,38,9,2500013,23,3,3,1,25,268.0,13,6741.21061851001
111,15,15,True,0,15,,0,0,0,random,30.0,377.0350057869448,245,1225.0,baseline,4134.525086804172,True,True,0,45.0,0,4,0.2728261000011116,40,8,2500014,90,7,7,0,25,221.0,15,5655.525086804172
183,15,15,True,0,15,,0,0,0,random,30.0,420.73445310238037,238,1190.0,rings,4842.016796535706,True,True,0,45.0,1,4,0.30671020000590943,37,10,2500014,37,5,5,0,22,204.0,15,6311.016796535706
163,15,15,True,0,15,,0,0,0,random,30.0,419.3183139014912,237,1185.0,tight,4825.774708522367,True,True,0,45.0,2,4,0.31248200000845827,37,11,2500014,27,4,4,0,22,204.0,15,6289.774708522368
129,42,15,True,0,15,,27,1,0,random,30.0,453.0663733602433,238,1190.0,mixed,5240.9956004036485,True,True,0,126.0,2,4,0.4416757999861147,37,11,2500014,61,4,3,0,22,209.0,15,6795.995600403649
183,15,15,True,8,15,,0,0,0,random,30.0,420.73445310238037,238,1190.0,merge,4842.016796535706,True,True,0,45.0,1,4,0.6926441000250634,37,10,2500014,37,5,5,0,22,204.0,15,6311.016796535706
126,16,15,True,4,15,,1,0,0,random,30.0,383.527455253778,246,1230.0,baseline_merge,4224.911828806668,True,True,0,48.0,0,4,0.4950016999791842,40,8,2500014,93,8,7,1,25,220.0,15,5752.91182880667
58,17,15,True,0,15,,2,0,0,random,30.0,421.0198389552737,281,1405.0,baseline,4572.297584329107,True,True,0,51.0,1,4,0.23850510001648217,40,13,2500015,28,4,2,0,25,257.0,15,6315.297584329106
73,16,15,True,0,15,,1,1,0,random,30.0,406.2759671809779,273,1365.0,rings,4400.139507714669,True,True,0,48.0,1,4,0.34355459999642335,37,9,2500015,51,6,5,0,22,251.0,15,6094.139507714668
109,25,15,True,0,15,,10,1,0,random,30.0,439.4820327134211,246,1230.0,tight,5037.230490701316,True,True,0,75.0,0,4,0.38641169999027625,37,11,2500015,19,4,3,0,22,220.0,15,6592.230490701317
150,24,15,True,0,15,,9,1,0,random,30.0,451.3748630523694,263,1315.0,mixed,5120.622945785539,True,True,0,72.0,1,4,0.4028340999793727,37,14,2500015,12,2,0,0,22,233.0,15,6770.622945785541
73,16,15,True,4,15,,1,1,0,random,30.0,406.2759671809779,273,1365.0,merge,4400.139507714669,True,True,0,48.0,1,4,0.49344510000082664,37,9,2500015,51,6,5,0,22,251.0,15,6094.139507714668
58,17,15,True,5,15,,2,0,0,random,30.0,421.0198389552737,281,1405.0,baseline_merge,4572.297584329107,True,True,0,51.0,1,4,0.4494284000247717,40,13,2500015,28,4,2,0,25,257.0,15,6315.297584329106
82,13,13,True,0,13,,0,0,0,random,26.0,490.78048967152245,344,1720.0,baseline,4276.1463657297945,True,True,0,39.0,0,4,0.2236237000033725,38,10,2500016,20,3,3,0,25,319.0,13,6380.146365729792
97,13,13,True,0,13,,0,1,0,random,26.0,468.26320892473717,274,1370.0,rings,4400.421716021582,True,True,0,39.0,0,4,0.31298039999092,35,8,2500016,24,4,4,0,22,252.0,13,6087.421716021583
82,13,13,True,0,13,,0,0,0,random,26.0,475.60094363879466,274,1370.0,tight,4496.812267304327,True,True,0,39.0,0,4,0.1925211999914609,35,9,2500016,24,4,4,0,22,251.0,13,6182.812267304331
104,13,13,True,0,13,,0,0,0,random,26.0,488.73320399533947,296,1480.0,mixed,4539.531651939413,True,True,0,39.0,0,4,0.2082329000113532,35,7,2500016,25,6,6,0,22,269.0,13,6353.531651939413
97,13,13,True,6,13,,0,1,0,random,26.0,468.26320892473717,274,1370.0,merge,4400.421716021582,True,True,0,39.0,0,4,0.5532245999784209,35,8,2500016,24,4,4,0,22,252.0,13,6087.421716021583
82,13,13,True,5,13,,0,0,0,random,26.0,490.78048967152245,344,1720.0,baseline_merge,4276.1463657297945,True,True,0,39.0,0,4,0.4750667999906,38,10,2500016,20,3,3,0,25,319.0,13,6380.146365729792
27,12,12,True,0,12,,0,0,0,random,24.0,512.7466890793202,321,1605.0,baseline,4192.9602689518415,True,True,0,36.0,0,4,0.13758660000166856,37,6,2500017,33,6,6,0,25,295.0,12,6152.960268951842
100,12,12,True,0,12,,0,0,0,random,24.0,500.3932482167697,257,1285.0,rings,4426.718978601236,True,True,0,36.0,1,4,0.21762380001018755,34,8,2500017,20,4,4,0,22,233.0,12,6004.718978601236
87,12,12,True,0,12,,0,0,0,random,24.0,504.33943009671253,256,1280.0,tight,4482.073161160552,True,True,0,36.0,1,4,0.20159539999440312,34,9,2500017,3,3,3,0,22,230.0,12,6052.073161160551
41,13,12,True,0,12,,1,0,0,random,24.0,498.6220481659241,247,1235.0,mixed,4461.464577991089,True,True,0,39.0,0,4,0.15817470001638867,34,10,2500017,49,3,2,0,22,224.0,12,5983.46457799109
100,12,12,True,7,12,,0,0,0,random,24.0,500.3932482167697,257,1285.0,merge,4426.718978601236,True,True,0,36.0,1,4,0.5571008000115398,34,8,2500017,20,4,4,0,22,233.0,12,6004.718978601236
27,12,12,True,5,12,,0,0,0,random,24.0,512.7466890793202,321,1605.0,baseline_merge,4192.9602689518415,True,True,0,36.0,0,4,0.415610599971842,37,6,2500017,33,6,6,0,25,295.0,12,6152.960268951842
86,29,16,True,0,16,,13,2,0,random,32.0,386.1135994833577,272,1360.0,baseline,4452.817591733721,True,True,0,87.0,1,4,0.5318057000113185,39,9,2500018,23,6,5,0,23,246.0,16,6177.817591733723
158,16,16,True,0,16,,0,0,0,random,32.0,365.2029618318526,238,1190.0,rings,4361.247389309642,True,True,0,48.0,0,4,0.29758630000287667,35,13,2500018,19,3,3,0,19,212.0,16,5843.247389309641
144,16,16,True,0,16,,0,0,0,random,32.0,364.2081236416169,239,1195.0,tight,4340.329978265871,True,True,0,48.0,1,4,0.30316720000701025,36,11,2500018,49,5,5,0,20,212.0,16,5827.3299782658705
69,16,16,True,0,16,,0,0,0,random,32.0,387.54939727260614,259,1295.0,mixed,4586.790356361698,True,True,0,48.0,0,4,0.22910960001172498,38,13,2500018,43,3,3,0,22,239.0,16,6200.790356361698
158,16,16,True,5,16,,0,0,0,random,32.0,365.2029618318526,238,1190.0,merge,4361.247389309642,True,True,0,48.0,0,4,0.46500060000107624,35,13,2500018,19,3,3,0,19,212.0,16,5843.247389309641
122,18,16,True,5,16,,2,1,0,random,32.0,400.0352827909086,272,1360.0,baseline_merge,4710.564524654537,True,True,0,54.0,1,4,0.4801586999965366,41,10,2500018,59,6,5,2,25,244.0,16,6400.564524654537
72,12,11,True,0,11,,1,0,0,random,22.0,567.9886655751411,296,1480.0,baseline,4443.875321326552,True,True,0,36.0,1,4,0.20442120000370778,36,7,2500019,80,5,4,0,25,266.0,11,6247.875321326553
32,12,11,True,0,11,,1,0,0,random,22.0,525.4823049577719,263,1315.0,rings,4169.305354535492,True,True,0,36.0,1,4,0.139414899982512,33,6,2500019,14,6,5,0,22,238.0,11,5780.3053545354915
32,12,11,True,0,11,,1,0,0,random,22.0,522.4723708766397,263,1315.0,tight,4136.196079643037,True,True,0,36.0,1,4,0.14055419998476282,33,6,2500019,14,6,5,0,22,238.0,11,5747.196079643038
64,22,11,True,0,11,,11,1,0,random,22.0,549.431182266275,267,1335.0,mixed,4378.743004929024,True,True,0,66.0,0,4,0.31899780000094324,33,6,2500019,15,5,4,0,22,242.0,11,6043.743004929025
32,12,11,True,5,11,,1,0,0,random,22.0,525.4823049577719,263,1315.0,merge,4169.305354535492,True,True,0,36.0,1,4,0.3874542999838013,33,6,2500019,14,6,5,0,22,238.0,11,5780.3053545354915
43,12,11,True,4,11,,1,0,0,random,22.0,574.30521572253,303,1515.0,baseline_merge,4468.3573729478285,True,True,0,36.0,1,4,0.29354670000611804,36,7,2500019,71,5,4,1,25,276.0,11,6317.357372947829
53,18,15,True,0,15,,3,1,0,random,30.0,417.02277418076824,277,1385.0,baseline,4534.341612711523,True,True,0,54.0,0,4,0.17709240000112914,40,6,2500020,65,10,8,0,25,252.0,15,6255.341612711523
71,54,15,True,0,15,,39,1,0,random,30.0,456.9344438953551,301,1505.0,rings,4878.016658430328,True,True,0,162.0,1,4,0.35813280000002123,37,10,2500020,15,5,4,0,22,279.0,15,6854.016658430327
57,83,15,True,0,15,,68,1,0,random,30.0,469.3609415052336,300,1500.0,tight,4982.414122578504,True,True,0,249.0,1,4,0.25474130001384765,37,9,2500020,15,5,5,0,22,279.0,15,7040.414122578504
71,16,15,True,0,15,,1,0,0,random,30.0,426.23202193836903,252,1260.0,mixed,4833.480329075534,True,True,0,48.0,2,4,0.22332200000528246,37,11,2500020,19,5,4,0,22,222.0,15,6393.480329075535
71,54,15,True,5,15,,39,1,0,random,30.0,456.9344438953551,301,1505.0,merge,4878.016658430328,True,True,0,162.0,1,4,0.5711861000163481,37,10,2500020,15,5,4,0,22,279.0,15,6854.016658430327
53,18,15,True,4,15,,3,1,0,random,30.0,417.02277418076824,277,1385.0,baseline_merge,4534.341612711523,True,True,0,54.0,0,4,0.4042908000119496,40,6,2500020,65,10,8,0,25,252.0,15,6255.341612711523
25,18,12,True,0,12,,6,1,0,random,24.0,550.849435856379,328,1640.0,baseline,4589.193230276547,True,True,0,54.0,0,4,0.27768480000668205,37,7,2500021,19,5,4,0,25,303.0,12,6610.193230276548
