kind,seed,layout,ok,error,mean_time_s,normal_exit,cleared,total,measure,clear,failed_clear,fallback
minus,2700008,rings,True,,663.5211917305758,True,10,10,299,35,25,2
minus,2700009,radial,True,,691.205609873979,True,10,10,362,51,41,2
minus,2700009,rings,True,,698.9487490236236,True,10,10,322,59,49,3
outward,2700000,radial,True,,863.0317146871128,True,10,10,430,104,94,6
outward,2700000,rings,True,,819.1915013556379,True,10,10,397,102,92,6
outward,2700001,radial,True,,866.4868160046237,True,10,10,410,100,90,6
outward,2700001,rings,True,,855.2781005180289,True,10,10,406,90,80,5
outward,2700002,radial,True,,868.1116364673505,True,10,10,413,99,89,6
outward,2700002,rings,True,,928.5420806819336,True,10,10,397,217,207,4
outward,2700003,radial,True,,858.2437106971707,True,10,10,421,104,94,6
outward,2700003,rings,True,,832.4760628642196,True,10,10,398,106,96,6
outward,2700004,radial,True,,852.4238157727223,True,10,10,413,101,91,6
outward,2700004,rings,True,,834.1765673695729,True,10,10,393,102,92,6
outward,2700005,radial,True,,841.2529989979103,True,10,10,404,102,92,6
outward,2700005,rings,True,,799.855168741866,True,10,10,393,78,68,4
outward,2700006,radial,True,,871.5686772044613,True,10,10,423,86,76,5
outward,2700006,rings,True,,822.2664560816354,True,10,10,391,99,89,6
outward,2700007,radial,True,,881.4751385199464,True,10,10,421,101,91,6
outward,2700007,rings,True,,832.4303300332291,True,10,10,389,102,92,6
outward,2700008,radial,True,,858.954833907934,True,10,10,417,102,92,6
outward,2700008,rings,True,,866.3824649300153,True,10,10,396,151,141,4
outward,2700009,radial,True,,879.8030613775387,True,10,10,431,98,88,6
outward,2700009,rings,True,,825.607598797448,True,10,10,395,90,80,5
tangent,2700000,radial,True,,802.3875923509313,True,10,10,417,27,17,2
tangent,2700000,rings,True,,604.9310661049573,True,10,10,328,10,0,2
tangent,2700001,radial,True,,747.158029793566,True,10,10,390,22,12,1
tangent,2700001,rings,True,,645.7191893891056,True,10,10,341,36,26,3
tangent,2700002,radial,True,,797.2184083011213,True,10,10,402,25,15,1
tangent,2700002,rings,True,,615.7577439300117,True,10,10,336,21,11,2
tangent,2700003,radial,True,,643.3621238866831,True,10,10,384,12,2,1
tangent,2700003,rings,True,,658.5572538117389,True,10,10,367,11,1,1
tangent,2700004,radial,True,,641.4305536958037,True,10,10,372,17,7,1
tangent,2700004,rings,True,,748.761778093661,True,10,10,359,60,50,4
tangent,2700005,radial,True,,645.6652037933495,True,10,10,372,25,15,1
tangent,2700005,rings,True,,714.8729260006228,True,10,10,351,34,24,3
tangent,2700006,radial,True,,639.45757400969,True,10,10,375,17,7,2
tangent,2700006,rings,True,,733.067329690178,True,10,10,358,31,21,2
tangent,2700007,radial,True,,763.9356241622093,True,10,10,403,15,5,1
tangent,2700007,rings,True,,716.7875890212721,True,10,10,353,29,19,2
tangent,2700008,radial,True,,770.0932350935352,True,10,10,407,24,14,2
tangent,2700008,rings,True,,625.6121871863753,True,10,10,332,24,14,3
tangent,2700009,radial,True,,775.2094069358442,True,10,10,409,10,0,0
tangent,2700009,rings,True,,627.138834885006,True,10,10,330,24,14,4
