candidate_evaluations,clear,cleared,complete,coverage_checks,coverage_sites_cancelled,deferred_targets,error,failed_clear,fallback,forced_targets,kind,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,station_replacements,stations_visited,switch_s,total,virtual_time_s
93,11,11,True,0,0,11,,0,0,0,random,22.0,573.2596940755357,338,1690.0,info0.3,4248.856634830892,True,True,0,33.0,0,4,0.26792830001795664,33,6,2500009,43,5,5,0,22,312.0,11,6305.856634830892
53,11,11,True,0,0,11,,0,0,0,random,22.0,584.3325686735842,336,1680.0,info0.7,4378.658255409427,True,True,0,33.0,0,4,0.2335653999762144,33,6,2500009,48,5,5,0,22,314.0,11,6427.658255409427
39,12,11,True,0,0,11,,1,0,0,random,22.0,566.0196630248768,320,1600.0,info1.2,4271.216293273645,True,True,0,36.0,0,4,0.2411724999838043,33,6,2500009,33,6,5,0,22,297.0,11,6226.216293273645
25,19,11,True,0,0,11,,8,1,0,random,22.0,531.2037719582991,257,1285.0,info0.3,4243.241491541289,True,True,0,57.0,0,4,0.40584650001255795,33,5,2500010,45,6,5,0,22,236.0,11,5843.24149154129
25,19,11,True,0,0,11,,8,1,0,random,22.0,531.2037719582991,257,1285.0,info0.7,4243.241491541289,True,True,0,57.0,0,4,0.4089765999815427,33,5,2500010,45,6,5,0,22,236.0,11,5843.24149154129
25,19,11,True,0,0,11,,8,1,0,random,22.0,531.2037719582991,257,1285.0,info1.2,4243.241491541289,True,True,0,57.0,0,4,0.40522539999801666,33,5,2500010,45,6,5,0,22,236.0,11,5843.24149154129
0,10,10,True,0,0,10,,0,0,0,random,20.0,602.178833960117,294,1470.0,info0.3,4225.78833960117,True,True,0,30.0,0,4,0.18423439998878166,32,5,2500011,42,5,5,0,22,276.0,10,6021.78833960117
0,10,10,True,0,0,10,,0,0,0,random,20.0,602.178833960117,294,1470.0,info0.7,4225.78833960117,True,True,0,30.0,0,4,0.20718999998643994,32,5,2500011,42,5,5,0,22,276.0,10,6021.78833960117
0,10,10,True,0,0,10,,0,0,0,random,20.0,602.178833960117,294,1470.0,info1.2,4225.78833960117,True,True,0,30.0,0,4,0.21084139999584295,32,5,2500011,42,5,5,0,22,276.0,10,6021.78833960117
53,14,12,True,0,0,12,,2,0,0,random,24.0,516.658352214817,275,1375.0,info0.3,4504.900226577804,True,True,0,42.0,0,4,0.27515450000646524,34,11,2500012,38,3,1,0,22,254.0,12,6199.9002265778045
0,14,12,True,0,0,12,,2,0,0,random,24.0,469.24041624099505,257,1285.0,info0.7,4039.884994891942,True,True,0,42.0,0,4,0.24890490001416765,34,7,2500012,67,7,5,0,22,240.0,12,5630.884994891941
40,14,12,True,0,0,12,,2,0,0,random,24.0,513.0495269948815,262,1310.0,info1.2,4538.594323938577,True,True,0,42.0,0,4,0.30937259999336675,34,7,2500012,116,7,5,0,22,242.0,12,6156.594323938578
27,14,13,True,0,0,13,,1,0,0,random,26.0,444.0570400580803,244,1220.0,info0.3,4260.741520755045,True,True,0,42.0,0,4,0.28261160000693053,35,8,2500013,88,6,5,0,22,224.0,13,5772.741520755044
31,13,13,True,0,0,13,,0,0,0,random,26.0,477.24372793721807,273,1365.0,info0.7,4525.168463183834,True,True,0,39.0,1,4,0.2934280000044964,35,9,2500013,52,4,4,0,22,249.0,13,6204.168463183835
5,13,13,True,0,0,13,,0,0,0,random,26.0,480.94919005668805,264,1320.0,info1.2,4626.339470736944,True,True,0,39.0,1,4,0.2734309999796096,35,8,2500013,58,5,5,0,22,241.0,13,6252.339470736944
197,15,15,True,0,0,15,,0,0,0,random,30.0,428.3652782877633,240,1200.0,info0.3,4946.47917431645,True,True,0,45.0,1,4,0.43191939999815077,37,10,2500014,37,5,5,0,22,204.0,15,6425.47917431645
131,15,15,True,0,0,15,,0,0,0,random,30.0,404.6202198898795,235,1175.0,info0.7,4611.303298348193,True,True,0,45.0,1,4,0.38278580000041984,37,7,2500014,54,8,8,0,22,208.0,15,6069.303298348193
120,15,15,True,0,0,15,,0,0,0,random,30.0,415.5859918259136,256,1280.0,info1.2,4648.789877388704,True,True,0,45.0,1,4,0.35263989999657497,37,8,2500014,74,7,7,0,22,230.0,15,6233.789877388704
81,16,15,True,0,0,15,,1,1,0,random,30.0,406.83147086727814,275,1375.0,info0.3,4398.472063009173,True,True,0,48.0,2,4,0.4883745999832172,37,9,2500015,51,6,5,0,22,251.0,15,6102.472063009172
81,16,15,True,0,0,15,,1,1,0,random,30.0,398.85789713030016,275,1375.0,info0.7,4277.868456954504,True,True,0,48.0,2,4,0.5103345999959856,37,9,2500015,51,6,5,0,22,252.0,15,5982.868456954502
61,15,15,True,0,0,15,,0,0,0,random,30.0,448.4714785444805,272,1360.0,info1.2,5044.07217816721,True,True,0,45.0,1,4,0.38960860000224784,37,10,2500015,130,5,5,0,22,248.0,15,6727.072178167207
97,13,13,True,0,0,13,,0,1,0,random,26.0,468.26320892473717,274,1370.0,info0.3,4400.421716021582,True,True,0,39.0,0,4,0.40192790000583045,35,8,2500016,24,4,4,0,22,252.0,13,6087.421716021583
0,14,13,True,0,0,13,,1,0,0,random,26.0,440.0144257321381,243,1215.0,info0.7,4214.187534517793,True,True,0,42.0,0,4,0.24447380000492558,35,7,2500016,93,7,6,0,22,223.0,13,5720.187534517795
0,14,13,True,0,0,13,,1,0,0,random,26.0,452.40824531467626,245,1225.0,info1.2,4361.30718909079,True,True,0,42.0,0,4,0.24825900001451373,35,7,2500016,81,7,6,0,22,227.0,13,5881.307189090791
100,12,12,True,0,0,12,,0,0,0,random,24.0,485.9785031441736,257,1285.0,info0.3,4251.742037730084,True,True,0,36.0,1,4,0.32348790002288297,34,8,2500017,20,4,4,0,22,235.0,12,5831.742037730083
50,12,12,True,0,0,12,,0,0,0,random,24.0,509.29518022123966,272,1360.0,info0.7,4441.542162654878,True,True,0,36.0,0,4,0.26231610000832006,34,7,2500017,64,5,5,0,22,250.0,12,6111.542162654876
37,12,12,True,0,0,12,,0,0,0,random,24.0,532.3248226906197,271,1355.0,info1.2,4724.897872287438,True,True,0,36.0,0,4,0.24908639999921434,34,5,2500017,123,7,7,0,22,248.0,12,6387.897872287437
107,17,16,True,0,0,16,,1,0,0,random,32.0,358.9651889745165,247,1235.0,info0.3,4201.443023592264,True,True,0,51.0,0,4,0.3354133999964688,35,9,2500018,17,8,7,0,19,224.0,16,5743.443023592264
112,16,16,True,0,0,16,,0,0,0,random,32.0,346.0280751563189,228,1140.0,info0.7,4113.449202501102,True,True,0,48.0,2,4,0.39655320000019856,31,10,2500018,13,6,6,0,15,203.0,16,5536.449202501102
45,33,16,True,0,0,16,,17,1,0,random,32.0,367.91910203287284,230,1150.0,info1.2,4394.70563252596,True,True,0,99.0,1,4,0.48616349999792874,35,8,2500018,37,8,7,0,19,211.0,16,5886.7056325259655
41,11,11,True,0,0,11,,0,0,0,random,22.0,539.7323245386473,257,1285.0,info0.3,4364.055569925121,True,True,0,33.0,0,4,0.25733940000645816,33,5,2500019,77,6,6,0,22,233.0,11,5937.05556992512
41,11,11,True,0,0,11,,0,0,0,random,22.0,539.7323245386473,257,1285.0,info0.7,4364.055569925121,True,True,0,33.0,0,4,0.2650834000087343,33,5,2500019,77,6,6,0,22,233.0,11,5937.05556992512
27,11,11,True,0,0,11,,0,0,0,random,22.0,549.7870868180328,260,1300.0,info1.2,4456.657954998362,True,True,0,33.0,0,4,0.2923843000025954,33,5,2500019,112,6,6,0,22,236.0,11,6047.657954998361
67,54,15,True,0,0,15,,39,1,0,random,30.0,468.07593761521156,281,1405.0,info0.3,5168.139064228174,True,True,0,162.0,1,4,0.4773754999914672,37,11,2500020,48,4,3,0,22,256.0,15,7021.139064228173
43,55,15,True,0,0,15,,40,1,0,random,30.0,446.33109275354855,256,1280.0,info0.7,4985.966391303229,True,True,0,165.0,1,4,0.45471429999452084,37,10,2500020,36,6,4,0,22,234.0,15,6694.966391303228
29,54,15,True,0,0,15,,39,1,0,random,30.0,441.79758232504395,251,1255.0,info1.2,4949.96373487566,True,True,0,162.0,1,4,0.43441960000200197,37,9,2500020,35,6,5,0,22,230.0,15,6626.96373487566
93,19,12,True,0,0,12,,7,1,0,random,24.0,566.9854764284174,293,1465.0,info0.3,4989.8257171410105,True,True,0,57.0,0,4,0.42717029998311773,34,7,2500021,31,5,4,0,22,268.0,12,6803.82571714101
35,19,12,True,0,0,12,,7,1,0,random,24.0,547.3435225206161,299,1495.0,info0.7,4714.122270247395,True,True,0,57.0,1,4,0.4206588000233751,34,4,2500021,48,8,7,0,22,278.0,12,6568.122270247394
9,19,12,True,0,0,12,,7,1,0,random,24.0,543.645146410731,295,1475.0,info1.2,4689.741756928772,True,True,0,57.0,1,4,0.401875800016569,34,3,2500021,48,9,8,0,22,278.0,12,6523.741756928772
