absence_skipped_measurements,arm,candidate_evaluations,channels_certified_absent,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,discovery_closed,discovery_closed_by_absence,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paired_total_sources,paper_measurements_selected,problem,program_time_s,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s,wall_s
0,step,53,0,22,15,True,0,15,0,0,7,3,0,30.0,2.2737367544323206e-13,420.10330599215126,238,1190.0,4808.549589882268,True,0,66.0,15,0,4,0.5253123000002233,3,18,9,49,6,1910017,17,6,6,25,207.0,6301.549589882269,0.546710799986613
0,step,12,0,14,14,True,0,14,0,0,0,0,0,28.0,0.0,450.79069667056547,312,1560.0,4389.0697533879165,True,0,42.0,14,0,4,0.15510360000189394,0,11,5,44,6,1910018,30,8,8,25,292.0,6311.0697533879165,0.17499749999842606
0,step,50,0,15,14,True,0,14,0,0,1,0,0,28.0,0.0,414.4747467177294,259,1295.0,4201.646454048208,True,0,45.0,14,0,4,0.21934630000032485,0,16,10,49,6,1910019,57,9,8,25,233.0,5802.646454048211,0.23717100000067148
0,step,42,0,16,15,True,0,15,0,0,1,0,0,30.0,4.547473508864641e-13,389.90739522921945,293,1465.0,4032.61092843829,True,0,48.0,15,0,4,0.21668209999916144,0,19,10,50,9,1910020,50,7,6,25,273.0,5848.610928438292,0.2357616999943275
0,step,0,0,29,15,True,0,15,0,0,14,1,0,30.0,9.094947017729282e-13,393.4708214997087,242,1210.0,4352.062322495632,True,0,87.0,15,0,4,0.34598389999882784,1,14,7,47,6,1910021,93,9,8,25,223.0,5902.06232249563,0.36379699999815784
0,step,0,0,11,10,True,0,10,0,0,1,0,0,20.0,9.094947017729282e-13,597.81730375693,319,1595.0,4034.1730375692996,True,0,33.0,10,0,4,0.12861260000499897,0,8,4,39,4,1910022,66,7,6,25,296.0,5978.1730375693,0.14744089999294374
0,step,0,0,20,14,True,0,14,0,0,6,1,0,28.0,4.547473508864641e-13,426.93478169420365,246,1230.0,4434.086943718851,True,0,60.0,14,0,4,0.1913968000008026,1,10,4,42,5,1910023,64,9,8,25,225.0,5977.086943718851,0.21061069999996107
0,step,24,0,11,10,True,0,10,0,0,1,0,0,20.0,0.0,597.2089310903899,322,1610.0,4010.0893109039,True,0,33.0,10,0,4,0.1359381999936886,0,10,5,40,5,1910024,33,6,5,25,299.0,5972.089310903899,0.1538080999889644
0,step,13,0,12,12,True,0,12,0,0,0,0,0,24.0,0.0,497.1825875111599,278,1390.0,4263.191050133917,True,0,36.0,12,0,4,0.14783299999544397,0,12,7,44,5,1910025,31,7,7,25,253.0,5966.191050133919,0.16678840000531636
0,step,26,0,16,16,True,7,16,1,0,0,0,0,32.0,0.0,323.630441961557,225,1125.0,3770.087071384911,True,0,48.0,16,0,4,0.19112920000043232,0,23,15,41,8,1910026,37,8,8,18,203.0,5178.087071384912,0.20931819999532308
0,step,13,0,18,16,True,6,16,1,0,2,0,0,32.0,2.842170943040401e-14,335.6044416786757,177,885.0,4241.67106685881,True,0,54.0,16,0,4,0.20418250000511762,0,20,12,41,8,1910027,54,10,8,19,157.0,5369.671066858811,0.2226682000036817
0,step,15,0,12,12,True,0,12,0,0,0,0,0,24.0,5.684341886080802e-14,489.9607841706329,279,1395.0,4166.529410047595,True,0,36.0,12,0,4,0.15786459999799263,0,12,8,45,4,1910028,40,8,8,25,258.0,5879.529410047595,0.17523290000099223
0,step,25,0,14,11,True,0,11,0,0,3,0,0,22.0,0.0,576.1589399003087,348,1740.0,4213.748338903396,True,0,42.0,11,0,4,0.16212399999494664,0,17,11,47,6,1910029,75,8,5,25,320.0,6337.748338903396,0.17966530000558123
0,step,0,0,15,14,True,0,14,0,0,1,0,0,28.0,0.0,450.1072679062008,322,1610.0,4314.501750686812,True,0,45.0,14,0,4,0.1319171999930404,0,7,4,43,3,1910030,50,12,11,25,304.0,6301.501750686811,0.1503255999996327
0,step,52,0,27,12,True,0,12,0,0,15,1,0,24.0,9.094947017729282e-13,570.545366437537,320,1600.0,4848.5443972504445,True,0,81.0,12,0,4,0.36880169999494683,1,22,13,50,8,1910031,65,5,3,25,293.0,6846.5443972504445,0.3856314000004204
0,step,13,0,12,10,True,0,10,0,0,2,1,0,20.0,0.0,675.7548498607624,343,1715.0,4669.548498607624,True,0,36.0,10,0,4,0.3298999999969965,1,8,5,40,2,1910032,33,7,7,25,317.0,6757.548498607624,0.3503130000026431
0,step,84,0,18,12,True,0,12,0,0,6,1,0,24.0,0.0,502.33549610041496,303,1515.0,4155.025953204982,True,0,54.0,12,0,4,0.334956400009105,1,14,8,45,5,1910033,70,7,6,25,280.0,6028.0259532049795,0.35616309999022633
0,step,61,0,32,16,True,2,16,1,0,16,1,0,32.0,2.2737367544323206e-13,375.35123740259814,212,1060.0,4634.6197984415685,True,0,96.0,16,0,4,0.5010310999932699,1,21,12,49,8,1910034,56,8,7,23,183.0,6005.61979844157,0.5252219999965746
0,step,45,0,11,10,True,0,10,0,0,1,0,0,20.0,0.0,640.3319465479357,317,1585.0,4470.319465479355,True,0,33.0,10,1,4,0.18050410000432748,0,13,8,43,5,1910035,28,6,5,25,295.0,6403.319465479357,0.1999706999922637
0,step,51,0,28,10,True,0,10,0,0,18,1,0,20.0,0.0,658.5835405937547,330,1650.0,4526.835405937547,True,0,84.0,10,0,4,0.37167459999909624,1,15,10,45,4,1910036,44,5,5,25,305.0,6585.835405937547,0.3908826999977464
0,step,27,0,15,15,True,0,15,0,0,0,0,0,30.0,9.094947017729282e-13,400.5513049268379,269,1345.0,4345.2695739025685,True,0,45.0,15,0,4,0.23490790001233108,0,18,11,51,7,1910037,89,8,8,25,243.0,6008.2695739025685,0.25508849999459926
0,step,45,0,13,13,True,0,13,0,0,0,0,0,26.0,0.0,485.9431690999741,312,1560.0,4404.261198299662,True,0,39.0,13,0,4,0.22464929999841843,0,18,11,49,7,1910038,92,6,6,25,288.0,6317.261198299663,0.24438519999966957
0,step,11,0,16,14,True,0,14,0,0,2,0,0,28.0,0.0,443.0862182086443,317,1585.0,4247.207054921022,True,0,48.0,14,0,4,0.18783500000427011,0,15,7,45,8,1910039,91,8,6,25,295.0,6203.20705492102,0.2069238999974914
0,step,53,0,20,16,True,1,16,1,0,4,1,0,32.0,0.0,405.5635107971997,274,1370.0,4779.016172755194,True,0,60.0,16,0,4,0.2423488000058569,1,22,14,52,7,1910040,39,8,8,24,248.0,6489.016172755195,0.26209399999061134
0,step,64,0,15,11,True,0,11,0,0,4,1,0,22.0,0.0,599.3899343484219,329,1645.0,4584.289277832644,True,0,45.0,11,0,4,0.331864100007806,1,16,10,46,5,1910041,47,6,5,25,297.0,6593.28927783264,0.3508514999994077
0,step,15,0,12,12,True,0,12,0,0,0,0,0,24.0,0.0,542.8079900514686,338,1690.0,4446.695880617622,True,0,36.0,12,0,4,0.15022479998879135,0,11,7,44,4,1910042,35,8,8,25,317.0,6513.695880617623,0.16749579999304842
0,step,50,0,46,15,True,0,15,0,0,31,2,0,30.0,0.0,447.47181664292407,268,1340.0,4959.077249643867,True,0,138.0,15,0,4,0.44095370000286493,2,19,11,48,6,1910043,67,8,7,25,245.0,6712.077249643861,0.45838450000155717
0,step,0,0,21,12,True,0,12,0,0,9,1,0,24.0,0.0,533.9700153267352,293,1465.0,4585.64018392082,True,0,63.0,12,0,4,0.3022621000127401,1,11,4,39,6,1910044,108,7,5,25,270.0,6407.640183920822,0.3198303999961354
0,step,27,0,15,10,True,0,10,0,0,5,1,0,20.0,0.0,706.2867247697945,401,2005.0,4615.867247697947,True,0,45.0,10,0,4,0.30947069999820087,1,14,8,43,5,1910045,12,4,4,25,377.0,7062.8672476979455,0.3285042999923462
0,step,0,0,15,15,True,0,15,0,0,0,0,0,30.0,0.0,407.9904706815853,271,1355.0,4436.857060223779,True,0,45.0,15,0,4,0.151776400001836,0,10,5,44,5,1910046,70,10,10,25,253.0,6119.85706022378,0.17243320000125095
0,step,38,0,14,11,True,0,11,0,0,3,0,0,22.0,9.094947017729282e-13,593.496791665431,349,1745.0,4391.4647083197415,True,0,42.0,11,0,4,0.18795460001274478,0,16,10,46,6,1910047,41,8,5,25,328.0,6528.4647083197415,0.2059025000053225
0,step,38,0,15,13,True,0,13,0,0,2,0,0,26.0,0.0,447.9708437237807,267,1335.0,4173.620968409149,True,0,45.0,13,0,4,0.19567370000004303,0,22,13,51,9,1910048,38,6,4,25,244.0,5823.620968409149,0.21474830000079237
0,step,13,0,13,11,True,0,11,0,0,2,0,0,22.0,0.0,540.4865366917128,330,1650.0,3927.3519036088423,True,0,39.0,11,0,4,0.14321199999540113,0,11,5,41,6,1910049,41,7,5,25,307.0,5945.351903608841,0.16150059999199584
0,step,65,0,16,14,True,0,14,0,0,2,0,0,28.0,0.0,432.87219479536594,280,1400.0,4326.210727135124,True,0,48.0,14,0,4,0.22212219999346416,0,20,11,50,9,1910050,24,7,5,25,258.0,6060.210727135123,0.24105370001052506
0,step,41,0,17,16,True,3,16,1,0,1,0,0,32.0,1.1368683772161603e-13,332.999804931092,208,1040.0,4013.996878897471,True,0,51.0,16,0,4,0.22595420001016464,0,15,10,46,5,1910051,70,12,11,22,191.0,5327.996878897472,0.2434588000032818
0,step,101,0,13,13,True,0,13,0,0,0,0,0,26.0,0.0,515.8569169567168,347,1735.0,4584.139920437317,True,0,39.0,13,0,4,0.2478351999889128,0,24,14,52,10,1910052,29,3,3,25,322.0,6706.139920437318,0.2655679000017699
0,step,28,0,14,14,True,0,14,0,0,0,0,0,28.0,0.0,449.50143501758004,278,1390.0,4585.020090246121,True,0,42.0,14,0,4,0.19474900000204798,0,12,8,47,4,1910053,79,10,10,25,248.0,6293.02009024612,0.2124132000026293
0,step,54,0,21,11,True,0,11,0,0,10,1,0,22.0,0.0,587.1885381464267,329,1645.0,4422.0739196106915,True,0,63.0,11,0,4,0.3332334000006085,1,11,7,43,3,1910054,43,8,7,25,307.0,6459.073919610693,0.3508645000110846
0,step,50,0,13,13,True,0,13,0,0,0,0,0,26.0,0.0,485.2696609714643,286,1430.0,4553.505592629035,True,0,39.0,13,0,4,0.2085575999954017,0,15,9,47,6,1910055,44,7,7,25,260.0,6308.505592629036,0.22800560000177938
0,step,41,0,11,11,True,0,11,0,0,0,0,0,22.0,0.0,578.0072184396588,340,1700.0,4297.079402836248,True,0,33.0,11,0,4,0.1839207000011811,0,14,10,46,4,1910056,44,7,7,25,306.0,6358.079402836247,0.20098660000076052
0,step,26,0,63,11,True,0,11,0,0,52,2,0,22.0,0.0,647.1692342319736,352,1760.0,4820.8615765517,True,0,189.0,11,0,4,0.4383986000029836,2,11,6,42,3,1910057,27,6,6,25,327.0,7118.86157655171,0.4562595000024885
0,step,14,0,16,16,True,2,16,1,0,0,0,0,32.0,0.0,380.0048633262504,288,1440.0,4295.077813220006,True,0,48.0,16,0,4,0.1528408999874955,0,10,6,43,4,1910058,58,12,12,23,265.0,6080.077813220007,0.170518600003561
0,step,13,0,13,12,True,0,12,0,0,1,0,0,24.0,4.547473508864641e-13,493.64217577076147,266,1330.0,4288.7061092491385,True,0,39.0,12,0,4,0.14234579999174457,0,5,4,41,1,1910059,108,12,11,25,242.0,5923.706109249138,0.1597959000064293
