candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,kind,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,problem,program_time_s,safe_clear_points,seed,skipped_known_measurements,stations_visited,switch_s,total,virtual_time_s
263,12,12,True,12,,0,0,0,random,24.0,0.0,287.0898156018404,116,580.0,tour,2695.0777872220847,True,True,25,36.0,3,0.18762679997598752,12,2200004,0,7,110.0,12,3445.077787222085
254,12,12,True,12,,0,0,2,random,24.0,0.0,274.13958989181725,112,560.0,select,2563.675078701807,True,True,22,36.0,3,0.18993600000976585,12,2200004,7,7,106.0,12,3289.675078701807
263,12,12,True,12,,0,0,0,random,24.0,0.0,284.5898156018404,111,555.0,tour_select,2695.0777872220847,True,True,20,36.0,3,0.1881271000020206,12,2200004,5,7,105.0,12,3415.077787222085
285,12,12,True,12,,0,0,0,random,24.0,0.0,276.9586751657945,110,550.0,priced,2611.504101989534,True,True,17,36.0,3,0.20057719998294488,12,2200004,4,7,102.0,12,3323.504101989534
417,16,16,True,16,,0,0,8,random,32.0,0.0,242.57679860294064,117,585.0,baseline,3111.2287776470494,True,True,18,48.0,3,0.22665369999594986,15,2200005,0,7,105.0,16,3881.2287776470503
417,16,16,True,16,,0,0,2,random,32.0,0.0,242.57679860294064,117,585.0,free,3111.2287776470494,True,True,18,48.0,3,0.23018729998148046,15,2200005,0,7,105.0,16,3881.2287776470503
395,16,16,True,16,,0,0,0,random,32.0,0.0,221.68279112800874,97,485.0,tour,2896.9246580481395,True,True,14,48.0,3,0.2456044000282418,16,2200005,0,6,85.0,16,3546.92465804814
417,16,16,True,16,,0,0,2,random,32.0,0.0,240.70179860294064,112,560.0,select,3111.2287776470494,True,True,13,48.0,3,0.22993670002324507,15,2200005,5,7,100.0,16,3851.2287776470503
395,16,16,True,16,,0,0,0,random,32.0,0.0,220.55779112800874,94,470.0,tour_select,2896.9246580481395,True,True,11,48.0,3,0.24040189999504946,16,2200005,3,6,82.0,16,3528.92465804814
407,16,16,True,16,,0,0,2,random,32.0,0.0,239.3585544280001,107,535.0,priced,3120.736870848001,True,True,9,48.0,3,0.25623530001030304,16,2200005,1,7,94.0,16,3829.7368708480017
307,13,13,True,13,,0,0,6,random,26.0,0.0,334.0313762874092,120,600.0,baseline,3565.40789173632,True,True,22,39.0,3,0.20951799998874776,12,2200006,0,7,112.0,13,4342.4078917363195
320,13,13,True,13,,0,0,3,random,26.0,0.0,292.7556666657408,124,620.0,free,3006.8236666546304,True,True,23,39.0,3,0.21827049998682924,13,2200006,0,7,114.0,13,3805.8236666546304
285,13,13,True,13,,0,0,2,random,26.0,0.0,285.97294005942575,126,630.0,tour,2904.6482207725344,True,True,18,39.0,3,0.18623469999874942,13,2200006,0,7,118.0,13,3717.648220772535
320,13,13,True,13,,0,0,3,random,26.0,0.0,291.3710512811254,121,605.0,select,3006.8236666546304,True,True,20,39.0,3,0.2203741999983322,13,2200006,3,7,111.0,13,3787.8236666546304
