kind,seed,mode,ok,error,normal_exit,cleared,total,mean_time_s,max_step_error,measure,clear,failed_clear,fallback
sixteen,2400011,baseline,True,,True,16,16,289.50360932034494,0.0,122,16,0,0
sixteen,2400011,maintained,True,,True,16,16,251.33571844196402,4.547473508864641e-13,110,16,0,0
sixteen,2400012,baseline,True,,True,16,16,275.0989999629245,0.0,105,16,0,0
sixteen,2400012,maintained,True,,True,16,16,256.4893398903828,0.0,122,16,0,0
sixteen,2400013,baseline,True,,True,16,16,286.6345249037503,4.547473508864641e-13,128,16,0,0
sixteen,2400013,maintained,True,,True,16,16,253.38142647279636,5.684341886080802e-14,118,16,0,0
sixteen,2400014,baseline,True,,True,16,16,270.4180109986822,0.0,122,16,0,0
sixteen,2400014,maintained,True,,True,16,16,247.45292235820648,0.0,124,16,0,0
sixteen,2400015,baseline,True,,True,16,16,259.9274586020646,5.684341886080802e-14,115,16,0,0
sixteen,2400015,maintained,True,,True,16,16,229.92532803180626,5.684341886080802e-14,110,16,0,0
sixteen,2400016,baseline,True,,True,16,16,249.22342315054203,0.0,116,16,0,0
sixteen,2400016,maintained,True,,True,16,16,240.60057823446994,0.0,120,16,0,0
sixteen,2400017,baseline,True,,True,16,16,295.3520948961563,2.2737367544323206e-13,126,16,0,0
sixteen,2400017,maintained,True,,True,16,16,240.52894476723947,2.842170943040401e-14,114,16,0,0
sixteen,2400018,baseline,True,,True,16,16,264.2734884913645,0.0,102,16,0,0
sixteen,2400018,maintained,True,,True,16,16,234.86988490056586,0.0,121,16,0,0
sixteen,2400019,baseline,True,,True,16,16,269.61882940617795,0.0,127,16,0,0
sixteen,2400019,maintained,True,,True,16,16,229.64687917958307,1.1368683772161603e-13,114,16,0,0
plus,2400000,baseline,True,,True,15,15,281.2341990545782,0.0,110,15,0,0
plus,2400000,maintained,True,,True,15,15,257.9593910302937,0.0,112,15,0,0
plus,2400001,baseline,True,,True,13,13,266.24158143518144,2.842170943040401e-14,114,13,0,0
plus,2400001,maintained,True,,True,13,13,263.7256049806681,0.0,118,13,0,0
plus,2400002,baseline,True,,True,10,10,363.0682092912154,5.684341886080802e-14,120,10,0,0
plus,2400002,maintained,True,,True,10,10,389.2980676530136,2.2737367544323206e-13,121,10,0,0
plus,2400003,baseline,True,,True,14,14,294.35853281210996,0.0,115,14,0,0
plus,2400003,maintained,True,,True,14,14,279.56245181401357,0.0,120,14,0,0
plus,2400004,baseline,True,,True,15,15,256.04999517845636,0.0,98,15,0,0
plus,2400004,maintained,True,,True,15,15,254.5133028000303,5.684341886080802e-14,122,15,0,0
plus,2400005,baseline,True,,True,13,13,334.6418770509799,0.0,127,13,0,0
plus,2400005,maintained,True,,True,13,13,272.0588237794966,2.2737367544323206e-13,118,13,0,0
plus,2400006,baseline,True,,True,11,11,361.956499558478,0.0,127,11,0,0
