problem,complete,cleared,virtual_time_s,mean_time_s,program_time_s,stations_visited,scheduling_policy,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,skipped_known_measurements,route_replans,negative_observations,negative_region_fallbacks,negative_constraints,extra_probe_attempts,extra_probe_successes,ring_activated,coverage_sites_cancelled,strategy,coverage_layout,q3_ring_guard,q3_probe_radius,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,True,13,3246.374693247738,249.721130249826,0.13963479999802075,7,joint_route,103,14,1,0,2567.374693247737,96.0,515.0,42.0,26.0,171,13,0,8,10,12,18,False,0,0,4,3,1,0,integrated,original,aggressive,40.0,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3484000,13,1.0,950.0,fixed,0
3,True,16,2894.536197153719,180.90851232210744,0.2144743999961065,7,joint_route,95,16,0,0,2256.536197153718,83.0,475.0,48.0,32.0,286,16,1,9,9,12,20,False,0,0,5,5,1,0,integrated,original,aggressive,40.0,True,0.0,LOCAL_SYNTHETIC,3484001,16,1.0,950.0,fixed,0
3,True,12,3290.796842596111,274.2330702163426,0.12702680000802502,7,joint_route,111,12,0,0,2572.796842596111,103.0,555.0,36.0,24.0,160,12,3,9,8,16,15,False,0,0,4,4,1,0,integrated,original,aggressive,40.0,True,0.0,LOCAL_SYNTHETIC,3484002,12,1.0,950.0,fixed,0
3,True,16,3325.5008530086775,207.84380331304234,0.1864830999984406,7,joint_route,94,17,1,0,2690.500853008678,82.0,470.0,51.0,32.0,207,16,1,13,12,19,20,False,0,0,5,4,1,0,integrated,original,aggressive,40.0,True,0.0,LOCAL_SYNTHETIC,3484003,16,1.0,950.0,fixed,0
3,True,11,2997.1840892127475,272.4712808375225,0.13969700000598095,7,joint_route,114,11,0,0,2267.184089212748,105.0,570.0,33.0,22.0,215,11,1,4,9,7,16,False,0,0,1,1,1,0,integrated,original,aggressive,40.0,True,0.0,LOCAL_SYNTHETIC,3484004,11,1.0,950.0,fixed,0
3,True,16,2843.300500771182,177.7062812981989,0.19173459999728948,5,joint_route,79,16,0,0,2301.300500771182,67.0,395.0,48.0,32.0,241,16,2,11,9,12,18,False,0,0,7,7,1,2,integrated,original,aggressive,40.0,True,0.0,LOCAL_SYNTHETIC,3484005,16,1.0,950.0,fixed,0
3,True,16,3135.746374257646,195.98414839110288,0.20146050000039395,6,joint_route,99,17,1,0,2469.746374257646,88.0,495.0,51.0,32.0,297,16,3,10,11,8,18,False,0,0,6,5,1,1,integrated,original,aggressive,40.0,True,0.0,LOCAL_SYNTHETIC,3484006,16,1.0,950.0,fixed,0
3,True,14,3221.7257295303007,230.1232663950215,0.16108709998661652,7,joint_route,96,14,0,0,2585.7257295303007,86.0,480.0,42.0,28.0,260,14,1,6,10,9,19,False,0,0,4,4,1,0,integrated,original,aggressive,40.0,True,0.0,LOCAL_SYNTHETIC,3484007,14,1.0,950.0,fixed,0
3,True,10,2643.0154844198587,264.30154844198586,0.09902510000392795,7,joint_route,98,11,1,0,2008.0154844198585,92.0,490.0,33.0,20.0,92,10,1,9,7,22,15,False,0,0,4,3,1,0,integrated,original,aggressive,40.0,True,0.0,LOCAL_SYNTHETIC,3484008,10,1.0,950.0,fixed,0
3,True,14,3339.9567025780098,238.56833589842927,0.16434609999123495,7,joint_route,98,14,0,0,2689.9567025780093,90.0,490.0,42.0,28.0,238,14,0,7,12,11,19,False,0,0,2,2,1,0,integrated,original,aggressive,40.0,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3484009,14,1.0,950.0,fixed,0
3,True,16,3192.5878894474718,199.53674309046698,0.20030369999585673,6,joint_route,95,17,1,0,2549.5878894474727,85.0,475.0,51.0,32.0,318,16,4,7,13,16,17,False,0,0,4,3,1,1,integrated,original,aggressive,40.0,True,0.0,LOCAL_SYNTHETIC,3484010,16,1.0,950.0,fixed,0
3,True,15,3107.9968538491603,207.1997902566107,0.1672052999929292,7,joint_route,97,15,0,0,2460.9968538491603,87.0,485.0,45.0,30.0,216,15,1,11,11,11,20,False,0,0,3,3,1,0,integrated,original,aggressive,40.0,True,0.0,LOCAL_SYNTHETIC,3484011,15,1.0,950.0,fixed,0
3,True,11,3069.9827001777085,279.0893363797917,0.11847760000091512,7,joint_route,107,11,0,0,2380.9827001777085,99.0,535.0,33.0,22.0,148,11,1,7,8,8,16,False,0,0,3,3,1,0,integrated,original,aggressive,40.0,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3484012,11,1.0,950.0,fixed,0
3,True,14,3195.9597633291237,228.28284023779455,0.1685348999890266,7,joint_route,96,15,1,0,2556.9597633291237,86.0,480.0,45.0,28.0,262,14,1,5,10,9,19,False,0,0,4,3,1,0,integrated,original,aggressive,40.0,True,0.0,LOCAL_SYNTHETIC,3484013,14,1.0,950.0,fixed,0
3,True,15,2959.7081778905463,197.3138785260364,0.17836230000830255,7,joint_route,95,16,1,0,2320.7081778905467,86.0,475.0,48.0,30.0,205,15,1,12,11,17,19,False,0,0,4,3,1,0,integrated,original,aggressive,40.0,True,0.0,LOCAL_SYNTHETIC,3484014,15,1.0,950.0,fixed,0
3,True,11,2539.9154484974115,230.9014044088556,0.09418320000986569,7,joint_route,94,11,0,0,1926.9154484974124,88.0,470.0,33.0,22.0,92,11,0,9,5,12,16,False,0,0,6,6,1,0,integrated,original,aggressive,40.0,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3484015,11,1.0,950.0,fixed,0
3,True,11,3096.1005079866886,281.4636825442444,0.12179400000604801,7,joint_route,108,11,0,0,2402.1005079866886,99.0,540.0,33.0,22.0,172,11,2,6,8,14,15,False,0,0,3,3,1,0,integrated,original,aggressive,40.0,True,0.0,LOCAL_SYNTHETIC,3484016,11,1.0,950.0,fixed,0
3,True,14,3314.699910560294,236.7642793257353,0.1649082000076305,7,joint_route,112,14,0,0,2582.699910560294,102.0,560.0,42.0,28.0,263,14,1,6,10,14,18,False,0,0,3,3,1,0,integrated,original,aggressive,40.0,True,0.0,LOCAL_SYNTHETIC,3484017,14,1.0,950.0,fixed,0
3,True,16,3091.2583817346163,193.20364885841352,0.8588455999997677,6,joint_route,96,16,0,0,2446.2583817346163,85.0,480.0,48.0,32.0,250,16,6,10,10,14,15,False,0,0,5,5,1,1,integrated,original,aggressive,40.0,True,0.0,LOCAL_SYNTHETIC,3484018,16,1.0,950.0,fixed,0
3,True,14,3146.0425182195922,224.71732272997087,1.0414175000041723,7,joint_route,106,14,0,0,2452.042518219593,94.0,530.0,42.0,28.0,262,14,2,9,11,14,18,False,0,0,2,2,1,0,integrated,original,aggressive,40.0,True,0.0,LOCAL_SYNTHETIC,3484019,14,1.0,950.0,fixed,0
