problem,complete,cleared,virtual_time_s,mean_time_s,program_time_s,stations_visited,scheduling_policy,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,skipped_known_measurements,route_replans,negative_observations,negative_region_fallbacks,negative_constraints,ring_activated,coverage_sites_cancelled,strategy,coverage_layout,q3_ring_guard,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,True,16,3027.916172342685,189.24476077141782,0.254423799997312,7,joint_route,107,16,0,0,2315.9161723426846,97.0,535.0,48.0,32.0,344,16,1,11,16,13,20,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482083,16,1.0,950.0,fixed,0
3,True,16,2975.971023713373,185.99818898208582,0.2265385999926366,6,joint_route,82,16,0,0,2410.971023713373,75.0,410.0,48.0,32.0,251,16,2,16,15,12,19,False,0,0,1,1,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482084,16,1.0,950.0,fixed,0
3,True,13,3039.2722465425854,233.7901728109681,0.19276440000976436,7,joint_route,115,13,0,0,2291.2722465425836,108.0,575.0,39.0,26.0,274,13,1,8,13,9,18,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482085,13,1.0,950.0,fixed,0
3,True,16,3449.6048984480567,215.60030615300354,0.2712071999994805,7,joint_route,103,16,0,0,2764.6048984480567,90.0,515.0,48.0,32.0,399,16,1,7,16,8,19,False,0,0,1,0,integrated,original,aggressive,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3482086,16,1.0,950.0,fixed,0
3,True,16,3063.450464138137,191.46565400863355,0.2645717999985209,4,joint_route,75,16,0,0,2543.450464138137,65.0,375.0,48.0,32.0,398,16,9,7,16,16,10,False,0,0,1,3,integrated,original,aggressive,True,5.684341886080802e-14,LOCAL_SYNTHETIC,3482087,16,1.0,950.0,fixed,0
3,True,16,3160.4723293334814,197.5295205833426,0.2389336999913212,6,joint_route,106,16,0,0,2456.4723293334814,94.0,530.0,48.0,32.0,363,16,8,9,16,15,13,False,0,0,1,1,integrated,original,aggressive,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3482088,16,1.0,950.0,fixed,0
3,True,12,3179.958154292744,264.99651285772865,0.21380549999594223,7,joint_route,112,12,0,0,2458.958154292743,101.0,560.0,36.0,24.0,322,12,0,6,10,6,17,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482089,12,1.0,950.0,fixed,0
3,True,11,3708.761132094089,337.16010291764445,0.1774345000012545,7,joint_route,128,11,0,0,2896.761132094088,117.0,640.0,33.0,22.0,239,11,2,6,11,9,15,False,0,0,1,0,integrated,original,aggressive,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3482090,11,1.0,950.0,fixed,0
3,True,14,3608.8084184407576,257.7720298886255,0.2047793000092497,7,joint_route,107,14,0,0,2904.8084184407576,99.0,535.0,42.0,28.0,286,14,2,7,12,12,17,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482091,14,1.0,950.0,fixed,0
3,True,12,2859.6195005659897,238.3016250471658,0.17192809999687597,7,joint_route,103,12,0,0,2187.6195005659897,97.0,515.0,36.0,24.0,184,12,1,12,11,22,17,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482092,12,1.0,950.0,fixed,0
