candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,layout,localization,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,safe_clear_points,scenario,seed,station_count,stations_visited,switch_s,tail_time_s,total,virtual_time_s,wall_s
286,15,15,True,0,,0,0,0,30.0,compressed,paper,9.094947017729282e-13,528.8244052308116,307,1535.0,6054.366078462177,True,True,0,45.0,0,4,0.6390134999965085,15,boundary_tangent,1600011,31,31,268.0,2848.389830454078,15,7932.366078462175,0.6391210000001593
186,11,11,True,0,,0,0,0,22.0,centered,paper,0.0,858.8337375808186,404,2020.0,7003.171113389009,True,True,0,33.0,0,4,0.4382541999948444,11,boundary_tangent,1600012,31,31,369.0,445.312414901593,11,9447.171113389004,0.43839260000095237
186,11,11,True,0,,0,0,0,22.0,compressed,paper,0.0,767.7358392123609,404,2020.0,6001.09423133597,True,True,0,33.0,0,4,0.42252739999094047,11,boundary_tangent,1600012,31,31,369.0,300.2719703788289,11,8445.09423133597,0.4226632000063546
174,12,12,True,0,,0,0,0,24.0,centered,paper,0.0,766.0514464977404,371,1855.0,6946.6173579728875,True,True,0,36.0,0,4,0.43050629999197554,12,boundary_tangent,1600013,31,31,331.0,4224.966709252093,12,9192.617357972884,0.430617699996219
174,12,12,True,0,,0,0,0,24.0,compressed,paper,0.0,677.6247476436329,371,1855.0,5885.4969717235945,True,True,0,36.0,0,4,0.41404759998840746,12,boundary_tangent,1600013,31,31,331.0,3163.8463230028037,12,8131.4969717235945,0.41416729999764357
352,16,16,True,0,,0,0,0,32.0,centered,paper,2.2737367544323206e-13,517.9966518993051,304,1520.0,6429.946430388882,True,True,0,48.0,0,4,0.7927419999905396,16,boundary_tangent,1600014,31,26,258.0,0.0,16,8287.946430388882,0.7928803999966476
352,16,16,True,0,,0,0,0,32.0,compressed,paper,2.2737367544323206e-13,474.5639957022572,304,1520.0,5735.0239312361155,True,True,0,48.0,0,4,0.7838068999990355,16,boundary_tangent,1600014,31,26,258.0,0.0,16,7593.0239312361155,0.783940099994652
208,10,10,True,0,,0,0,0,20.0,centered,paper,0.0,1029.2244719669357,438,2190.0,7652.244719669362,True,True,0,30.0,0,4,0.48494799999753013,10,boundary_tangent,1600015,31,31,400.0,1963.5664020496279,10,10292.244719669357,0.4850860000005923
208,10,10,True,0,,0,0,0,20.0,compressed,paper,0.0,926.746814709014,452,2260.0,6543.46814709014,True,True,0,30.0,0,4,0.4873033000039868,10,boundary_tangent,1600015,31,31,414.0,130.04555186009748,10,9267.46814709014,0.48745250000501983
270,15,15,True,0,,0,0,0,30.0,centered,paper,0.0,640.836508616991,354,1770.0,7457.5476292548665,True,True,0,45.0,1,4,0.6266242999990936,15,boundary_tangent,1600016,31,31,310.0,404.4719239995393,15,9612.547629254865,0.626740299994708
270,15,15,True,0,,0,0,0,30.0,compressed,paper,0.0,572.2602377597609,354,1770.0,6428.90356639641,True,True,0,45.0,1,4,0.5972278999979608,15,boundary_tangent,1600016,31,31,310.0,269.8860423019305,15,8583.903566396413,0.597371000010753
204,10,10,True,0,,0,0,0,20.0,centered,paper,0.0,991.856848685991,436,2180.0,7289.568486859912,True,True,0,30.0,0,4,0.4574900000006892,10,boundary_tangent,1600017,31,31,399.0,464.57422625511936,10,9918.568486859911,0.4576563000009628
204,10,10,True,0,,0,0,0,20.0,compressed,paper,0.0,891.405522171987,436,2180.0,6285.05522171987,True,True,0,30.0,0,4,0.47333520000393037,10,boundary_tangent,1600017,31,31,399.0,325.36164927454774,10,8914.05522171987,0.4734824000042863
180,14,14,True,0,,0,0,0,28.0,centered,paper,9.094947017729282e-13,681.4397794465334,344,1720.0,7440.156912251469,True,True,0,42.0,1,4,0.4571408999909181,14,boundary_tangent,1600018,31,31,310.0,1339.1667867472315,14,9540.156912251468,0.4572681999998167
180,41,14,True,0,,27,2,0,28.0,compressed,paper,9.094947017729282e-13,639.2901532113757,346,1730.0,6759.062144959262,True,True,0,123.0,1,4,0.8016785000072559,12,boundary_tangent,1600018,31,31,310.0,1071.837822423814,14,8950.06214495926,0.8017987000057474
235,15,15,True,0,,0,0,0,30.0,centered,paper,0.0,640.195976312529,346,1730.0,7492.939644687937,True,True,0,45.0,3,4,0.6122750000067754,15,boundary_tangent,1600019,31,31,305.0,398.3182884984035,15,9602.939644687935,0.6123989000043366
235,15,15,True,0,,0,0,0,30.0,compressed,paper,0.0,568.7719359022684,349,1745.0,6403.57903853403,True,True,0,45.0,3,4,0.6055649000045378,15,boundary_tangent,1600019,31,31,308.0,77.08027258993934,15,8531.579038534026,0.6056882999982918
