problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,strategy,seed,total,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
3,15,5536.744973860594,369.11633159070624,0.269912400006433,True,7,94,15,0,0,baseline,310000,15,4920.744973860593,71.0,470.0,45.0,30.0,,,,,
3,15,4661.312098070201,310.7541398713467,0.26182510000944603,True,7,90,15,0,0,local,310000,15,4065.3120980702015,71.0,450.0,45.0,30.0,478,0,0,0,0
3,15,4843.35677074141,322.8904513827607,0.2434512000036193,True,7,94,15,0,0,route,310000,15,4221.356770741411,77.0,470.0,45.0,30.0,443,0,0,0,0
3,15,4800.414161513452,320.0276107675635,0.2630150000040885,True,7,95,15,0,0,safe,310000,15,4173.414161513454,77.0,475.0,45.0,30.0,455,0,0,0,14
3,10,4169.337602070421,416.9337602070421,0.12591050000628456,True,7,115,10,0,0,baseline,310001,10,3443.337602070421,101.0,575.0,30.0,20.0,,,,,
3,10,4113.4281103528265,411.34281103528264,0.15435379999689758,True,7,113,10,0,0,local,310001,10,3397.4281103528265,101.0,565.0,30.0,20.0,272,0,0,0,0
3,10,3773.606673472862,377.3606673472862,0.13997509999899194,True,7,116,10,0,0,route,310001,10,3036.606673472862,107.0,580.0,30.0,20.0,237,0,0,0,0
3,10,3754.4427850917677,375.4442785091768,0.14070199998968747,True,7,116,10,0,0,safe,310001,10,3017.4427850917673,107.0,580.0,30.0,20.0,237,0,0,0,10
3,10,4207.679614741937,420.7679614741937,0.12956830000621267,True,7,123,10,0,0,baseline,310002,10,3437.6796147419373,105.0,615.0,30.0,20.0,,,,,
3,10,3675.510213475772,367.5510213475772,0.14423900000110734,True,7,117,10,0,0,local,310002,10,2935.510213475772,105.0,585.0,30.0,20.0,273,0,0,0,0
3,10,3572.461498284134,357.2461498284134,0.12782749999314547,True,7,116,10,0,0,route,310002,10,2833.461498284135,109.0,580.0,30.0,20.0,226,0,0,0,0
3,10,3561.4842380695204,356.14842380695205,0.13302870000188705,True,7,116,10,0,0,safe,310002,10,2822.484238069521,109.0,580.0,30.0,20.0,226,0,0,0,10
3,14,4546.8480894732775,324.77486353380556,0.23128260001249146,True,7,109,14,0,0,baseline,310003,14,3841.848089473279,90.0,545.0,42.0,28.0,,,,,
3,14,4021.8514885864797,287.27510632760567,0.24880290000874083,True,7,104,14,0,0,local,310003,14,3341.8514885864793,90.0,520.0,42.0,28.0,374,0,0,0,0
3,14,4817.093639818073,344.07811712986233,0.26874109999334905,True,7,108,14,0,0,route,310003,14,4113.093639818074,94.0,540.0,42.0,28.0,386,0,0,0,0
3,14,4783.446068218642,341.67471915847443,0.23973029998887796,True,7,109,14,0,0,safe,310003,14,4074.4460682186423,94.0,545.0,42.0,28.0,398,0,0,0,13
3,14,4470.24576869473,319.30326919248074,0.26274950000515673,True,7,100,14,0,0,baseline,310004,14,3813.2457686947287,87.0,500.0,42.0,28.0,,,,,
3,14,4194.8876579942535,299.63483271387526,0.23970780000672676,True,7,99,14,0,0,local,310004,14,3542.8876579942535,87.0,495.0,42.0,28.0,373,0,0,0,0
3,14,4134.711344770758,295.3365246264827,0.21361069999693427,True,7,102,14,0,0,route,310004,14,3463.711344770757,91.0,510.0,42.0,28.0,362,0,0,0,0
3,14,4103.181805468446,293.0844146763176,0.24667300000146497,True,7,102,14,0,0,safe,310004,14,3432.1818054684463,91.0,510.0,42.0,28.0,362,0,0,0,12
3,12,4362.940391172239,363.57836593101996,0.20413420000113547,True,7,112,12,0,0,baseline,310005,12,3644.94039117224,98.0,560.0,36.0,24.0,,,,,
3,12,4063.1272444287097,338.5939370357258,0.17510740000579972,True,7,108,12,0,0,local,310005,12,3365.1272444287097,98.0,540.0,36.0,24.0,293,0,0,0,0
3,12,4047.288077436889,337.2740064530741,0.19426999999268446,True,7,111,12,0,0,route,310005,12,3329.2880774368896,103.0,555.0,36.0,24.0,282,0,0,0,0
3,12,4034.587848071056,336.21565400592135,0.22291050000058021,True,7,111,12,0,0,safe,310005,12,3316.587848071056,103.0,555.0,36.0,24.0,282,0,0,0,12
3,16,5366.704408729668,335.41902554560426,0.29014379999716766,True,7,110,16,0,0,baseline,310006,16,4647.704408729669,89.0,550.0,48.0,32.0,,,,,
3,16,4589.619409368168,286.8512130855105,0.2564221000066027,True,7,104,16,0,0,local,310006,16,3900.6194093681684,89.0,520.0,48.0,32.0,429,0,0,0,0
3,16,4430.391358426346,276.89945990164665,0.2922299999918323,True,5,90,16,0,0,route,310006,16,3824.391358426345,76.0,450.0,48.0,32.0,461,0,0,0,0
3,16,4609.160069921467,288.0725043700917,0.3070985000085784,True,7,116,16,0,0,safe,310006,16,3850.1600699214678,99.0,580.0,48.0,32.0,475,0,0,0,15
3,10,3643.435748714233,364.3435748714233,0.15558669999882113,True,7,118,10,0,0,baseline,310007,10,2896.4357487142333,107.0,590.0,30.0,20.0,,,,,
3,10,3423.5579567525247,342.35579567525247,0.1422212000034051,True,7,115,10,0,0,local,310007,10,2691.557956752525,107.0,575.0,30.0,20.0,237,0,0,0,0
3,10,3065.5895339602985,306.55895339602984,0.1665798000030918,True,7,118,10,0,0,route,310007,10,2315.5895339602985,110.0,590.0,30.0,20.0,237,0,0,0,0
3,10,3191.811149215147,319.1811149215147,0.20161360000201967,True,7,116,10,0,0,safe,310007,10,2454.811149215148,107.0,580.0,30.0,20.0,249,0,0,0,10
3,13,4842.021372484544,372.4631824988111,0.2765763999923365,True,7,99,13,0,0,baseline,310008,13,4200.021372484545,82.0,495.0,39.0,26.0,,,,,
