arm,candidate_evaluations,clear,cleared,complete,deferred_targets,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,move_s,negative_constraints,negative_observations,negative_region_fallbacks,normal_exit,opportunistic_measures,optical_s,problem,program_time_s,route_replans,safe_clear_points,scheduling_policy,seed,skipped_known_measurements,sources,stations_visited,switch_s,virtual_time_s,wall_s
default,355,15,15,True,15,0,0,1,30.0,255.09112535516354,110,550.0,3102.366880327453,0,0,0,True,17,45.0,3,0.25542839999252465,18,15,joint_route,3000045,4,15,7,99.0,3826.366880327453,0.25549270000192337
negative,355,15,15,True,15,0,0,1,30.0,246.03928663229908,110,550.0,2966.5892994844858,67,66,0,True,17,45.0,3,0.25803529999393504,18,14,joint_route,3000045,4,15,7,99.0,3690.589299484486,0.2581069000007119
default,385,15,15,True,15,0,0,1,30.0,268.5746084530467,120,600.0,3244.6191267957,0,0,0,True,15,45.0,3,0.24084349999611732,19,12,joint_route,3000046,3,15,7,109.0,4028.6191267957006,0.24090160000196192
negative,400,15,15,True,15,0,0,1,30.0,265.0219407183276,122,610.0,3181.329110774913,112,76,0,True,15,45.0,3,0.2675306000019191,19,12,joint_route,3000046,3,15,7,109.0,3975.3291107749137,0.26760409999405965
default,266,10,10,True,10,0,0,1,20.0,320.92706299609387,123,615.0,2432.2706299609385,0,0,0,True,6,30.0,3,0.19624299999850336,11,10,joint_route,3000047,0,10,7,112.0,3209.2706299609385,0.19630730000790209
negative,266,10,10,True,10,0,0,1,20.0,321.7995329308768,123,615.0,2440.9953293087683,68,90,0,True,6,30.0,3,0.2038587999995798,11,10,joint_route,3000047,0,10,7,112.0,3217.9953293087683,0.20393519999925047
default,341,15,15,True,15,0,0,1,30.0,235.76105555501837,111,555.0,2803.415833325277,0,0,0,True,13,45.0,3,0.23859610001090914,19,15,joint_route,3000048,2,15,7,103.0,3536.415833325276,0.23866149999957997
negative,329,15,15,True,15,0,0,1,30.0,229.34285273688434,110,550.0,2712.142791053265,69,69,0,True,13,45.0,3,0.23648859999957494,19,15,joint_route,3000048,2,15,7,103.0,3440.1427910532652,0.23656669999763835
default,407,16,16,True,16,0,0,1,32.0,237.3818594133655,92,460.0,3179.109750613847,0,0,0,True,8,48.0,3,0.25038270000368357,17,14,joint_route,3000049,0,16,7,79.0,3798.109750613848,0.2504431000124896
negative,407,16,16,True,16,0,0,1,32.0,230.79673139946598,92,460.0,3073.7477023914557,49,49,0,True,8,48.0,3,0.24848650000058115,17,14,joint_route,3000049,0,16,7,79.0,3692.7477023914557,0.24858460000541527
