absence_skipped_measurements,arm,candidate_evaluations,channels_certified_absent,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,discovery_closed,discovery_closed_by_absence,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,reschedule_bursts,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,sources,stations_visited,switch_s,virtual_time_s,wall_s
0,default,111,0,30,14,True,0,14,0,0,16,2,0,28.0,461.55440891388156,289,1445.0,4642.761724794342,True,0,90.0,0,4,0.5104458999994677,0,0,0,0,39,8,3100041,12,5,4,14,25,256.0,6461.761724794342,0.5270661999966251
0,noclosure,111,0,30,14,True,0,14,0,0,16,2,0,28.0,461.55440891388156,289,1445.0,4642.761724794342,True,0,90.0,0,4,0.50437840000086,0,0,0,0,39,8,3100041,12,5,4,14,25,256.0,6461.761724794342,0.5210306000080891
0,step,83,0,30,14,True,0,14,0,0,16,2,0,28.0,460.35877009688494,287,1435.0,4636.022781356389,True,0,90.0,0,4,0.4956784000096377,0,2,18,10,49,6,3100041,12,7,6,14,25,256.0,6445.022781356389,0.5119354999915231
0,default,65,0,10,10,True,0,10,0,0,0,0,0,20.0,621.9752705090108,331,1655.0,4210.752705090107,True,0,30.0,0,4,0.16679400000430178,0,0,0,0,35,7,3100042,46,3,3,10,25,304.0,6219.752705090108,0.18356910000147764
0,noclosure,65,0,10,10,True,0,10,0,0,0,0,0,20.0,621.9752705090108,331,1655.0,4210.752705090107,True,0,30.0,0,4,0.16095010000572074,0,0,0,0,35,7,3100042,46,3,3,10,25,304.0,6219.752705090108,0.1771876999991946
0,step,17,0,10,10,True,0,10,0,0,0,0,0,20.0,651.0679692375892,335,1675.0,4474.679692375893,True,0,30.0,0,4,0.12112289998913184,0,0,11,6,41,5,3100042,42,5,5,10,25,311.0,6510.679692375892,0.13723899998876732
0,default,54,0,13,12,True,0,12,0,0,1,0,0,24.0,535.3783867631096,326,1630.0,4431.540641157316,True,0,39.0,0,4,0.16125269999611191,0,0,0,0,37,8,3100043,36,5,4,12,25,300.0,6424.540641157315,0.17720910000207368
0,noclosure,54,0,13,12,True,0,12,0,0,1,0,0,24.0,535.3783867631096,326,1630.0,4431.540641157316,True,0,39.0,0,4,0.16142760000366252,0,0,0,0,37,8,3100043,36,5,4,12,25,300.0,6424.540641157315,0.17785249999724329
0,step,14,0,13,12,True,0,12,0,0,1,0,0,24.0,530.8334282819793,324,1620.0,4387.001139383752,True,0,39.0,0,4,0.13652120000915602,0,0,16,9,46,7,3100043,36,6,5,12,25,300.0,6370.001139383751,0.1530988000013167
0,default,54,0,11,10,True,0,10,0,0,1,0,0,20.0,626.4950737943946,354,1770.0,4111.950737943946,True,0,33.0,0,4,0.15829239999584388,0,0,0,0,35,6,3100044,59,5,4,10,25,330.0,6264.950737943946,0.1749956999992719
0,noclosure,54,0,11,10,True,0,10,0,0,1,0,0,20.0,626.4950737943946,354,1770.0,4111.950737943946,True,0,33.0,0,4,0.16030220000538975,0,0,0,0,35,6,3100044,59,5,4,10,25,330.0,6264.950737943946,0.17719499999657273
0,step,50,0,12,10,True,0,10,0,0,2,0,0,20.0,627.3839544809341,355,1775.0,4110.839544809342,True,0,36.0,0,4,0.15790330000163522,0,0,13,7,42,6,3100044,59,6,4,10,25,332.0,6273.8395448093415,0.17470269999466836
0,default,53,0,40,16,True,4,16,1,0,24,2,0,32.0,384.37947732865393,228,1140.0,4658.071637258456,True,0,120.0,0,4,0.3505503999913344,0,0,0,0,37,8,3100045,60,8,6,16,21,200.0,6150.071637258463,0.36786149999534246
0,noclosure,53,0,40,16,True,0,16,0,0,24,2,0,32.0,405.56703352876684,240,1200.0,4927.072536460262,True,0,120.0,0,4,0.35334689999581315,0,0,0,0,40,8,3100045,65,8,6,16,24,210.0,6489.0725364602695,0.36996140000701416
0,step,39,0,31,16,True,0,16,1,0,15,1,0,32.0,393.68125622493943,264,1320.0,4611.90009959903,True,0,93.0,0,4,0.3748695999966003,0,1,20,11,50,8,3100045,62,8,7,16,25,242.0,6298.900099599031,0.3917129000037676
0,default,27,0,12,11,True,0,11,0,0,1,0,0,22.0,583.0931095959951,345,1725.0,4310.024205555947,True,0,36.0,0,4,0.13559150000219233,0,0,0,0,36,5,3100046,31,7,6,11,25,321.0,6414.0242055559465,0.15189370000734925
