candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,mode,move_s,no_signal,normal_exit,ok,opportunistic_measures,optical_s,problem,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s,wall_s
0,77,11,True,0,,66,3,0,22.0,0.0,951.8351099780747,391,1955.0,reference,7907.186209758812,367,True,True,0,231.0,4,0.5546074000012595,8,950000,31,355.0,11,10470.186209758822,0.55461939999077
95,77,11,True,0,,66,3,0,22.0,0.0,955.9277539140144,396,1980.0,paper,7927.2052930541495,369,True,True,0,231.0,4,0.6653310999972746,8,950000,31,355.0,11,10515.205293054158,0.6653403999953298
0,54,10,True,0,,44,2,0,20.0,2.2737367544323206e-13,1014.6687602752907,422,2110.0,reference,7463.687602752906,399,True,True,0,162.0,4,0.5005381999944802,8,950001,31,391.0,10,10146.687602752907,0.5005930999905104
82,54,10,True,0,,44,2,0,20.0,0.0,1006.0783683031186,422,2110.0,paper,7377.783683031186,398,True,True,0,162.0,4,0.5827776999940397,8,950001,31,391.0,10,10060.783683031186,0.5827852000074927
0,19,11,True,0,,8,2,0,22.0,0.0,891.324566982644,401,2005.0,reference,7354.57023680909,374,True,True,0,57.0,4,0.24686290000681765,9,950002,31,366.0,11,9804.570236809084,0.24687129999801982
94,19,11,True,0,,8,2,0,22.0,0.0,883.8950488204712,401,2005.0,paper,7272.8455370251895,373,True,True,0,57.0,4,0.40706430000136606,9,950002,31,366.0,11,9722.845537025183,0.40707500001008157
0,48,14,True,0,,34,2,0,28.0,9.094947017729282e-13,733.4253236011753,277,1385.0,reference,8480.954530416457,240,True,True,0,144.0,4,0.7507904999947641,12,950003,31,230.0,14,10267.954530416453,0.7508017999934964
144,48,14,True,0,,34,2,0,28.0,1.1368683772161603e-13,718.1780843085525,276,1380.0,paper,8272.493180319732,236,True,True,0,144.0,4,0.995629299999564,12,950003,31,230.0,14,10054.493180319734,0.9956468000018504
0,81,10,True,0,,71,3,0,20.0,1.1368683772161603e-13,992.3550321094608,371,1855.0,reference,7474.550321094608,348,True,True,0,243.0,4,0.7912001000076998,7,950004,31,331.0,10,9923.550321094608,0.7912115000071935
45,81,10,True,0,,71,3,0,20.0,1.1368683772161603e-13,997.3224998144336,386,1930.0,paper,7433.224998144337,363,True,True,0,243.0,4,0.8590338999929372,7,950004,31,347.0,10,9973.224998144336,0.8590492999937851
