candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,mode,move_s,no_signal,normal_exit,ok,opportunistic_measures,optical_s,problem,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s,wall_s
283,11,11,True,11,,0,0,1,22.0,0.0,342.14426368071355,114,570.0,reference,3033.586900487849,83,True,True,4,33.0,3,0.16858420000062324,11,930000,7,105.0,11,3763.586900487849,0.16859309999563266
310,11,11,True,11,,0,0,1,22.0,0.0,340.3832481815623,114,570.0,paper,3014.215729997186,83,True,True,4,33.0,3,0.4041754999925615,11,930000,7,105.0,11,3744.2157299971855,0.4041840999998385
399,15,15,True,15,,0,0,6,30.0,4.547473508864641e-13,288.98243766980784,113,565.0,reference,3594.7365650471174,68,True,True,14,45.0,3,0.2430902999913087,15,930001,7,100.0,15,4334.736565047117,0.24310100000002421
413,15,15,True,15,,0,0,6,30.0,1.1368683772161603e-13,288.81577483100045,112,560.0,paper,3597.2366224650073,68,True,True,14,45.0,3,0.5919799000112107,15,930001,7,100.0,15,4332.236622465007,0.5919900999870151
317,13,13,True,13,,0,0,4,26.0,0.0,290.11969363189405,108,540.0,reference,3067.556017214623,73,True,True,16,39.0,3,0.20052030000078958,12,930002,7,99.0,13,3771.556017214623,0.20052749999740627
334,13,13,True,13,,0,0,4,26.0,0.0,288.65967180816546,108,540.0,paper,3048.575733506151,73,True,True,16,39.0,3,0.46031480000237934,13,930002,7,99.0,13,3752.575733506151,0.46032490000652615
234,10,10,True,10,,0,0,3,20.0,0.0,383.29297977546423,129,645.0,reference,3016.9297977546425,104,True,True,6,30.0,3,0.15159580000909045,10,930003,7,121.0,10,3832.9297977546425,0.1516049999918323
260,10,10,True,10,,0,0,3,20.0,0.0,383.1429375496633,129,645.0,paper,3015.429375496633,104,True,True,6,30.0,3,0.29113430000143126,10,930003,7,121.0,10,3831.429375496633,0.29114600000320934
296,13,13,True,13,,0,0,3,26.0,0.0,331.6563312608075,117,585.0,reference,3552.532306390498,76,True,True,18,39.0,3,0.22036059999663848,13,930004,7,109.0,13,4311.532306390498,0.2203730000037467
275,13,13,True,13,,0,0,3,26.0,2.2737367544323206e-13,332.5753015714283,117,585.0,paper,3564.4789204285667,76,True,True,18,39.0,3,0.6770627000078093,13,930004,7,109.0,13,4323.478920428568,0.6770761000079801
