problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
4,11,9180.765503680574,834.6150457891431,0.12943739999900572,True,31,355,11,0,0,7035.765503680573,315.0,1775.0,33.0,22.0,0,0,0,0,11,True,0.0,LOCAL_SYNTHETIC,20260910,11,1.0,950.0,fixed,6
4,10,9961.64033578165,996.1640335781651,0.26890320000529755,True,31,380,15,5,1,7656.640335781653,340.0,1900.0,45.0,20.0,0,0,0,0,9,True,0.0,LOCAL_SYNTHETIC,20260911,10,1.0,950.0,fixed,5
4,16,9650.96464770507,603.1852904815669,0.16784559999359772,True,27,260,16,0,0,8049.964647705075,221.0,1300.0,48.0,32.0,0,0,0,0,16,True,0.0,LOCAL_SYNTHETIC,20260912,16,1.0,950.0,fixed,8
4,10,9666.457480725892,966.6457480725892,0.11296589999983553,True,31,368,10,0,0,7444.457480725894,332.0,1840.0,30.0,20.0,0,0,0,0,10,True,0.0,LOCAL_SYNTHETIC,20260913,10,1.0,950.0,fixed,5
4,14,10065.104191315255,718.9360136653753,0.30841009999858215,True,31,300,16,2,1,8229.104191315259,260.0,1500.0,48.0,28.0,0,0,0,0,13,True,4.547473508864641e-13,LOCAL_SYNTHETIC,20260914,14,1.0,950.0,fixed,6
4,13,9569.740513384402,736.133885644954,0.13904580000962596,True,31,297,13,0,0,7762.740513384404,257.0,1485.0,39.0,26.0,0,0,0,0,13,True,0.0,LOCAL_SYNTHETIC,20260915,13,1.0,950.0,fixed,8
4,14,10313.327623418902,736.6662588156358,0.32851059999666177,True,31,296,49,35,1,8412.327623418898,246.0,1480.0,147.0,28.0,0,0,0,0,13,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,20260916,14,1.0,950.0,fixed,10
4,13,10037.853942309977,772.1426109469213,0.16592250000394415,True,31,312,13,0,0,8145.853942309978,267.0,1560.0,39.0,26.0,0,0,0,0,13,True,0.0,LOCAL_SYNTHETIC,20260917,13,1.0,950.0,fixed,7
4,15,9937.37575116758,662.4917167445053,0.17601579999609385,True,31,238,15,0,0,8484.375751167583,188.0,1190.0,45.0,30.0,0,0,0,0,15,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,20260918,15,1.0,950.0,fixed,7
4,11,9960.626537014767,905.5115033649788,0.637290300001041,True,31,365,46,35,3,7648.626537014766,327.0,1825.0,138.0,22.0,0,0,0,0,8,True,0.0,LOCAL_SYNTHETIC,20260919,11,1.0,950.0,fixed,6
