arm,candidate_evaluations,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paired_total_sources,paper_measurements_selected,problem,program_time_s,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s,wall_s
stepskip,37,12,12,True,0,12,0,0,0,24.0,5.684341886080802e-14,538.8686046736802,299,1495.0,4638.423256084164,True,0,36.0,12,1,4,0.18863489999785088,0,23,19,55,4,1910028,122,8,8,25,273.0,6466.423256084163,0.2052564000041457
baseline,86,13,11,True,0,11,2,0,0,22.0,0.0,583.9791562783716,350,1750.0,4293.7707190620895,True,0,39.0,11,1,4,0.20421280000300612,0,0,0,36,8,1910029,75,5,3,25,319.0,6423.770719062089,0.22219390000100248
stepskip,36,12,11,True,0,11,1,0,0,22.0,0.0,565.3829055053498,314,1570.0,4301.211960558848,True,0,36.0,11,0,4,0.14451120000740048,0,26,18,52,8,1910029,119,4,3,25,290.0,6219.211960558847,0.16117839999787975
baseline,17,15,14,True,0,14,1,0,0,28.0,0.0,453.6937717128614,325,1625.0,4349.71280398006,True,0,45.0,14,1,4,0.1466091000038432,0,0,0,39,5,1910030,50,10,9,25,304.0,6351.71280398006,0.16331540000101086
stepskip,0,14,14,True,0,14,0,1,0,28.0,0.0,427.3491661312243,247,1235.0,4451.888325837142,True,0,42.0,14,0,4,0.20960969998850487,1,30,21,57,8,1910030,117,5,5,25,226.0,5982.888325837141,0.22704339999472722
baseline,98,26,12,True,0,12,14,1,0,24.0,0.0,546.2415961055882,295,1475.0,4713.899153267061,True,0,78.0,12,0,4,0.34514440000930335,0,0,0,37,9,1910031,54,3,2,25,264.0,6554.899153267059,0.36204089999955613
stepskip,52,25,12,True,0,12,13,1,0,24.0,2.2737367544323206e-13,558.7928061063085,284,1420.0,4926.5136732757,True,0,75.0,12,0,4,0.3097630999982357,1,28,18,55,9,1910031,89,2,2,25,260.0,6705.513673275702,0.32655400001385715
baseline,79,12,10,True,0,10,2,1,0,20.0,0.0,639.2512456009025,328,1640.0,4396.512456009026,True,0,36.0,10,0,4,0.30738990000099875,0,0,0,35,7,1910032,1,2,2,25,300.0,6392.512456009025,0.3245986999972956
stepskip,36,12,10,True,0,10,2,1,0,20.0,0.0,655.151695796759,325,1625.0,4569.51695796759,True,0,36.0,10,0,4,0.2796049999888055,1,20,13,48,6,1910032,16,3,3,25,301.0,6551.516957967589,0.2963529999979073
baseline,98,18,12,True,0,12,6,1,0,24.0,0.0,502.87792012222695,304,1520.0,4156.5350414667255,True,0,54.0,12,0,4,0.2598195000027772,0,0,0,37,6,1910033,70,6,5,25,280.0,6034.535041466724,0.27677359999506734
stepskip,60,58,12,True,0,12,46,2,0,24.0,0.0,535.1165982010692,284,1420.0,4543.399178412831,True,0,174.0,12,0,4,0.3928308000031393,2,20,15,52,3,1910033,103,7,7,25,260.0,6421.39917841283,0.4091601000109222
baseline,73,32,16,True,0,16,16,1,0,32.0,2.2737367544323206e-13,374.4680089507406,213,1065.0,4617.488143211848,True,0,96.0,16,1,4,0.3508066000067629,0,0,0,39,9,1910034,56,7,6,23,181.0,5991.48814321185,0.3675316000008024
stepskip,109,32,16,True,0,16,16,1,0,32.0,2.2737367544323206e-13,377.68321992191926,201,1005.0,4743.931518750708,True,0,96.0,16,0,4,0.3883693999960087,1,35,24,63,10,1910034,84,6,5,23,166.0,6042.931518750708,0.4044894000107888
baseline,60,11,10,True,0,10,1,0,0,20.0,0.0,641.1606037189827,318,1590.0,4473.606037189825,True,0,33.0,10,1,4,0.16235739999683574,0,0,0,35,6,1910035,28,5,4,25,295.0,6411.606037189827,0.17915299999003764
stepskip,57,45,10,True,0,10,35,1,0,20.0,0.0,660.9422371181287,310,1550.0,4621.422371181282,True,0,135.0,10,0,4,0.3212162999989232,1,24,15,50,8,1910035,45,1,1,25,283.0,6609.4223711812865,0.3382451000070432
baseline,2,21,10,True,0,10,11,1,0,20.0,0.0,702.5113748735741,369,1845.0,4755.113748735741,True,0,63.0,10,1,4,0.1258181000011973,0,0,0,35,3,1910036,41,6,6,25,342.0,7025.113748735741,0.14188219999778084
stepskip,77,34,10,True,0,10,24,2,0,20.0,2.2737367544323206e-13,689.6328364188118,323,1615.0,4865.328364188119,True,0,102.0,10,0,4,0.45641820000309963,2,22,16,51,4,1910036,81,4,4,25,294.0,6896.328364188119,0.47269739999319427
baseline,69,15,15,True,0,15,0,0,0,30.0,1.1368683772161603e-13,408.2003289356853,236,1180.0,4659.004934035281,True,0,45.0,15,1,4,0.22592019999865443,0,0,0,40,9,1910037,87,6,6,25,209.0,6123.00493403528,0.24408750000293367
stepskip,24,15,15,True,0,15,0,0,0,30.0,0.0,389.8731572935718,235,1175.0,4383.097359403577,True,0,45.0,15,3,4,0.23307719999866094,0,29,22,62,7,1910037,116,8,8,25,215.0,5848.097359403577,0.2502819999936037
baseline,83,13,13,True,0,13,0,0,0,26.0,0.0,495.4784215607736,313,1565.0,4525.219480290056,True,0,39.0,13,0,4,0.22240359999705106,0,0,0,38,8,1910038,91,5,5,25,286.0,6441.219480290057,0.2388860999926692
stepskip,70,33,13,True,0,13,20,1,0,26.0,0.0,513.3240221415764,295,1475.0,4799.212287840493,True,0,99.0,13,0,4,0.30047170000034384,1,27,20,58,6,1910038,92,6,6,25,274.0,6673.212287840493,0.3173663000052329
