problem,complete,cleared,virtual_time_s,mean_time_s,program_time_s,stations_visited,scheduling_policy,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,skipped_known_measurements,route_replans,negative_observations,negative_region_fallbacks,negative_constraints,extra_probe_attempts,extra_probe_successes,ring_activated,coverage_sites_cancelled,strategy,coverage_layout,q3_ring_guard,q3_probe_radius,q4_probe_radius,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,True,12,3482.9796866333018,290.2483072194418,0.942480700003216,7,joint_route,117,12,0,0,2729.9796866333013,108.0,585.0,36.0,24.0,273,12,1,9,11,3,15,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3486134,12,1.0,950.0,fixed,0
3,True,16,4099.939989460634,256.2462493412896,1.4502002999943215,7,joint_route,104,16,0,0,3405.9399894606345,94.0,520.0,48.0,32.0,367,16,1,24,15,13,21,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,9.094947017729282e-13,LOCAL_SYNTHETIC,3486135,16,1.0,950.0,fixed,0
3,True,16,3707.2306629476375,231.70191643422734,1.1735190999897895,6,joint_route,123,16,0,0,2901.2306629476375,111.0,615.0,48.0,32.0,409,16,0,12,16,3,21,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486136,16,1.0,950.0,fixed,0
3,True,16,3722.298161489665,232.64363509310405,1.1216767000005348,7,joint_route,114,16,0,0,2970.298161489665,102.0,570.0,48.0,32.0,409,16,2,9,15,0,17,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486137,16,1.0,950.0,fixed,0
3,True,12,3551.935742850834,295.9946452375695,0.9928652999951737,7,joint_route,128,12,0,0,2735.935742850834,116.0,640.0,36.0,24.0,331,12,0,4,10,1,17,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3486138,12,1.0,950.0,fixed,0
3,True,10,3054.4013684838046,305.44013684838046,0.7962721000076272,7,joint_route,118,10,0,0,2303.4013684838046,111.0,590.0,30.0,20.0,217,10,0,13,10,1,14,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3486139,10,1.0,950.0,fixed,0
3,True,16,3493.97623691241,218.37351480702563,1.2117560999904526,6,joint_route,101,16,0,0,2813.976236912409,95.0,505.0,48.0,32.0,349,16,0,14,16,3,21,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486140,16,1.0,950.0,fixed,0
3,True,12,3548.8703437665854,295.73919531388213,0.9587853999983054,7,joint_route,111,12,0,0,2829.870343766585,104.0,555.0,36.0,24.0,262,12,1,18,12,8,17,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486141,12,1.0,950.0,fixed,0
3,True,10,3060.2938070547402,306.029380705474,0.886643699996057,7,joint_route,121,10,0,0,2293.2938070547407,112.0,605.0,30.0,20.0,250,10,0,6,10,2,14,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3486142,10,1.0,950.0,fixed,0
3,True,10,3438.7915004092442,343.8791500409244,0.6307623000029707,7,joint_route,125,10,0,0,2647.791500409245,116.0,625.0,30.0,20.0,229,10,1,9,10,3,14,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3486143,10,1.0,950.0,fixed,0
3,True,10,3701.443719352496,370.1443719352496,0.7618160999991233,7,joint_route,122,10,0,0,2930.443719352496,111.0,610.0,30.0,20.0,264,10,1,11,10,4,15,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3486144,10,1.0,950.0,fixed,0
3,True,16,3675.9697336707222,229.74810835442014,1.1155481000023428,7,joint_route,112,16,0,0,2934.969733670722,101.0,560.0,48.0,32.0,401,16,1,14,16,2,20,False,0,0,0,0,0,0,integrated,original,off,0.0,40.0,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3486145,16,1.0,950.0,fixed,0
