problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,strategy,seed,total,move_s,switch_s,measure_s,optical_s,laser_s,max_step_error_s,normal_exit,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
4,10,10438.69617019177,1043.869617019177,0.1299425000033807,True,31,394,10,0,0,baseline,310016,10,8064.696170191769,354.0,1970.0,30.0,20.0,0.0,True,,,,,
4,10,9868.231715629883,986.8231715629884,0.12125319999177009,True,31,383,10,0,0,directional_layers_safe,310016,10,7563.231715629886,340.0,1915.0,30.0,20.0,0.0,True,0,0,0,0,10
4,10,10288.21737088935,1028.821737088935,0.12521759999799542,True,31,365,10,0,0,baseline,310017,10,8084.217370889347,329.0,1825.0,30.0,20.0,4.547473508864641e-13,True,,,,,
4,10,9527.913847919815,952.7913847919815,0.1211909999983618,True,31,367,10,0,0,directional_layers_safe,310017,10,7316.913847919816,326.0,1835.0,30.0,20.0,4.547473508864641e-13,True,0,0,0,0,10
4,14,10717.452329445163,765.5323092460831,0.2148497000016505,True,31,281,14,0,0,baseline,310018,14,9006.452329445166,236.0,1405.0,42.0,28.0,1.1368683772161603e-13,True,,,,,
4,14,10290.116803581937,735.0083431129955,0.15227650001179427,True,31,279,14,0,0,directional_layers_safe,310018,14,8590.116803581941,235.0,1395.0,42.0,28.0,0.0,True,0,0,0,0,14
4,12,10451.360410936373,870.9467009113645,0.18956009999965318,True,31,324,12,0,0,baseline,310019,12,8492.360410936375,279.0,1620.0,36.0,24.0,0.0,True,,,,,
4,12,10303.458423826536,858.621535318878,0.3038787000114098,True,31,310,13,1,1,directional_layers_safe,310019,12,8431.458423826536,259.0,1550.0,39.0,24.0,2.2737367544323206e-13,True,0,0,0,0,11
4,16,6538.940314422001,408.6837696513751,0.21394580000196584,True,18,202,16,0,0,baseline,310020,16,5275.940314422002,173.0,1010.0,48.0,32.0,0.0,True,,,,,
4,16,5211.838610123815,325.7399131327384,0.14221140000154264,True,11,145,16,0,0,directional_layers_safe,310020,16,4285.838610123817,121.0,725.0,48.0,32.0,9.094947017729282e-13,True,0,0,0,0,16
4,11,10526.286896705004,956.9351724277276,0.14714109999476932,True,31,362,11,0,0,baseline,310021,11,8338.286896705007,323.0,1810.0,33.0,22.0,0.0,True,,,,,
4,11,10141.650429609459,921.9682208735871,0.13785139999527019,True,31,356,11,0,0,directional_layers_safe,310021,11,7995.650429609464,311.0,1780.0,33.0,22.0,0.0,True,0,0,0,0,11
4,10,11016.388673748286,1101.6388673748286,0.14574810001067817,True,31,362,10,0,0,baseline,310022,10,8834.38867374829,322.0,1810.0,30.0,20.0,0.0,True,,,,,
4,10,10237.13301593746,1023.7133015937459,0.12771849999262486,True,31,374,10,0,0,directional_layers_safe,310022,10,7988.133015937461,329.0,1870.0,30.0,20.0,2.842170943040401e-14,True,0,0,0,0,10
4,14,10126.665518257982,723.3332513041415,0.17680429999018088,True,31,273,31,17,3,baseline,310023,14,8407.665518257987,233.0,1365.0,93.0,28.0,4.547473508864641e-13,True,,,,,
4,14,9913.09587033444,708.07827645246,0.32313520000025164,True,31,306,26,12,1,directional_layers_safe,310023,14,8017.095870334434,260.0,1530.0,78.0,28.0,0.0,True,0,0,0,0,13
4,15,9937.397553052711,662.4931702035141,0.2923504999926081,True,31,271,15,0,0,baseline,310024,15,8281.397553052713,226.0,1355.0,45.0,30.0,2.842170943040401e-14,True,,,,,
4,15,9328.064723613783,621.8709815742521,0.15290960000129417,True,31,230,15,0,0,directional_layers_safe,310024,15,7916.064723613782,187.0,1150.0,45.0,30.0,5.684341886080802e-14,True,0,0,0,0,15
4,16,6485.587200701021,405.3492000438138,0.21245460001227912,True,14,189,16,0,0,baseline,310025,16,5299.587200701019,161.0,945.0,48.0,32.0,5.684341886080802e-14,True,,,,,
4,16,5406.841169717982,337.92757310737386,0.13740839999809396,True,9,132,16,0,0,directional_layers_safe,310025,16,4557.841169717981,109.0,660.0,48.0,32.0,9.094947017729282e-13,True,0,0,0,0,16
4,16,8586.331953337236,536.6457470835772,0.2464622999978019,True,19,193,31,15,1,baseline,310026,16,7341.33195333724,155.0,965.0,93.0,32.0,9.094947017729282e-13,True,,,,,
4,16,5925.252339948181,370.3282712467613,0.3344189999916125,True,10,131,19,3,1,directional_layers_safe,310026,16,5076.252339948181,105.0,655.0,57.0,32.0,2.2737367544323206e-13,True,0,0,0,0,15
4,11,9878.257435685813,898.0234032441648,0.14786989999993239,True,31,351,22,11,1,baseline,310027,11,7724.257435685815,311.0,1755.0,66.0,22.0,5.684341886080802e-14,True,,,,,
4,11,9213.288913960501,837.5717194509547,0.31017319999227766,True,31,342,12,1,1,directional_layers_safe,310027,11,7141.2889139604995,304.0,1710.0,36.0,22.0,2.842170943040401e-14,True,0,0,0,0,10
4,13,10815.201894458789,831.9386072660607,0.18358720000833273,True,31,378,13,0,0,baseline,310028,13,8528.201894458793,332.0,1890.0,39.0,26.0,0.0,True,,,,,
