problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,mode,seed,total,normal_exit,strategy,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,belief_decisions,belief_unavailable,route_decisions,planning_time_s
4,14,9965.584483524499,711.8274631088927,0.6642406000028132,True,31,286,14,0,0,belief,720004,14,True,directional_layers_safe,8217.584483524503,248.0,1430.0,42.0,28.0,0,0,0,0,14,29,0,0,0.5160094000020763
4,14,10097.361088053927,721.2400777181376,0.5744635000010021,True,31,290,22,8,2,scan,720004,14,True,directional_layers_safe,8305.36108805393,248.0,1450.0,66.0,28.0,0,0,0,0,12,0,0,0,0.0
4,14,9735.771377301244,695.4122412358031,1.0320724000048358,True,31,281,14,0,0,combined,720004,14,True,directional_layers_safe,8018.771377301245,242.0,1405.0,42.0,28.0,0,0,0,0,14,30,0,29,0.48648389997833874
4,16,8925.855143235538,557.8659464522211,0.3351613999984693,True,22,170,27,11,1,original,720005,16,True,,,,,,,,,,,,,,,
4,16,5874.346238566394,367.14663991039964,0.17568970000138506,True,12,134,16,0,0,reference,720005,16,True,directional_layers_safe,5023.346238566393,101.0,670.0,48.0,32.0,0,0,0,0,16,,,,
4,16,6868.2658915442325,429.26661822151453,0.4330424999934621,True,16,160,16,0,0,route,720005,16,True,directional_layers_safe,5865.2658915442325,123.0,800.0,48.0,32.0,0,0,0,0,16,0,0,16,0.0
4,16,6164.839810571933,385.30248816074584,0.7971523000014713,True,12,131,16,0,0,belief,720005,16,True,directional_layers_safe,5328.839810571933,101.0,655.0,48.0,32.0,0,0,0,0,16,38,0,0,0.6194863999990048
4,16,5874.346238566394,367.14663991039964,0.1662125000002561,True,12,134,16,0,0,scan,720005,16,True,directional_layers_safe,5023.346238566393,101.0,670.0,48.0,32.0,0,0,0,0,16,0,0,0,0.0
4,16,7135.644886378684,445.9778053986677,1.0588178000034532,True,16,157,16,0,0,combined,720005,16,True,directional_layers_safe,6147.644886378683,123.0,785.0,48.0,32.0,0,0,0,0,16,38,0,16,0.6140689999883762
4,12,10677.957858200261,889.8298215166884,0.16506859999208245,True,31,379,12,0,0,original,720006,12,True,,,,,,,,,,,,,,,
4,12,10154.112797061445,846.1760664217871,0.1390395000053104,True,31,336,12,0,0,reference,720006,12,True,directional_layers_safe,8121.112797061444,293.0,1680.0,36.0,24.0,0,0,0,0,12,,,,
4,12,10154.112797061445,846.1760664217871,0.5734534000075655,True,31,336,12,0,0,route,720006,12,True,directional_layers_safe,8121.112797061444,293.0,1680.0,36.0,24.0,0,0,0,0,12,0,0,29,0.0
4,12,10222.847706873272,851.9039755727727,0.6245104999979958,True,31,337,12,0,0,belief,720006,12,True,directional_layers_safe,8184.847706873274,293.0,1685.0,36.0,24.0,0,0,0,0,12,31,1,0,0.4763125999161275
4,12,10154.112797061445,846.1760664217871,0.13871579999977257,True,31,336,12,0,0,scan,720006,12,True,directional_layers_safe,8121.112797061444,293.0,1680.0,36.0,24.0,0,0,0,0,12,0,0,0,0.0
4,12,10222.847706873272,851.9039755727727,1.1109246999985771,True,31,337,12,0,0,combined,720006,12,True,directional_layers_safe,8184.847706873274,293.0,1685.0,36.0,24.0,0,0,0,0,12,31,1,29,0.4963127999944845
