problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,mode,seed,total,normal_exit,strategy,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,belief_decisions,belief_unavailable,route_decisions,planning_time_s
3,10,4682.521750678411,468.2521750678411,0.14642580000509042,True,7,117,10,0,0,original,720000,10,True,,,,,,,,,,,,,,,
3,10,3771.8606923025063,377.1860692302506,0.16667820001021028,True,7,126,10,0,0,reference,720000,10,True,joint_safe,2974.8606923025054,117.0,630.0,30.0,20.0,252,10,5,15,10,,,,
3,10,3838.634472124135,383.86344721241346,0.2266622000024654,True,7,127,10,0,0,route,720000,10,True,,,,,,,,,,,,0,0,12,0.0
3,10,3771.8606923025063,377.1860692302506,0.4093870000069728,True,7,126,10,0,0,belief,720000,10,True,joint_safe,2974.8606923025054,117.0,630.0,30.0,20.0,252,10,5,15,10,17,0,0,0.3137499000004027
3,10,3838.634472124135,383.86344721241346,0.46342649999132846,True,7,127,10,0,0,combined,720000,10,True,,,,,,,,,,,,18,0,12,0.3222401999810245
3,14,4648.453171655447,332.03236940396044,0.19974340000771917,True,7,108,14,0,0,original,720001,14,True,,,,,,,,,,,,,,,
3,14,4484.484426986723,320.3203162133373,0.19984799998928793,True,7,122,14,0,0,reference,720001,14,True,joint_safe,3692.4844269867226,112.0,610.0,42.0,28.0,349,14,7,21,13,,,,
3,14,4927.226953178487,351.9447823698919,0.28867670000181533,True,7,117,14,0,0,route,720001,14,True,,,,,,,,,,,,0,0,13,0.0
3,14,4473.775851113082,319.5554179366487,0.5268888999999035,True,7,123,14,0,0,belief,720001,14,True,joint_safe,3676.7758511130824,112.0,615.0,42.0,28.0,361,14,7,21,13,23,0,0,0.41652039998734836
3,14,4931.385402177605,352.24181444125753,0.5350291000067955,True,7,117,14,0,0,combined,720001,14,True,,,,,,,,,,,,18,0,13,0.3333892000227934
3,16,4567.157358383665,285.4473348989791,0.19336389999079984,True,6,109,16,0,0,original,720002,16,True,,,,,,,,,,,,,,,
3,16,4413.3723809049325,275.8357738065583,0.2290869999997085,True,7,121,16,0,0,reference,720002,16,True,joint_safe,3618.3723809049325,110.0,605.0,48.0,32.0,405,16,7,12,16,,,,
3,16,3218.7964141990005,201.17477588743753,0.2757661000068765,True,6,109,16,0,0,route,720002,16,True,,,,,,,,,,,,0,0,22,0.0
3,16,4412.7204083225,275.79502552015623,0.5539968000084627,True,7,121,16,0,0,belief,720002,16,True,joint_safe,3617.7204083224997,110.0,605.0,48.0,32.0,405,16,7,12,16,25,0,0,0.4388583999534603
3,16,3229.3254552799926,201.83284095499954,0.614323300003889,True,6,110,16,0,0,combined,720002,16,True,,,,,,,,,,,,26,0,22,0.4491619000036735
3,12,4449.106561666833,370.7588801389027,0.14070919998630416,True,7,112,12,0,0,original,720003,12,True,,,,,,,,,,,,,,,
3,12,4140.994291909519,345.0828576591266,0.15230349999910686,True,7,117,12,0,0,reference,720003,12,True,joint_safe,3384.9942919095197,111.0,585.0,36.0,24.0,258,12,5,12,12,,,,
3,12,3691.9742047753502,307.66451706461254,0.23162679999950342,True,7,118,12,0,0,route,720003,12,True,,,,,,,,,,,,0,0,17,0.0
3,12,4107.36980247249,342.2808168727075,0.39046919999236707,True,7,118,12,0,0,belief,720003,12,True,joint_safe,3346.3698024724904,111.0,590.0,36.0,24.0,270,12,5,12,12,17,0,0,0.30503610002051573
3,12,3622.1734419596214,301.84778682996847,0.5009990999969887,True,7,117,12,0,0,combined,720003,12,True,,,,,,,,,,,,20,0,17,0.36714500002563
3,14,5039.783046238408,359.98450330274346,0.20140109999920242,True,7,100,14,0,0,original,720004,14,True,,,,,,,,,,,,,,,
3,14,4556.218458692765,325.4441756209118,0.20707720000064,True,7,115,14,0,0,reference,720004,14,True,joint_safe,3805.218458692765,106.0,575.0,42.0,28.0,318,14,5,16,14,,,,
3,14,4118.519987643185,294.17999911737036,0.287683400005335,True,7,114,14,0,0,route,720004,14,True,,,,,,,,,,,,0,0,15,0.0
3,14,4481.768343331924,320.1263102379946,0.46238749999611173,True,7,114,14,0,0,belief,720004,14,True,joint_safe,3735.7683433319244,106.0,570.0,42.0,28.0,306,14,5,16,14,20,0,0,0.35138990003906656
3,14,4092.5302198964155,292.32358713545824,0.5403268999943975,True,7,114,14,0,0,combined,720004,14,True,,,,,,,,,,,,20,0,15,0.3368442000064533
3,16,4845.698393448406,302.8561495905254,0.24344619999465067,True,7,99,16,0,0,original,720005,16,True,,,,,,,,,,,,,,,
3,16,4060.752669769166,253.79704186057288,0.2413920999970287,True,7,107,16,0,0,reference,720005,16,True,joint_safe,3350.752669769166,95.0,535.0,48.0,32.0,398,16,6,21,16,,,,
3,16,4261.722527818427,266.3576579886517,0.43907710000348743,True,7,112,16,0,0,route,720005,16,True,,,,,,,,,,,,0,0,17,0.0
3,16,4060.752669769166,253.79704186057288,0.5708791999932146,True,7,107,16,0,0,belief,720005,16,True,joint_safe,3350.752669769166,95.0,535.0,48.0,32.0,398,16,6,21,16,25,0,0,0.4390127999940887
3,16,4251.891473092881,265.74321706830506,0.7366169000015361,True,7,111,16,0,0,combined,720005,16,True,,,,,,,,,,,,20,1,17,0.3870377999410266
3,12,4891.930061450069,407.6608384541724,0.1876310000079684,True,7,107,12,0,0,original,720006,12,True,,,,,,,,,,,,,,,
3,12,3917.451223953995,326.45426866283293,0.17260459999670275,True,7,113,12,0,0,reference,720006,12,True,joint_safe,3186.4512239539954,106.0,565.0,36.0,24.0,271,12,4,12,12,,,,
3,12,4159.8334290568855,346.6527857547405,0.2526804999943124,True,7,112,12,0,0,route,720006,12,True,,,,,,,,,,,,0,0,17,0.0
3,12,3933.4542658948635,327.78785549123864,0.40873300000384916,True,7,112,12,0,0,belief,720006,12,True,joint_safe,3207.454265894864,106.0,560.0,36.0,24.0,259,12,4,12,12,17,0,0,0.3166281999874627
3,12,4114.831887319905,342.9026572766588,0.5030436999950325,True,7,112,12,0,0,combined,720006,12,True,,,,,,,,,,,,19,0,17,0.3471466000046348
3,14,4372.402049152041,312.31443208228865,0.18561480000789743,True,7,112,14,0,0,original,720007,14,True,,,,,,,,,,,,,,,
3,14,3686.909614987115,263.35068678479394,0.1930718999938108,True,7,124,14,0,0,reference,720007,14,True,joint_safe,2879.909614987115,117.0,620.0,42.0,28.0,295,14,7,18,14,,,,
3,14,3686.909614987115,263.35068678479394,0.24708539999846835,True,7,124,14,0,0,route,720007,14,True,,,,,,,,,,,,0,0,14,0.0
3,14,3695.622998379908,263.97307131285055,0.4818885999993654,True,7,125,14,0,0,belief,720007,14,True,joint_safe,2883.622998379908,117.0,625.0,42.0,28.0,307,14,7,18,14,20,0,0,0.36742459997185506
3,14,3695.622998379908,263.97307131285055,0.5114061000058427,True,7,125,14,0,0,combined,720007,14,True,,,,,,,,,,,,20,0,14,0.3488884999824222
3,16,3853.3752274337976,240.83595171461235,0.32820589999028016,True,5,75,16,0,0,original,720008,16,True,,,,,,,,,,,,,,,
3,16,3220.3576951123887,201.2723559445243,0.2634870000038063,True,5,98,16,0,0,reference,720008,16,True,joint_safe,2561.357695112388,89.0,490.0,48.0,32.0,386,16,10,30,15,,,,
