problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,scenario,seed,strategy,total,normal_exit,max_step_time_error_s,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
4,13,10054.80274517555,773.4463650135039,0.4266308000078425,True,31,346,13,0,1,minus_r1000,510001,directional_layers_safe,13,True,0.0,7953.802745175552,306.0,1730.0,39.0,26.0,0,0,0,0,12
4,13,10466.146069713037,805.0881592086952,0.15978780000295956,True,31,312,111,98,1,minus_r1000,510002,baseline,13,True,5.684341886080802e-14,,,,,,,,,,
4,13,11029.750844915348,848.442372685796,1.0487715999915963,True,31,340,105,92,5,minus_r1000,510002,directional_layers_safe,13,True,0.0,8693.75084491535,295.0,1700.0,315.0,26.0,0,0,0,0,8
4,13,11976.780479205305,921.2908060927158,0.16874350000580307,True,31,366,215,202,2,minus_r1000,510003,baseline,13,True,0.0,,,,,,,,,,
4,13,9816.577195348762,755.1213227191355,0.4123587000067346,True,31,319,47,34,1,minus_r1000,510003,directional_layers_safe,13,True,0.0,7776.5771953487665,278.0,1595.0,141.0,26.0,0,0,0,0,12
4,15,12275.178105989138,818.3452070659425,0.20709769999666605,True,31,285,239,224,5,minus_r1000,510004,baseline,15,True,0.0,,,,,,,,,,
4,15,10199.78392657627,679.9855951050847,1.0842737999919336,True,31,255,53,38,5,minus_r1000,510004,directional_layers_safe,15,True,1.1368683772161603e-13,8528.783926576272,207.0,1275.0,159.0,30.0,0,0,0,0,10
4,15,11196.580282833675,746.438685522245,0.1643393999984255,True,31,307,120,105,2,minus_r1000,510005,baseline,15,True,0.0,,,,,,,,,,
4,15,11005.405605234277,733.6937070156184,0.6344745000096736,True,31,326,92,77,3,minus_r1000,510005,directional_layers_safe,15,True,0.0,8780.405605234278,289.0,1630.0,276.0,30.0,0,0,0,0,12
4,13,9963.70370201055,766.4387463085039,0.14724270001170225,True,31,386,16,3,1,minus_r1000,510006,baseline,13,True,0.0,,,,,,,,,,
4,13,9827.105606265086,755.9312004819296,0.4570819000073243,True,31,354,14,1,2,minus_r1000,510006,directional_layers_safe,13,True,1.1368683772161603e-13,7673.105606265084,316.0,1770.0,42.0,26.0,0,0,0,0,11
4,15,10502.404987786178,700.1603325190786,0.19079979999514762,True,31,238,127,112,2,minus_r1000,510007,baseline,15,True,5.684341886080802e-14,,,,,,,,,,
4,15,9449.994614804828,629.9996409869885,0.5104764999996405,True,31,262,27,12,2,minus_r1000,510007,directional_layers_safe,15,True,0.0,7812.994614804827,216.0,1310.0,81.0,30.0,0,0,0,0,13
4,12,11147.376392832179,928.9480327360149,0.1361317999981111,True,31,349,119,107,2,minus_r1000,510008,baseline,12,True,0.0,,,,,,,,,,
4,12,10908.681439552949,909.0567866294124,0.4787897000060184,True,31,350,47,35,2,minus_r1000,510008,directional_layers_safe,12,True,9.094947017729282e-13,8690.681439552956,303.0,1750.0,141.0,24.0,0,0,0,0,10
4,11,12798.283061449856,1163.4802783136233,0.1297179000102915,True,31,399,216,205,3,minus_r1000,510009,baseline,11,True,0.0,,,,,,,,,,
4,11,9864.204323729879,896.7458476118071,0.6696801999933086,True,31,360,39,28,3,minus_r1000,510009,directional_layers_safe,11,True,0.0,7601.204323729875,324.0,1800.0,117.0,22.0,0,0,0,0,8
4,16,10303.453803415709,643.9658627134818,0.19148439999844413,True,19,223,325,309,5,minus_r1000,510010,baseline,16,True,0.0,,,,,,,,,,
4,16,5448.032009939641,340.5020006212276,0.6446228999993764,True,12,145,43,27,3,minus_r1000,510010,directional_layers_safe,16,True,0.0,4442.03200993964,120.0,725.0,129.0,32.0,0,0,0,0,13
4,14,9895.22507483222,706.8017910594443,0.16310079999675509,True,31,369,14,0,0,minus_r1000,510011,baseline,14,True,0.0,,,,,,,,,,
4,14,9765.059957877069,697.5042827055049,0.48448329999519046,True,31,306,59,45,2,minus_r1000,510011,directional_layers_safe,14,True,1.8189894035458565e-12,7761.059957877066,269.0,1530.0,177.0,28.0,0,0,0,0,12
4,11,11126.669726181563,1011.5154296528693,0.09069880000606645,True,31,494,11,0,3,boundary_outward,510000,baseline,11,True,0.0,,,,,,,,,,
4,11,11656.705544296867,1059.7005040269878,0.5715546999999788,True,31,544,69,58,8,boundary_outward,510000,directional_layers_safe,11,True,0.0,8195.705544296872,512.0,2720.0,207.0,22.0,0,0,0,0,3
4,13,11522.882957315596,886.3756121011997,0.1058708999917144,True,31,463,13,0,4,boundary_outward,510001,baseline,13,True,0.0,,,,,,,,,,
4,13,12247.46823943794,942.1129414952261,0.5631846000032965,True,31,530,113,100,7,boundary_outward,510001,directional_layers_safe,13,True,0.0,8734.468239437985,498.0,2650.0,339.0,26.0,0,0,0,0,6
4,13,11521.882957315596,886.2986890242767,0.11109390000638086,True,31,463,13,0,4,boundary_outward,510002,baseline,13,True,0.0,,,,,,,,,,
4,13,12246.46823943794,942.036018418303,0.5971541000035359,True,31,530,113,100,7,boundary_outward,510002,directional_layers_safe,13,True,0.0,8734.468239437985,497.0,2650.0,339.0,26.0,0,0,0,0,6
4,13,11522.882957315596,886.3756121011997,0.10570590000133961,True,31,463,13,0,4,boundary_outward,510003,baseline,13,True,0.0,,,,,,,,,,
4,13,12247.46823943794,942.1129414952261,0.563511499989545,True,31,530,113,100,7,boundary_outward,510003,directional_layers_safe,13,True,0.0,8734.468239437985,498.0,2650.0,339.0,26.0,0,0,0,0,6
4,15,11587.375727857843,772.4917151905229,0.12221459999273065,True,31,441,15,0,3,boundary_outward,510004,baseline,15,True,9.094947017729282e-13,,,,,,,,,,
4,15,12660.973007652641,844.0648671768428,0.7438466000021435,True,31,510,89,74,8,boundary_outward,510004,directional_layers_safe,15,True,0.0,9339.973007652648,474.0,2550.0,267.0,30.0,0,0,0,0,7
4,15,11587.375727857843,772.4917151905229,0.13221389999671374,True,31,441,15,0,3,boundary_outward,510005,baseline,15,True,9.094947017729282e-13,,,,,,,,,,
4,15,12659.973007652641,843.998200510176,0.7013966999948025,True,31,510,89,74,8,boundary_outward,510005,directional_layers_safe,15,True,0.0,9339.973007652648,473.0,2550.0,267.0,30.0,0,0,0,0,7
4,13,11520.882957315596,886.2217659473536,0.10405880000325851,True,31,463,13,0,4,boundary_outward,510006,baseline,13,True,0.0,,,,,,,,,,
4,13,12246.46823943794,942.036018418303,0.5701948000059929,True,31,530,113,100,7,boundary_outward,510006,directional_layers_safe,13,True,0.0,8734.468239437985,497.0,2650.0,339.0,26.0,0,0,0,0,6
4,15,11586.375727857843,772.4250485238562,0.11980509999557398,True,31,441,15,0,3,boundary_outward,510007,baseline,15,True,9.094947017729282e-13,,,,,,,,,,
4,15,12661.973007652641,844.1315338435094,0.6991074999968987,True,31,510,89,74,8,boundary_outward,510007,directional_layers_safe,15,True,0.0,9339.973007652648,475.0,2550.0,267.0,30.0,0,0,0,0,7
4,12,11680.607144736867,973.3839287280722,0.10146890000032727,True,31,500,12,0,6,boundary_outward,510008,baseline,12,True,0.0,,,,,,,,,,
4,12,12778.4471170603,1064.8705930883582,1.1547171999991406,True,31,536,130,118,12,boundary_outward,510008,directional_layers_safe,12,True,0.0,9180.447117060321,504.0,2680.0,390.0,24.0,0,0,0,0,0
4,11,11127.669726181563,1011.6063387437785,0.08571479999227449,True,31,494,11,0,3,boundary_outward,510009,baseline,11,True,0.0,,,,,,,,,,
4,11,11656.705544296867,1059.7005040269878,0.5490811000054237,True,31,544,69,58,8,boundary_outward,510009,directional_layers_safe,11,True,0.0,8195.705544296872,512.0,2720.0,207.0,22.0,0,0,0,0,3
4,16,11357.92718261047,709.8704489131544,0.14927429999806918,True,29,388,16,0,4,boundary_outward,510010,baseline,16,True,0.0,,,,,,,,,,
4,16,13845.549134756006,865.3468209222503,0.930748599988874,True,30,500,254,238,12,boundary_outward,510010,directional_layers_safe,16,True,0.0,10085.549134756027,466.0,2500.0,762.0,32.0,0,0,0,0,4
4,14,11902.038971751186,850.1456408393705,0.1391377999971155,True,31,421,14,0,2,boundary_outward,510011,baseline,14,True,2.2737367544323206e-13,,,,,,,,,,
4,14,13153.990904272714,939.5707788766224,0.5185650000057649,True,31,510,206,192,7,boundary_outward,510011,directional_layers_safe,14,True,0.0,9479.990904272723,478.0,2550.0,618.0,28.0,0,0,0,0,7
4,11,9627.375340319028,875.2159400290025,0.11058029999549035,True,31,402,11,0,0,boundary_tangent,510000,baseline,11,True,0.0,,,,,,,,,,
4,11,9605.717915627189,873.2470832388353,0.10572370000591036,True,31,398,11,0,0,boundary_tangent,510000,directional_layers_safe,11,True,0.0,7195.7179156271895,365.0,1990.0,33.0,22.0,0,0,0,0,11
4,13,9747.404971471398,749.8003824208768,0.12598419999994803,True,31,420,13,0,2,boundary_tangent,510001,baseline,13,True,9.094947017729282e-13,,,,,,,,,,
4,13,9653.998632764606,742.6152794434312,0.12240010000823531,True,31,351,13,0,0,boundary_tangent,510001,directional_layers_safe,13,True,4.547473508864641e-13,7518.99863276461,315.0,1755.0,39.0,26.0,0,0,0,0,13
4,13,9746.404971471398,749.7234593439537,0.12775639999017585,True,31,420,13,0,2,boundary_tangent,510002,baseline,13,True,9.094947017729282e-13,,,,,,,,,,
4,13,9653.998632764606,742.6152794434312,0.12177599999995437,True,31,351,13,0,0,boundary_tangent,510002,directional_layers_safe,13,True,4.547473508864641e-13,7518.99863276461,315.0,1755.0,39.0,26.0,0,0,0,0,13
4,13,9746.404971471398,749.7234593439537,0.12639859999762848,True,31,420,13,0,2,boundary_tangent,510003,baseline,13,True,9.094947017729282e-13,,,,,,,,,,
4,13,9653.998632764606,742.6152794434312,0.1232507000095211,True,31,351,13,0,0,boundary_tangent,510003,directional_layers_safe,13,True,4.547473508864641e-13,7518.99863276461,315.0,1755.0,39.0,26.0,0,0,0,0,13
4,15,9553.207807329492,636.8805204886328,0.13907900000049267,True,31,302,15,0,3,boundary_tangent,510004,baseline,15,True,4.547473508864641e-13,,,,,,,,,,
4,15,10486.094521308847,699.0729680872565,0.12947949999943376,True,31,340,15,0,0,boundary_tangent,510004,directional_layers_safe,15,True,4.547473508864641e-13,8404.094521308847,307.0,1700.0,45.0,30.0,0,0,0,0,15
4,15,9550.207807329492,636.6805204886329,0.1394877999991877,True,31,302,15,0,3,boundary_tangent,510005,baseline,15,True,4.547473508864641e-13,,,,,,,,,,
4,15,10486.094521308847,699.0729680872565,0.12802109999756794,True,31,340,15,0,0,boundary_tangent,510005,directional_layers_safe,15,True,4.547473508864641e-13,8404.094521308847,307.0,1700.0,45.0,30.0,0,0,0,0,15
4,13,9745.404971471398,749.6465362670307,0.12469649998820387,True,31,420,13,0,2,boundary_tangent,510006,baseline,13,True,9.094947017729282e-13,,,,,,,,,,
4,13,9653.998632764606,742.6152794434312,0.12405399999988731,True,31,351,13,0,0,boundary_tangent,510006,directional_layers_safe,13,True,4.547473508864641e-13,7518.99863276461,315.0,1755.0,39.0,26.0,0,0,0,0,13
4,15,9551.207807329492,636.7471871552995,0.13841369999863673,True,31,302,15,0,3,boundary_tangent,510007,baseline,15,True,4.547473508864641e-13,,,,,,,,,,
4,15,10487.094521308847,699.1396347539231,0.13056740000320133,True,31,340,15,0,0,boundary_tangent,510007,directional_layers_safe,15,True,4.547473508864641e-13,8404.094521308847,308.0,1700.0,45.0,30.0,0,0,0,0,15
4,12,9154.156626417422,762.8463855347851,0.12330690000089817,True,31,362,12,0,0,boundary_tangent,510008,baseline,12,True,0.0,,,,,,,,,,
4,12,9541.471748274926,795.1226456895771,0.10733380001329351,True,31,366,12,0,0,boundary_tangent,510008,directional_layers_safe,12,True,0.0,7322.471748274927,329.0,1830.0,36.0,24.0,0,0,0,0,12
4,11,9627.375340319028,875.2159400290025,0.10685539999394678,True,31,402,11,0,0,boundary_tangent,510009,baseline,11,True,0.0,,,,,,,,,,
4,11,9604.717915627189,873.1561741479262,0.10621270000410732,True,31,398,11,0,0,boundary_tangent,510009,directional_layers_safe,11,True,0.0,7195.7179156271895,364.0,1990.0,33.0,22.0,0,0,0,0,11
4,16,4593.644053747188,287.10275335919926,0.14234859999851324,True,13,197,16,0,2,boundary_tangent,510010,baseline,16,True,0.0,,,,,,,,,,
4,16,5212.473448168636,325.7795905105398,0.11821149999741465,True,13,205,16,0,0,boundary_tangent,510010,directional_layers_safe,16,True,0.0,3920.473448168637,187.0,1025.0,48.0,32.0,0,0,0,0,16
4,14,9719.22798765522,694.2305705468015,0.13866019999841228,True,31,327,14,0,1,boundary_tangent,510011,baseline,14,True,0.0,,,,,,,,,,
4,14,9767.513350150362,697.6795250107401,0.12308939998911228,True,31,344,14,0,0,boundary_tangent,510011,directional_layers_safe,14,True,4.547473508864641e-13,7667.513350150363,310.0,1720.0,42.0,28.0,0,0,0,0,14
4,11,10029.333515978315,911.7575923616649,0.15417800001159776,True,31,325,11,0,0,grid_and_near,510000,baseline,11,True,1.1368683772161603e-13,,,,,,,,,,
4,11,10176.431075660728,925.130097787339,0.11036580000654794,True,31,322,11,0,0,grid_and_near,510000,directional_layers_safe,11,True,0.0,8238.431075660732,273.0,1610.0,33.0,22.0,0,0,0,0,10
4,13,10188.606609319648,783.7389699476652,0.22833519999403507,True,31,278,13,0,0,grid_and_near,510001,baseline,13,True,4.547473508864641e-13,,,,,,,,,,
4,13,9741.530547783,749.3485036756155,0.1348844000021927,True,31,278,13,0,0,grid_and_near,510001,directional_layers_safe,13,True,0.0,8056.530547783003,230.0,1390.0,39.0,26.0,0,0,0,0,12
4,13,10039.10007787381,772.2384675287547,0.18369339998753276,True,31,323,13,0,0,grid_and_near,510002,baseline,13,True,0.0,,,,,,,,,,
4,13,9299.865670548832,715.3742823499101,0.1172756999876583,True,31,293,13,0,0,grid_and_near,510002,directional_layers_safe,13,True,0.0,7515.865670548833,254.0,1465.0,39.0,26.0,0,0,0,0,11
4,13,9872.614280469514,759.4318677284241,0.16445560001011472,True,31,280,13,0,0,grid_and_near,510003,baseline,13,True,5.684341886080802e-14,,,,,,,,,,
4,13,10181.427060728936,783.1866969791489,0.12155710000661202,True,31,284,13,0,0,grid_and_near,510003,directional_layers_safe,13,True,1.1368683772161603e-13,8462.427060728935,234.0,1420.0,39.0,26.0,0,0,0,0,11
4,15,9523.930319635632,634.9286879757088,0.26920919999247417,True,31,229,15,0,0,grid_and_near,510004,baseline,15,True,4.547473508864641e-13,,,,,,,,,,
4,15,9422.322299868572,628.1548199912381,0.1417072000040207,True,31,217,15,0,0,grid_and_near,510004,directional_layers_safe,15,True,0.0,8091.32229986857,171.0,1085.0,45.0,30.0,0,0,0,0,13
4,15,8222.904570827042,548.1936380551361,0.09713019999617245,True,31,219,15,0,0,grid_and_near,510005,baseline,15,True,0.0,,,,,,,,,,
4,15,8426.3320717037,561.7554714469134,0.10465199999453034,True,31,245,15,0,0,grid_and_near,510005,directional_layers_safe,15,True,0.0,6920.332071703699,206.0,1225.0,45.0,30.0,0,0,0,0,10
4,13,10014.032091299625,770.3101608692019,0.12533879998954944,True,31,303,13,0,0,grid_and_near,510006,baseline,13,True,5.684341886080802e-14,,,,,,,,,,
4,13,9250.45994771733,711.5738421321023,0.09495050000259653,True,31,283,13,0,0,grid_and_near,510006,directional_layers_safe,13,True,0.0,7528.459947717331,242.0,1415.0,39.0,26.0,0,0,0,0,8
4,15,11162.327360331084,744.1551573554057,0.2451844000024721,True,31,281,15,0,0,grid_and_near,510007,baseline,15,True,0.0,,,,,,,,,,
4,15,9801.37355614835,653.4249037432234,0.13059389998670667,True,31,241,15,0,0,grid_and_near,510007,directional_layers_safe,15,True,0.0,8331.373556148352,190.0,1205.0,45.0,30.0,0,0,0,0,12
4,12,8689.766550900127,724.1472125750106,0.11107990000164136,True,31,352,12,0,0,grid_and_near,510008,baseline,12,True,0.0,,,,,,,,,,
4,12,8634.843062954136,719.570255246178,0.07173520000651479,True,31,315,12,0,0,grid_and_near,510008,directional_layers_safe,12,True,1.1368683772161603e-13,6720.843062954135,279.0,1575.0,36.0,24.0,0,0,0,0,6
4,11,9830.271387025117,893.6610351841016,0.0839449000050081,True,31,344,11,0,0,grid_and_near,510009,baseline,11,True,5.684341886080802e-14,,,,,,,,,,
4,11,9007.106912914749,818.8279011740681,0.08892799999739509,True,31,338,11,0,0,grid_and_near,510009,directional_layers_safe,11,True,0.0,6963.106912914748,299.0,1690.0,33.0,22.0,0,0,0,0,8
4,16,6477.607895702683,404.8504934814177,0.2978099000029033,True,16,146,16,0,0,grid_and_near,510010,baseline,16,True,0.0,,,,,,,,,,
4,16,5172.730425082063,323.29565156762897,0.1392597000085516,True,10,117,16,0,0,grid_and_near,510010,directional_layers_safe,16,True,0.0,4427.7304250820625,80.0,585.0,48.0,32.0,0,0,0,0,14
4,14,9856.253652843712,704.0181180602651,0.17131820000940934,True,31,278,14,0,0,grid_and_near,510011,baseline,14,True,5.684341886080802e-14,,,,,,,,,,
4,14,8842.574006239736,631.612429017124,0.11360909999348223,True,31,261,14,0,0,grid_and_near,510011,directional_layers_safe,14,True,1.1368683772161603e-13,7247.574006239735,220.0,1305.0,42.0,28.0,0,0,0,0,11
