problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,scenario,seed,strategy,total,normal_exit,max_step_time_error_s,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
3,15,4379.794700482283,291.9863133654855,0.18208129999402445,True,7,115,15,0,0,minus_r1000,510005,baseline,15,True,0.0,,,,,,,,,,
3,15,4178.852657997881,278.5901771998587,0.2712459000031231,True,7,114,15,0,0,minus_r1000,510005,joint_safe,15,True,0.0,3428.852657997881,105.0,570.0,45.0,30.0,347,15,3,5,15
3,13,4927.398098354023,379.03062295030946,0.19810579999466427,True,7,124,13,0,0,minus_r1000,510006,baseline,13,True,0.0,,,,,,,,,,
3,13,3922.454283468873,301.72725257452873,0.20213580000563525,True,7,124,13,0,0,minus_r1000,510006,joint_safe,13,True,0.0,3121.4542834688737,116.0,620.0,39.0,26.0,302,13,1,3,13
3,15,4328.152104904282,288.5434736602855,0.23652839999704156,True,7,99,15,0,0,minus_r1000,510007,baseline,15,True,0.0,,,,,,,,,,
3,15,3974.9828379792893,264.998855865286,0.27845639998849947,True,7,117,15,0,0,minus_r1000,510007,joint_safe,15,True,1.1368683772161603e-13,3207.9828379792893,107.0,585.0,45.0,30.0,361,15,7,18,15
3,12,4210.414016157668,350.86783467980564,0.1918790999916382,True,7,104,12,0,0,minus_r1000,510008,baseline,12,True,5.684341886080802e-14,,,,,,,,,,
3,12,4044.835431099285,337.06961925827375,0.2045771999983117,True,7,120,12,0,0,minus_r1000,510008,joint_safe,12,True,5.684341886080802e-14,3275.835431099285,109.0,600.0,36.0,24.0,336,12,4,12,12
3,11,3961.2113808865283,360.11012553513893,0.1345350000046892,True,7,122,11,0,0,minus_r1000,510009,baseline,11,True,5.684341886080802e-14,,,,,,,,,,
3,11,3752.825631581172,341.16596650737927,0.2040871000062907,True,7,114,11,0,0,minus_r1000,510009,joint_safe,11,True,0.0,3023.8256315811723,104.0,570.0,33.0,22.0,301,11,1,3,11
3,16,4723.262349785117,295.20389686156983,0.23372920000110753,True,7,107,16,0,0,minus_r1000,510010,baseline,16,True,0.0,,,,,,,,,,
