absence_skipped_measurements,arm,candidate_evaluations,channels_certified_absent,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,discovery_closed,discovery_closed_by_absence,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paired_total_sources,paper_measurements_selected,problem,program_time_s,reschedule_bursts,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s,wall_s
0,step2,39,0,16,16,True,4,16,1,0,0,0,0,32.0,0.0,357.6861075710661,273,1365.0,4027.9777211370574,True,0,48.0,16,0,4,0.20735720000811853,2,0,13,8,37,4,1910007,69,12,12,21,250.0,5722.977721137057,0.22520290000829846
0,step1,44,0,10,10,True,0,10,0,0,0,0,0,20.0,0.0,612.1809691605025,333,1665.0,4093.8096916050254,True,0,30.0,10,0,4,0.17719970000325702,5,0,14,6,41,6,1910008,45,4,4,25,313.0,6121.809691605025,0.1940796999988379
0,step2,44,0,10,10,True,0,10,0,0,0,0,0,20.0,0.0,612.1809691605025,333,1665.0,4093.8096916050254,True,0,30.0,10,0,4,0.1751289999956498,2,0,14,8,43,6,1910008,45,4,4,25,313.0,6121.809691605025,0.1932610000076238
0,step1,59,0,17,16,True,5,16,1,0,1,0,0,32.0,0.0,378.19849404412776,242,1210.0,4539.175904706045,True,0,51.0,16,0,4,0.2362717999931192,5,0,19,8,36,6,1910009,58,11,10,20,219.0,6051.175904706044,0.2547361000033561
0,step2,59,0,17,16,True,5,16,1,0,1,0,0,32.0,0.0,378.19849404412776,242,1210.0,4539.175904706045,True,0,51.0,16,0,4,0.2387830999941798,4,0,19,12,38,6,1910009,58,11,10,20,219.0,6051.175904706044,0.2570101000019349
0,step1,38,0,11,11,True,0,11,0,0,0,0,0,22.0,0.0,575.4364131336973,360,1800.0,4140.8005444706705,True,0,33.0,11,0,4,0.15734200000588316,4,0,12,4,40,5,1910010,25,6,6,25,334.0,6329.8005444706705,0.17641189999994822
0,step2,26,0,11,11,True,0,11,0,0,0,0,0,22.0,0.0,574.9002695303834,359,1795.0,4139.9029648342175,True,0,33.0,11,0,4,0.1452891999942949,1,0,10,6,42,4,1910010,25,7,7,25,334.0,6323.9029648342175,0.1632298000040464
0,step1,13,0,39,15,True,0,15,0,0,24,1,0,30.0,0.0,422.7671149915161,224,1120.0,4871.506724872751,True,0,117.0,15,0,4,0.34060279998811893,5,1,13,6,46,5,1910011,140,12,9,25,203.0,6341.506724872742,0.35783510000328533
0,step2,13,0,39,15,True,0,15,0,0,24,1,0,30.0,0.0,422.7671149915161,224,1120.0,4871.506724872751,True,0,117.0,15,0,4,0.33936399999947753,1,1,13,7,47,5,1910011,140,12,9,25,203.0,6341.506724872742,0.3571157999977004
0,step1,65,0,21,15,True,0,15,0,0,6,1,0,30.0,0.0,419.9797878692972,274,1370.0,4586.696818039455,True,0,63.0,15,1,4,0.2434484999976121,9,1,27,12,50,9,1910012,96,11,5,25,250.0,6299.696818039458,0.26058079999347683
