problem,complete,cleared,virtual_time_s,mean_time_s,program_time_s,stations_visited,scheduling_policy,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,skipped_known_measurements,route_replans,negative_observations,negative_region_fallbacks,negative_constraints,ring_activated,coverage_sites_cancelled,strategy,coverage_layout,q3_ring_guard,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,True,11,3199.98270385615,290.90751853237725,0.1760329999960959,7,joint_route,116,11,0,0,2457.98270385615,107.0,580.0,33.0,22.0,275,11,0,8,11,3,14,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482185,11,1.0,950.0,fixed,0
3,True,10,3432.4167258925017,343.2416725892502,0.17810889999964274,7,joint_route,120,10,0,0,2671.416725892502,111.0,600.0,30.0,20.0,241,10,0,12,10,2,14,False,0,0,0,0,integrated,original,off,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3482186,10,1.0,950.0,fixed,0
3,True,15,4176.651790062001,278.44345267080007,0.23686370000359602,7,joint_route,113,15,0,0,3434.6517900620015,102.0,565.0,45.0,30.0,367,15,1,21,14,2,19,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482187,15,1.0,950.0,fixed,0
3,True,15,3270.520724616773,218.03471497445153,0.25754910000250675,7,joint_route,110,15,0,0,2547.520724616773,98.0,550.0,45.0,30.0,355,15,3,15,15,13,18,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482188,15,1.0,950.0,fixed,0
3,True,15,3457.5142396287383,230.50094930858256,0.2519336000113981,7,joint_route,105,15,0,0,2760.5142396287383,97.0,525.0,45.0,30.0,344,15,0,24,15,9,20,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482189,15,1.0,950.0,fixed,0
3,True,12,3439.098421578449,286.5915351315374,0.17864749999716878,7,joint_route,117,12,0,0,2682.0984215784483,112.0,585.0,36.0,24.0,250,12,1,23,12,6,17,False,0,0,0,0,integrated,original,off,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3482190,12,1.0,950.0,fixed,0
3,True,14,3462.809165130718,247.34351179505128,0.19621809999807738,7,joint_route,116,14,0,0,2701.809165130719,111.0,580.0,42.0,28.0,285,14,1,22,13,5,18,False,0,0,0,0,integrated,original,off,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3482191,14,1.0,950.0,fixed,0
3,True,15,4247.550036386862,283.1700024257908,0.26069660000212025,7,joint_route,120,15,0,0,3468.5500363868628,104.0,600.0,45.0,30.0,444,15,2,18,11,6,19,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482192,15,1.0,950.0,fixed,0
3,True,15,3765.0435752375934,251.00290501583956,0.2205007000011392,7,joint_route,118,15,0,0,2989.043575237594,111.0,590.0,45.0,30.0,330,15,3,17,15,6,18,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482193,15,1.0,950.0,fixed,0
3,True,13,3761.4729639576053,289.344074150585,0.19831170000543352,7,joint_route,120,13,0,0,2983.4729639576053,113.0,600.0,39.0,26.0,286,13,4,20,13,6,15,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482194,13,1.0,950.0,fixed,0
3,True,15,3833.9225270336615,255.59483513557743,0.23411879999912344,7,joint_route,115,15,0,0,3075.9225270336615,108.0,575.0,45.0,30.0,332,15,2,26,15,8,19,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482195,15,1.0,950.0,fixed,0
3,True,10,3347.9207353374304,334.79207353374306,0.12620839998999145,7,joint_route,122,10,0,0,2571.920735337431,116.0,610.0,30.0,20.0,181,10,3,7,10,6,13,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482196,10,1.0,950.0,fixed,0
3,True,16,3852.404239249681,240.77526495310505,0.2578994000068633,7,joint_route,105,16,0,0,3151.404239249681,96.0,525.0,48.0,32.0,367,16,1,21,16,14,20,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482197,16,1.0,950.0,fixed,0
3,True,16,4070.7730377939274,254.42331486212046,0.250986400002148,7,joint_route,114,16,0,0,3317.7730377939283,103.0,570.0,48.0,32.0,386,16,6,16,16,10,16,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482198,16,1.0,950.0,fixed,0
3,True,16,3740.3758926218784,233.7734932888674,0.25171989999944344,7,joint_route,110,16,0,0,3007.3758926218784,103.0,550.0,48.0,32.0,354,16,1,22,15,8,21,False,0,0,0,0,integrated,original,off,True,2.842170943040401e-14,LOCAL_SYNTHETIC,3482199,16,1.0,950.0,fixed,0
