arm,candidate_evaluations,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paired_total_sources,paper_measurements_selected,problem,program_time_s,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s,wall_s
step,50,15,14,True,0,14,1,0,0,28.0,0.0,414.4747467177294,259,1295.0,4201.646454048208,True,0,45.0,14,0,4,0.20087190000049304,0,16,10,49,6,1910019,57,9,8,25,233.0,5802.646454048211,0.2183491000032518
step,42,16,15,True,0,15,1,0,0,30.0,4.547473508864641e-13,389.90739522921945,293,1465.0,4032.61092843829,True,0,48.0,15,0,4,0.19557669998903293,0,19,10,50,9,1910020,50,7,6,25,273.0,5848.610928438292,0.21190790001128335
step,0,29,15,True,0,15,14,1,0,30.0,9.094947017729282e-13,393.4708214997087,242,1210.0,4352.062322495632,True,0,87.0,15,0,4,0.3207836999936262,1,14,7,47,6,1910021,93,9,8,25,223.0,5902.06232249563,0.3372492000053171
step,0,11,10,True,0,10,1,0,0,20.0,9.094947017729282e-13,597.81730375693,319,1595.0,4034.1730375692996,True,0,33.0,10,0,4,0.11876820000179578,0,8,4,39,4,1910022,66,7,6,25,296.0,5978.1730375693,0.13572109999950044
step,0,20,14,True,0,14,6,1,0,28.0,4.547473508864641e-13,426.93478169420365,246,1230.0,4434.086943718851,True,0,60.0,14,0,4,0.18290580000029877,1,10,4,42,5,1910023,64,9,8,25,225.0,5977.086943718851,0.20119829999748617
step,24,11,10,True,0,10,1,0,0,20.0,0.0,597.2089310903899,322,1610.0,4010.0893109039,True,0,33.0,10,0,4,0.1250612000003457,0,10,5,40,5,1910024,33,6,5,25,299.0,5972.089310903899,0.14163189999817405
step,13,12,12,True,0,12,0,0,0,24.0,0.0,497.1825875111599,278,1390.0,4263.191050133917,True,0,36.0,12,0,4,0.13792710000416264,0,12,7,44,5,1910025,31,7,7,25,253.0,5966.191050133919,0.15481770000769757
step,49,17,16,True,0,16,1,0,0,32.0,0.0,334.04902044463324,242,1210.0,3832.7843271141314,True,0,51.0,16,0,4,0.2074090999958571,0,24,15,53,9,1910026,45,8,7,22,219.0,5344.784327114132,0.22420250000141095
step,13,18,16,True,0,16,2,0,0,32.0,2.842170943040401e-14,364.33789091056315,198,990.0,4578.40625456901,True,0,54.0,16,0,4,0.19901650000247173,0,20,12,52,8,1910027,60,10,8,24,175.0,5829.40625456901,0.21669400000246242
step,15,12,12,True,0,12,0,0,0,24.0,5.684341886080802e-14,489.9607841706329,279,1395.0,4166.529410047595,True,0,36.0,12,0,4,0.14752739999676123,0,12,8,45,4,1910028,40,8,8,25,258.0,5879.529410047595,0.16444989999581594
step,25,14,11,True,0,11,3,0,0,22.0,0.0,576.1589399003087,348,1740.0,4213.748338903396,True,0,42.0,11,0,4,0.15285810000204947,0,17,11,47,6,1910029,75,8,5,25,320.0,6337.748338903396,0.17085450000013225
step,0,15,14,True,0,14,1,0,0,28.0,0.0,450.1072679062008,322,1610.0,4314.501750686812,True,0,45.0,14,0,4,0.12148099999467377,0,7,4,43,3,1910030,50,12,11,25,304.0,6301.501750686811,0.13861129998986144
step,52,27,12,True,0,12,15,1,0,24.0,9.094947017729282e-13,570.545366437537,320,1600.0,4848.5443972504445,True,0,81.0,12,0,4,0.32731569999305066,1,22,13,50,8,1910031,65,5,3,25,293.0,6846.5443972504445,0.34397200000239536
step,13,12,10,True,0,10,2,1,0,20.0,0.0,675.7548498607624,343,1715.0,4669.548498607624,True,0,36.0,10,0,4,0.27931250000256114,1,8,5,40,2,1910032,33,7,7,25,317.0,6757.548498607624,0.29621279999264516
step,84,18,12,True,0,12,6,1,0,24.0,0.0,502.33549610041496,303,1515.0,4155.025953204982,True,0,54.0,12,0,4,0.26067540000076406,1,14,8,45,5,1910033,70,7,6,25,280.0,6028.0259532049795,0.27711830000043847
step,61,32,16,True,0,16,16,1,0,32.0,2.2737367544323206e-13,375.35123740259814,212,1060.0,4634.6197984415685,True,0,96.0,16,0,4,0.3372262999910163,1,21,12,51,8,1910034,56,8,7,23,183.0,6005.61979844157,0.3538491000072099
step,45,11,10,True,0,10,1,0,0,20.0,0.0,640.3319465479357,317,1585.0,4470.319465479355,True,0,33.0,10,1,4,0.15397200000006706,0,13,8,43,5,1910035,28,6,5,25,295.0,6403.319465479357,0.17029129998991266
