arm,candidate_evaluations,clear,cleared,complete,deferred_targets,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,negative_constraints,negative_observations,negative_region_fallbacks,normal_exit,opportunistic_measures,optical_s,paired_total_sources,problem,program_time_s,route_replans,safe_clear_points,scheduling_policy,seed,skipped_known_measurements,stations_visited,switch_s,virtual_time_s,wall_s
guard,411,16,16,True,16,0,0,0,32.0,0.0,225.21552810870142,109,545.0,2881.448449739222,96,61,0,True,10,48.0,16,3,0.33665869999094866,21,14,joint_route,995054,2,6,97.0,3603.4484497392227,0.33674700000847224
measure,411,16,16,True,16,0,0,0,32.0,0.0,225.21552810870142,109,545.0,2881.448449739222,88,61,0,True,10,48.0,16,3,0.3341949999885401,21,14,joint_route,995054,2,6,97.0,3603.4484497392227,0.33427900000242516
baseline,294,13,13,True,13,0,0,1,26.0,0.0,270.9891716192696,121,605.0,2739.8592310505046,0,0,0,True,1,39.0,13,3,0.23163300000305753,13,13,joint_route,995055,0,7,113.0,3522.8592310505046,0.23172549999435432
guard,318,13,13,True,13,0,0,1,26.0,0.0,262.3747978962436,123,615.0,2617.8723726511666,105,87,0,True,1,39.0,13,3,0.2434674999967683,13,13,joint_route,995055,0,7,113.0,3410.8723726511666,0.2435542000021087
measure,318,13,13,True,13,0,0,1,26.0,0.0,262.3747978962436,123,615.0,2617.8723726511666,105,87,0,True,1,39.0,13,3,0.24861850000161212,13,13,joint_route,995055,0,7,113.0,3410.8723726511666,0.24870660000306088
baseline,366,15,15,True,15,0,0,3,30.0,2.842170943040401e-14,250.83285715687333,116,580.0,3000.4928573531,0,0,0,True,30,45.0,15,3,0.3102695000125095,18,14,joint_route,995056,12,7,107.0,3762.4928573531,0.31034370000998024
guard,366,15,15,True,15,0,0,3,30.0,2.842170943040401e-14,249.973857230424,116,580.0,2987.6078584563597,139,71,0,True,30,45.0,15,3,0.32459239999298006,18,14,joint_route,995056,12,7,107.0,3749.6078584563597,0.32468629999493714
measure,366,15,15,True,15,0,0,3,30.0,2.842170943040401e-14,249.973857230424,116,580.0,2987.6078584563597,98,71,0,True,30,45.0,15,3,0.32433570000284817,18,14,joint_route,995056,12,7,107.0,3749.6078584563597,0.32445889999507926
baseline,254,11,11,True,11,0,0,1,22.0,1.1368683772161603e-13,304.811006887826,123,615.0,2567.9210757660862,0,0,0,True,20,33.0,11,3,0.23180870000214782,16,11,joint_route,995057,6,7,115.0,3352.9210757660862,0.23187570000300184
guard,254,11,11,True,11,0,0,1,22.0,1.1368683772161603e-13,303.92632803114003,123,615.0,2558.1896083425404,94,89,0,True,20,33.0,11,3,0.2391910000005737,16,11,joint_route,995057,6,7,115.0,3343.1896083425404,0.23928049999813084
measure,254,11,11,True,11,0,0,1,22.0,1.1368683772161603e-13,303.92632803114003,123,615.0,2558.1896083425404,67,89,0,True,20,33.0,11,3,0.2417641000065487,16,11,joint_route,995057,6,7,115.0,3343.1896083425404,0.24184669999522157
baseline,319,16,16,True,16,0,0,4,32.0,0.0,229.22618230349642,113,565.0,2915.618916855943,0,0,0,True,20,48.0,16,3,0.28165779999108054,18,15,joint_route,995058,5,7,107.0,3667.6189168559426,0.281724899992696
guard,331,16,16,True,16,0,0,3,32.0,0.0,220.38457202675133,113,565.0,2775.153152428022,109,68,0,True,19,48.0,16,3,0.3116837999987183,19,15,joint_route,995058,5,7,106.0,3526.1531524280213,0.3117724000039743
measure,331,16,16,True,16,0,0,4,32.0,0.0,227.56683532656714,114,570.0,2884.0693652250748,75,69,0,True,20,48.0,16,3,0.29870680000749417,18,15,joint_route,995058,5,7,107.0,3641.0693652250743,0.29879780000192113
baseline,193,10,10,True,10,0,0,0,20.0,0.0,320.11870623823336,117,585.0,2453.187062382334,0,0,0,True,5,30.0,10,3,0.1629315000027418,12,9,joint_route,995059,0,7,113.0,3201.187062382334,0.1629899999970803
guard,193,10,10,True,10,0,0,0,20.0,0.0,317.16298692183625,117,585.0,2423.6298692183627,33,91,0,True,5,30.0,10,3,0.16200849998858757,12,9,joint_route,995059,0,7,113.0,3171.6298692183623,0.1620824999990873
measure,193,10,10,True,10,0,0,0,20.0,0.0,311.74947442204245,117,585.0,2369.494744220425,31,91,0,True,5,30.0,10,3,0.17258710000896826,12,9,joint_route,995059,0,7,113.0,3117.4947442204243,0.17267149999679532
