arm,candidate_evaluations,clear,cleared,complete,deferred_targets,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,negative_constraints,negative_observations,negative_region_fallbacks,normal_exit,opportunistic_measures,optical_s,paired_total_sources,problem,program_time_s,route_replans,safe_clear_points,scheduling_policy,seed,skipped_known_measurements,stations_visited,switch_s,virtual_time_s,wall_s
measure,298,12,12,True,12,0,0,4,24.0,0.0,316.3612333398943,127,635.0,2984.3348000787314,100,89,0,True,21,36.0,12,3,0.2574481000046944,14,12,joint_route,995029,4,7,117.0,3796.3348000787314,0.2575267999927746
baseline,239,10,10,True,10,0,0,0,20.0,1.1368683772161603e-13,324.7836153874421,118,590.0,2496.8361538744216,0,0,0,True,16,30.0,10,3,0.20584400001098402,13,10,joint_route,995030,2,7,111.0,3247.836153874421,0.2059031000098912
guard,229,10,10,True,10,0,0,0,20.0,1.1368683772161603e-13,322.5773984115211,118,590.0,2474.773984115211,58,88,0,True,16,30.0,10,3,0.22701889999734703,13,10,joint_route,995030,2,7,111.0,3225.7739841152106,0.22709820000454783
measure,239,10,10,True,10,0,0,0,20.0,1.1368683772161603e-13,324.9530243622563,118,590.0,2498.530243622564,45,88,0,True,16,30.0,10,3,0.2168458000087412,13,10,joint_route,995030,2,7,111.0,3249.5302436225634,0.21691410000494216
baseline,252,10,10,True,10,0,0,1,20.0,2.2737367544323206e-13,344.04431891576485,124,620.0,2656.4431891576487,0,0,0,True,4,30.0,10,3,0.2062432000093395,11,9,joint_route,995031,0,7,114.0,3440.4431891576487,0.20630639999581035
guard,228,10,10,True,10,0,0,1,20.0,2.2737367544323206e-13,333.7959477911103,122,610.0,2563.9594779111026,60,94,0,True,4,30.0,10,3,0.19440860000031535,11,9,joint_route,995031,0,7,114.0,3337.9594779111026,0.1944938000087859
measure,228,10,10,True,10,0,0,1,20.0,2.2737367544323206e-13,333.7959477911103,122,610.0,2563.9594779111026,58,94,0,True,4,30.0,10,3,0.18801639998855535,11,9,joint_route,995031,0,7,114.0,3337.9594779111026,0.188091699994402
baseline,275,13,13,True,13,0,0,1,26.0,0.0,277.40427201681194,118,590.0,2839.2555362185544,0,0,0,True,16,39.0,13,3,0.23151930001040455,17,11,joint_route,995032,3,7,112.0,3606.2555362185553,0.23157989999162965
guard,300,13,13,True,13,0,0,4,26.0,0.0,301.38028557000524,125,625.0,3110.943712410068,162,82,0,True,23,39.0,13,3,0.3043310999928508,15,11,joint_route,995032,6,7,117.0,3917.943712410068,0.3044341000058921
measure,275,13,13,True,13,0,0,1,26.0,0.0,277.40427201681194,118,590.0,2839.2555362185544,68,81,0,True,16,39.0,13,3,0.26548380000167526,17,11,joint_route,995032,3,7,112.0,3606.2555362185553,0.26557339999999385
baseline,364,15,15,True,15,0,0,0,30.0,2.2737367544323206e-13,236.7532341548088,105,525.0,2858.298512322132,0,0,0,True,18,45.0,15,3,0.3171778000105405,20,14,joint_route,995033,6,7,93.0,3551.298512322132,0.3172454000014113
guard,376,15,15,True,15,0,0,0,30.0,0.0,235.02265533077087,106,530.0,2827.3398299615624,100,61,0,True,18,45.0,15,3,0.33639169999514706,20,14,joint_route,995033,6,7,93.0,3525.3398299615633,0.33646890000090934
measure,376,15,15,True,15,0,0,0,30.0,0.0,235.02265533077087,106,530.0,2827.3398299615624,84,61,0,True,18,45.0,15,3,0.33431379999092314,20,14,joint_route,995033,6,7,93.0,3525.3398299615633,0.3343892999982927
baseline,286,12,12,True,12,0,0,0,24.0,5.684341886080802e-14,285.83050834202476,117,585.0,2676.9661001042964,0,0,0,True,13,36.0,12,3,0.22956749999138992,17,11,joint_route,995034,5,7,108.0,3429.966100104297,0.22962609998648986
guard,298,12,12,True,12,0,0,0,24.0,5.684341886080802e-14,283.6404055520065,118,590.0,2645.6848666240776,76,81,0,True,13,36.0,12,3,0.26070839999010786,17,11,joint_route,995034,5,7,108.0,3403.684866624078,0.2607863000012003
measure,298,12,12,True,12,0,0,0,24.0,5.684341886080802e-14,283.6404055520065,118,590.0,2645.6848666240776,65,81,0,True,13,36.0,12,3,0.2541151999903377,17,11,joint_route,995034,5,7,108.0,3403.684866624078,0.2541958999936469
baseline,274,13,13,True,13,0,0,1,26.0,2.842170943040401e-14,281.58308712100876,108,540.0,2954.580132573115,0,0,0,True,11,39.0,13,3,0.2562027000094531,17,12,joint_route,995035,2,7,101.0,3660.580132573114,0.25627490000624675
guard,274,13,13,True,13,0,0,1,26.0,2.2737367544323206e-13,270.9416301662558,108,540.0,2816.241192161326,69,71,0,True,11,39.0,13,3,0.2731462000083411,17,12,joint_route,995035,2,7,101.0,3522.241192161325,0.273226599994814
measure,274,13,13,True,13,0,0,1,26.0,2.842170943040401e-14,281.58308712100876,108,540.0,2954.580132573115,59,71,0,True,11,39.0,13,3,0.28360749999410473,17,12,joint_route,995035,2,7,101.0,3660.580132573114,0.2836834000045201
baseline,351,16,16,True,16,0,0,2,32.0,1.1368683772161603e-13,221.89802821101165,104,520.0,2854.368451376187,0,0,0,True,9,48.0,16,3,0.30600299999059644,19,14,joint_route,995036,1,7,96.0,3550.3684513761864,0.3060704999952577
guard,374,16,16,True,16,0,0,1,32.0,5.684341886080802e-14,237.73365924242097,113,565.0,3054.7385478787355,90,67,0,True,16,48.0,16,3,0.33115700000780635,19,15,joint_route,995036,5,7,104.0,3803.7385478787355,0.3312436999985948
measure,339,16,16,True,16,0,0,2,32.0,1.1368683772161603e-13,210.1614384963864,103,515.0,2671.583015942183,53,62,0,True,9,48.0,16,3,0.2874537000025157,19,15,joint_route,995036,1,7,96.0,3362.5830159421826,0.28753850000794046
baseline,282,13,13,True,13,0,0,3,26.0,0.0,286.5235201417244,114,570.0,2981.805761842418,0,0,0,True,19,39.0,13,3,0.23782900000514928,16,12,joint_route,995037,6,7,108.0,3724.8057618424177,0.23789669999678154
guard,273,13,13,True,13,0,0,3,26.0,0.0,274.0453561974868,113,565.0,2825.589630567329,90,77,0,True,18,39.0,13,3,0.2522023000055924,16,12,joint_route,995037,7,7,107.0,3562.5896305673286,0.25228979998792056
measure,273,13,13,True,13,0,0,3,26.0,0.0,281.94328130238335,114,570.0,2922.262656930984,61,78,0,True,19,39.0,13,3,0.24244719999842346,16,12,joint_route,995037,6,7,108.0,3665.2626569309837,0.24252939999860246
baseline,208,10,10,True,10,0,0,0,20.0,0.0,333.0710309539711,113,565.0,2607.71030953971,0,0,0,True,16,30.0,10,3,0.19794319999346044,15,9,joint_route,995038,10,7,108.0,3330.710309539711,0.19800730000133626
