candidate_evaluations,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,discovery_closed,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,move_s,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s
41,19,14,True,0,14,0,5,1,0,28.0,476.0878715376643,289,1445.0,4874.230201527302,0,57.0,0,4,0.27724640000087675,0,0,0,39,9,1910023,66,4,4,25,261.0,6665.2302015273
78,11,10,True,0,10,0,1,1,0,20.0,639.2306408037146,361,1805.0,4197.306408037142,0,33.0,0,4,0.21124229999259114,0,0,0,35,8,1910024,34,2,1,25,337.0,6392.306408037145
26,12,12,True,0,12,0,0,0,0,24.0,498.07626347939623,279,1395.0,4268.915161752754,0,36.0,0,4,0.22005970000464004,0,0,0,37,6,1910025,31,6,6,25,253.0,5976.915161752755
34,16,16,True,7,16,1,0,0,0,32.0,327.6758959424484,223,1115.0,3846.8143350791725,0,48.0,2,4,0.23041139999986626,0,0,0,34,9,1910026,37,7,7,18,201.0,5242.814335079174
98,18,16,True,6,16,1,2,0,0,32.0,363.15943587264394,198,990.0,4563.550973962304,0,54.0,1,4,0.41340749998926185,0,0,0,35,10,1910027,39,8,6,19,171.0,5810.550973962303
13,18,12,True,0,12,0,6,1,0,24.0,536.9287554133695,304,1520.0,4568.145064960431,0,54.0,3,4,0.5102561000094283,0,0,0,37,8,1910028,34,3,3,25,277.0,6443.145064960433
86,13,11,True,0,11,0,2,0,0,22.0,583.9791562783716,350,1750.0,4293.7707190620895,0,39.0,1,4,0.3133276000007754,0,0,0,36,8,1910029,75,5,3,25,319.0,6423.770719062089
17,15,14,True,0,14,0,1,0,0,28.0,453.6937717128614,325,1625.0,4349.71280398006,0,45.0,1,4,0.23992269999871496,0,0,0,39,5,1910030,50,10,9,25,304.0,6351.71280398006
98,26,12,True,0,12,0,14,1,0,24.0,546.2415961055882,295,1475.0,4713.899153267061,0,78.0,0,4,0.5217467000038596,0,0,0,37,9,1910031,54,3,2,25,264.0,6554.899153267059
79,12,10,True,0,10,0,2,1,0,20.0,639.2512456009025,328,1640.0,4396.512456009026,0,36.0,0,4,0.4412095000006957,0,0,0,35,7,1910032,1,2,2,25,300.0,6392.512456009025
98,18,12,True,0,12,0,6,1,0,24.0,502.87792012222695,304,1520.0,4156.5350414667255,0,54.0,0,4,0.3226473000104306,0,0,0,37,6,1910033,70,6,5,25,280.0,6034.535041466724
