candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s
39,17,15,True,0,,2,0,0,30.0,419.8002191007847,259,1295.0,direct80,4684.003286511774,True,True,0,51.0,0,0.29563510000298265,9,1800007,25,237.0,15,6297.003286511771
39,17,15,True,0,,2,0,0,30.0,419.8002191007847,259,1295.0,direct120,4684.003286511774,True,True,0,51.0,0,0.2984560000040801,9,1800007,25,237.0,15,6297.003286511771
27,26,15,True,0,,11,0,0,30.0,420.78161642492876,256,1280.0,optical,4689.724246373929,True,True,0,78.0,0,0.28366789998835884,7,1800007,25,234.0,15,6311.724246373931
58,28,10,True,0,,18,2,0,20.0,652.6092069413479,325,1625.0,direct40,4501.092069413479,True,True,0,84.0,0,0.5216927000001306,6,1800008,25,296.0,10,6526.092069413479
58,28,10,True,0,,18,2,0,20.0,652.6092069413479,325,1625.0,direct80,4501.092069413479,True,True,0,84.0,0,0.5090148000017507,6,1800008,25,296.0,10,6526.092069413479
58,28,10,True,0,,18,2,0,20.0,652.6092069413479,325,1625.0,direct120,4501.092069413479,True,True,0,84.0,0,0.5152860999951372,6,1800008,25,296.0,10,6526.092069413479
58,31,10,True,0,,21,2,0,20.0,654.756563023107,325,1625.0,optical,4513.565630231069,True,True,0,93.0,0,0.5114050999982283,6,1800008,25,296.0,10,6547.56563023107
83,10,10,True,0,,0,0,0,20.0,671.7361669270633,372,1860.0,direct40,4461.361669270633,True,True,0,30.0,0,0.21314069999789353,7,1800009,25,346.0,10,6717.361669270633
85,11,10,True,0,,1,0,0,20.0,673.9793025377807,373,1865.0,direct80,4475.793025377807,True,True,0,33.0,0,0.205936099999235,7,1800009,25,346.0,10,6739.793025377807
75,12,10,True,0,,2,0,0,20.0,674.1310876198792,373,1865.0,direct120,4474.310876198791,True,True,0,36.0,0,0.19158949999837205,7,1800009,25,346.0,10,6741.310876198791
