candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s
55,15,15,True,0,,0,0,0,30.0,549.7102601626291,382,1910.0,batch,5901.653902439436,True,True,0,45.0,2,,0.28747399999701884,15,1800017,25,359.0,15,8245.653902439437
102,56,11,True,0,,45,3,0,22.0,841.0637098084194,365,1825.0,reference,6914.700807892632,True,True,0,168.0,2,4,0.5682850000011967,8,1800018,31,322.0,11,9251.700807892614
102,56,11,True,0,,45,3,0,22.0,793.5244523079263,309,1545.0,radial,6721.768975387206,True,True,0,168.0,2,4,0.5615733000013279,8,1800018,25,272.0,11,8728.76897538719
87,39,11,True,0,,28,1,0,22.0,723.3422513909019,333,1665.0,tour,5856.76476529992,True,True,0,117.0,4,4,0.3843380000034813,10,1800018,25,296.0,11,7956.76476529992
109,11,11,True,0,,0,0,0,22.0,609.5184438892823,366,1830.0,joint,4480.702882782104,True,True,0,33.0,3,,0.36454119998961687,11,1800018,25,339.0,11,6704.702882782105
52,11,11,True,0,,0,0,0,22.0,766.7515415403542,405,2025.0,batch,5972.266956943896,True,True,0,33.0,1,,0.2266090999910375,11,1800018,25,382.0,11,8434.266956943897
177,13,13,True,0,,0,0,0,26.0,677.4716314822944,307,1535.0,reference,6948.131209269826,True,True,0,39.0,2,4,0.3547938999981852,13,1800019,31,259.0,13,8807.131209269826
177,13,13,True,0,,0,0,0,26.0,646.8740596339868,265,1325.0,radial,6796.36277524183,True,True,0,39.0,2,4,0.28884829999879,13,1800019,25,223.0,13,8409.362775241829
147,13,13,True,0,,0,0,0,26.0,639.6018787847315,327,1635.0,tour,6322.824424201508,True,True,0,39.0,1,4,0.2926568999973824,13,1800019,25,292.0,13,8314.82442420151
107,13,13,True,0,,0,0,0,26.0,504.0495027301671,364,1820.0,joint,4326.643535492173,True,True,0,39.0,5,,0.3166837000026135,13,1800019,25,341.0,13,6552.643535492172
28,13,13,True,0,,0,0,0,26.0,595.7757633114808,402,2010.0,batch,5293.0849230492495,True,True,0,39.0,1,,0.2202720000059344,13,1800019,25,377.0,13,7745.0849230492495
241,15,15,True,0,,0,0,0,30.0,572.8432234775088,278,1390.0,reference,6901.648352162632,True,True,0,45.0,4,4,0.41154139999707695,14,1800020,31,226.0,15,8592.648352162632
227,26,15,True,0,,11,1,0,30.0,551.9048342435311,247,1235.0,radial,6733.572513652968,True,True,0,78.0,4,4,0.43772119999630377,13,1800020,25,202.0,15,8278.572513652967
115,15,15,True,0,,0,0,0,30.0,518.0429032140062,259,1295.0,tour,6178.643548210095,True,True,0,45.0,4,4,0.3433331999985967,14,1800020,25,222.0,15,7770.643548210093
73,15,15,True,0,,0,0,0,30.0,458.97679380096565,310,1550.0,joint,4970.651907014483,True,True,0,45.0,3,,0.34432319999905303,14,1800020,25,289.0,15,6884.651907014485
5,15,15,True,0,,0,0,0,30.0,500.5808811634205,335,1675.0,batch,5444.713217451306,True,True,0,45.0,1,,0.2422526000009384,15,1800020,25,314.0,15,7508.713217451307
171,14,14,True,0,,0,0,0,28.0,621.0155902979913,292,1460.0,reference,6920.2182641718755,True,True,0,42.0,1,4,0.29751480001141317,14,1800021,31,244.0,14,8694.218264171877
171,14,14,True,0,,0,0,0,28.0,595.1749878674201,256,1280.0,radial,6768.449830143879,True,True,0,42.0,1,4,0.28650659999402706,14,1800021,25,214.0,14,8332.449830143882
156,14,14,True,0,,0,0,0,28.0,584.0012885227485,275,1375.0,tour,6496.018039318476,True,True,0,42.0,4,4,0.38062969999737106,14,1800021,25,235.0,14,8176.018039318478
101,14,14,True,0,,0,0,0,28.0,484.3491432384663,364,1820.0,joint,4546.888005338529,True,True,0,42.0,3,,0.4019488000049023,14,1800021,25,344.0,14,6780.888005338528
24,14,14,True,0,,0,0,0,28.0,525.1342639411831,349,1745.0,batch,5207.879695176562,True,True,0,42.0,0,,0.24045190001197625,14,1800021,25,329.0,14,7351.8796951765635
91,11,11,True,0,,0,1,0,22.0,830.3901511554678,347,1735.0,reference,7041.291662710146,True,True,0,33.0,2,4,0.2112736999988556,10,1800022,31,303.0,11,9134.291662710146
91,11,11,True,0,,0,1,0,22.0,787.6839298801956,293,1465.0,radial,6889.52322868215,True,True,0,33.0,2,4,0.20732600000337698,10,1800022,25,255.0,11,8664.523228682152
72,11,11,True,0,,0,0,0,22.0,741.1611499306932,303,1515.0,tour,6314.772649237626,True,True,0,33.0,1,4,0.24927949999982957,11,1800022,25,268.0,11,8152.772649237626
84,11,11,True,0,,0,0,0,22.0,651.3953396755034,349,1745.0,joint,5038.3487364305365,True,True,0,33.0,1,,0.311383799999021,11,1800022,25,327.0,11,7165.348736430537
0,11,11,True,0,,0,0,0,22.0,674.3979124020213,328,1640.0,batch,5414.377036422234,True,True,0,33.0,0,,0.2076686999935191,11,1800022,25,309.0,11,7418.377036422235
125,27,11,True,0,,16,1,0,22.0,813.5119714477622,369,1845.0,reference,6668.631685925384,True,True,0,81.0,0,4,0.38946589999250136,10,1800023,31,332.0,11,8948.631685925384
111,27,11,True,0,,16,1,0,22.0,775.9235476561367,322,1610.0,radial,6531.159024217504,True,True,0,81.0,0,4,0.3683354000095278,10,1800023,25,291.0,11,8535.159024217504
126,16,11,True,0,,5,1,0,22.0,682.9636349147066,331,1655.0,tour,5489.599984061774,True,True,0,48.0,1,4,0.40588219999335706,10,1800023,25,298.0,11,7512.599984061773
108,11,11,True,0,,0,0,0,22.0,622.0094805491085,370,1850.0,joint,4589.104286040193,True,True,0,33.0,2,,0.3020528000051854,11,1800023,25,348.0,11,6842.104286040194
55,11,11,True,0,,0,0,0,22.0,732.6696568572219,403,2015.0,batch,5611.36622542944,True,True,0,33.0,1,,0.2373200000001816,11,1800023,25,378.0,11,8059.36622542944
