problem,complete,cleared,virtual_time_s,mean_time_s,program_time_s,stations_visited,scheduling_policy,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,skipped_known_measurements,route_replans,negative_observations,negative_region_fallbacks,negative_constraints,ring_activated,coverage_sites_cancelled,strategy,coverage_layout,q3_ring_guard,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,True,10,2607.161506382213,260.7161506382213,0.16002759999537375,7,joint_route,109,10,0,0,1911.1615063822128,101.0,545.0,30.0,20.0,242,10,0,5,10,12,15,False,0,0,1,0,integrated,original,conservative,True,0.0,LOCAL_SYNTHETIC,3480010,10,1.0,950.0,fixed,0
3,True,13,3091.3509590342146,237.7962276180165,0.16384180000750348,7,joint_route,100,13,0,0,2434.3509590342137,92.0,500.0,39.0,26.0,207,13,3,12,13,26,16,False,0,0,1,0,integrated,original,conservative,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3480011,13,1.0,950.0,fixed,0
3,True,10,3257.926583833879,325.7926583833879,0.15624250000109896,7,joint_route,118,10,0,0,2508.926583833878,109.0,590.0,30.0,20.0,251,10,0,2,10,10,15,False,0,0,0,0,integrated,original,conservative,True,0.0,LOCAL_SYNTHETIC,3480012,10,1.0,950.0,fixed,0
3,True,15,3326.8252685013194,221.7883512334213,0.2096509000111837,7,joint_route,92,15,0,0,2705.82526850132,86.0,460.0,45.0,30.0,287,15,2,12,15,28,19,False,0,0,1,0,integrated,original,conservative,True,5.684341886080802e-14,LOCAL_SYNTHETIC,3480013,15,1.0,950.0,fixed,0
3,True,13,3521.267301699082,270.866715515314,0.2296070000011241,7,joint_route,121,13,0,0,2740.267301699082,111.0,605.0,39.0,26.0,331,13,3,3,13,9,16,False,0,0,0,0,integrated,original,conservative,True,5.684341886080802e-14,LOCAL_SYNTHETIC,3480014,13,1.0,950.0,fixed,0
3,True,11,2944.576696310391,267.6887905736719,0.5247974999947473,7,joint_route,103,11,0,0,2278.5766963103915,96.0,515.0,33.0,22.0,194,11,1,7,11,17,16,False,0,0,1,0,integrated,original,conservative,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3480015,11,1.0,950.0,fixed,0
3,True,16,3344.034675808084,209.00216723800526,0.9347425000014482,7,joint_route,96,16,0,0,2695.034675808084,89.0,480.0,48.0,32.0,285,16,5,11,16,25,17,False,0,0,1,0,integrated,original,conservative,True,0.0,LOCAL_SYNTHETIC,3480016,16,1.0,950.0,fixed,0
3,True,16,3027.1325963711006,189.1957872731938,1.145282600002247,5,joint_route,84,16,0,0,2454.1325963711,73.0,420.0,48.0,32.0,398,16,3,5,16,11,17,False,0,0,1,2,integrated,original,conservative,True,0.0,LOCAL_SYNTHETIC,3480017,16,1.0,950.0,fixed,0
3,True,12,2941.3297088044606,245.1108090670384,0.5250819000066258,7,joint_route,105,12,0,0,2258.329708804461,98.0,525.0,36.0,24.0,253,12,0,9,11,11,17,False,0,0,1,0,integrated,original,conservative,True,0.0,LOCAL_SYNTHETIC,3480018,12,1.0,950.0,fixed,0
3,True,12,3669.7903790943897,305.8158649245325,0.8275877999985823,7,joint_route,120,12,0,0,2896.79037909439,113.0,600.0,36.0,24.0,258,12,3,3,12,2,11,False,0,0,0,0,integrated,original,conservative,True,0.0,LOCAL_SYNTHETIC,3480019,12,1.0,950.0,fixed,0
